TIMESTAMP,DRAGONKING_OPEN_PRICE_USD,DRAGONKING_HIGH_PRICE_USD,DRAGONKING_LOW_PRICE_USD,DRAGONKING_CLOSE_PRICE_USD,DRAGONKING_VOLUME_USD,DRAGONKING_DIVIDENDS_USD,DRAGONKING_STOCK_SPLITS_USD
2023-04-12 00:00:00+00:00,,,,0.0,69444,0.0,0.0
2023-04-13 00:00:00+00:00,,,,0.0,70663,0.0,0.0
2023-04-14 00:00:00+00:00,,,,0.0,56515,0.0,0.0
2023-04-15 00:00:00+00:00,,,,0.0,32137,0.0,0.0
2023-04-16 00:00:00+00:00,,,,0.0,22649,0.0,0.0
2023-04-17 00:00:00+00:00,,,,0.0,13433,0.0,0.0
2023-04-18 00:00:00+00:00,,,,0.0,18694,0.0,0.0
2023-04-19 00:00:00+00:00,,,,0.0,12247,0.0,0.0
2023-04-20 00:00:00+00:00,,,,0.0,5478,0.0,0.0
2023-04-21 00:00:00+00:00,,,,0.0,36992,0.0,0.0
2023-04-22 00:00:00+00:00,,,,0.0,10210,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,7825,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,17259,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,18207,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,2876,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,8591,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,6315,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,24060,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,62328,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,143095,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,37039,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,25043,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,36330,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,23559,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,8047,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,14631,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,46751,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,29707,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,16257,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,15104,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,7004,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,13169,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,26914,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,8865,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,9395,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,7586,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,5122,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,14513,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,14140,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,10362,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,5743,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,6709,0.0,0.0
2023-05-24 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,61034,0.0,0.0
2023-05-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,153759,0.0,0.0
2023-05-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,61740,0.0,0.0
2023-05-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,40032,0.0,0.0
2023-05-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,42343,0.0,0.0
2023-05-29 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,23225,0.0,0.0
2023-05-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,104016,0.0,0.0
2023-05-31 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,52865,0.0,0.0
2023-06-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,23301,0.0,0.0
2023-06-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,50220,0.0,0.0
2023-06-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,65875,0.0,0.0
2023-06-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,40461,0.0,0.0
2023-06-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,21435,0.0,0.0
2023-06-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,35963,0.0,0.0
2023-06-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,80031,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,328521,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,413302,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,179272,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,71907,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,56651,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,35795,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,56366,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,56755,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,30143,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,14670,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,20082,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,39170,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,30597,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,83604,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,28315,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,20322,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,6593,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,21521,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,10718,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,8496,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,34786,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,29407,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,24280,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,42624,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,33075,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,45512,0.0,0.0
