TIMESTAMP,MAID_CLOSE_PRICE_USD,MAID_OPEN_PRICE_USD,MAID_HIGH_PRICE_USD,MAID_LOW_PRICE_USD
2018-02-02,0.43896,0.48403,0.4858,0.34071
2018-02-03,0.47838,0.43896,0.49392,0.39805
2018-02-04,0.39541,0.47838,0.49334,0.37191
2018-02-05,0.34379,0.39313,0.40551,0.32065
2018-02-06,0.38552,0.34379,0.39831,0.27919
2018-02-07,0.39147,0.3917,0.45814,0.35628
2018-02-08,0.41453,0.39147,0.44161,0.38639
2018-02-09,0.44267,0.41453,0.44783,0.38167
2018-02-10,0.41373,0.44094,0.47682,0.38855
2018-02-11,0.39651,0.41373,0.42022,0.36557
2018-02-12,0.43663,0.39651,0.46022,0.39601
2018-02-13,0.41044,0.43716,0.43941,0.40582
2018-02-14,0.48221,0.41026,0.48473,0.40723
2018-02-15,0.50889,0.48259,0.50952,0.45927
2018-02-16,0.48655,0.50531,0.5219,0.46847
2018-02-17,0.52148,0.48848,0.53341,0.47851
2018-02-18,0.45154,0.52148,0.53728,0.3817
2018-02-19,0.46731,0.44928,0.49209,0.44252
2018-02-20,0.45101,0.46731,0.4918,0.44603
2018-02-21,0.44227,0.45101,0.47483,0.43282
2018-02-22,0.40893,0.44167,0.463,0.39034
2018-02-23,0.38535,0.4059,0.45017,0.37724
2018-02-24,0.36665,0.38535,0.40666,0.36
2018-02-25,0.34861,0.36665,0.36875,0.343
2018-02-26,0.35688,0.34861,0.37711,0.34842
2018-02-27,0.3583,0.35813,0.36944,0.346
2018-02-28,0.40307,0.36082,0.40965,0.35613
2018-03-01,0.39933,0.40307,0.40514,0.36366
2018-03-02,0.40664,0.3981,0.421,0.37273
2018-03-03,0.414,0.40642,0.43781,0.39665
2018-03-04,0.41289,0.41675,0.41675,0.38219
2018-03-05,0.40752,0.41289,0.43194,0.3954
2018-03-06,0.37016,0.40752,0.41798,0.3608
2018-03-07,0.35421,0.37016,0.39074,0.32257
2018-03-08,0.30285,0.35476,0.36146,0.30011
2018-03-09,0.31899,0.30285,0.32579,0.28728
2018-03-10,0.29148,0.31899,0.32979,0.29061
2018-03-11,0.32644,0.29148,0.33695,0.28598
2018-03-12,0.32361,0.32644,0.34405,0.30635
2018-03-13,0.33213,0.32555,0.33779,0.30757
2018-03-14,0.30134,0.33213,0.34,0.29769
2018-03-15,0.29678,0.30082,0.31197,0.27203
2018-03-16,0.30011,0.29652,0.30949,0.28473
2018-03-17,0.2822,0.30107,0.30491,0.27641
2018-03-18,0.28599,0.2822,0.29001,0.25172
2018-03-19,0.30447,0.28599,0.31162,0.27808
2018-03-20,0.34157,0.30389,0.35138,0.29557
2018-03-21,0.30772,0.34157,0.35429,0.26066
