TIMESTAMP,MONA_CLOSE_PRICE_USD,MONA_OPEN_PRICE_USD,MONA_HIGH_PRICE_USD,MONA_LOW_PRICE_USD
2017-12-08,14.4048,13.8333,18.0985,12.5333
2017-12-09,13.0,14.4048,15.0397,10.7143
2017-12-10,14.2388,13.0,16.3462,10.8654
2017-12-11,14.6833,14.3209,15.25,13.2615
2017-12-12,13.3898,14.6167,15.4746,13.3103
2017-12-13,13.871,13.2119,16.4831,13.082
2017-12-14,14.0492,13.8548,14.8333,13.3889
2017-12-15,14.2105,14.041,14.5965,13.2542
2017-12-16,13.7308,14.2105,14.6852,13.4444
2017-12-17,13.3019,13.7308,14.5098,12.9712
2017-12-18,14.6132,13.2736,15.5094,12.9909
2017-12-19,13.8448,14.7736,15.3208,12.7966
2017-12-20,14.4262,13.8534,16.8482,12.6641
2017-12-21,13.8281,14.4098,15.1833,12.9552
2017-12-22,10.0789,13.8516,14.0238,8.1183
2017-12-23,10.6479,10.0789,11.7463,9.74
2017-12-24,10.0068,10.6479,10.6479,8.5233
2017-12-25,11.0411,10.0068,11.5903,9.3544
2017-12-26,11.5078,11.0,12.0397,11.0
2017-12-27,11.1385,11.5078,11.9462,10.806
2017-12-28,10.6,11.1385,11.5231,9.6
2017-12-29,10.3643,10.6714,11.2121,9.8889
2017-12-30,8.6605,10.3714,10.3857,8.1548
2017-12-31,9.64583,8.62658,9.875,8.51875
2018-01-01,9.59333,9.5137,9.83784,8.95513
2018-01-02,9.97794,9.73333,11.16177,9.14744
2018-01-03,9.66667,9.97059,10.42537,8.89855
2018-01-04,9.06061,9.62121,9.67164,8.76429
2018-01-05,7.72881,9.06061,9.1875,7.61864
2018-01-06,8.5431,7.72881,8.91379,7.25424
2018-01-07,8.25817,8.5431,8.7459,8.03254
2018-01-08,8.38101,8.25781,8.45645,6.915
2018-01-09,8.5457,8.36976,10.04365,8.12671
2018-01-10,7.9341,8.58586,8.60569,7.02021
2018-01-11,6.95177,7.95064,8.14112,6.63143
2018-01-12,7.54324,7.09526,7.7212,6.8334
2018-01-13,7.66979,7.61316,7.83411,7.44749
2018-01-14,7.37766,7.69224,7.73899,6.96589
2018-01-15,8.14104,7.36702,8.71447,7.18579
2018-01-16,6.06823,8.22921,8.27511,5.56603
2018-01-17,5.82623,6.06753,6.29216,4.5247
2018-01-18,5.9499,5.87276,6.66288,5.69261
2018-01-19,6.00992,6.06781,6.33052,5.73635
2018-01-20,8.05588,6.01291,8.78266,5.92078
2018-01-21,6.79712,8.1131,8.1131,6.32471
2018-01-22,6.19542,6.82692,6.90026,5.74356
2018-01-23,6.17241,6.19608,7.12849,5.75598
2018-01-24,6.33944,6.1684,6.36935,5.91532
2018-01-25,6.13148,6.31473,6.43628,5.9634
2018-01-26,5.81957,6.12533,6.42669,5.42114
2018-01-27,6.2382,5.80361,6.37997,5.61408
2018-01-28,6.27773,6.26369,6.54684,6.02475
2018-01-29,5.78712,6.2725,6.40492,5.70933
2018-01-30,5.10003,5.78387,5.85128,4.96284
2018-01-31,4.91109,5.11344,5.18917,4.70201
2018-02-01,3.64964,4.91058,5.04733,3.63326
2018-02-02,4.18965,3.67069,4.71429,3.05989
2018-02-03,4.48618,4.19972,4.78867,3.8167
2018-02-04,3.79627,4.48718,4.58589,3.61163
2018-02-05,3.29774,3.79771,4.03544,3.19118
2018-02-06,3.73393,3.31109,3.8147,2.89048
2018-02-07,3.394,3.71001,3.92561,3.3729
2018-02-08,3.68794,3.40637,3.9908,3.40637
2018-02-09,4.01582,3.67822,4.09978,3.50314
2018-02-10,4.19077,4.01373,4.61189,3.97258
2018-02-11,3.7916,4.20513,4.22222,3.71881
2018-02-12,4.40713,3.7952,4.49003,3.7725
2018-02-13,4.09155,4.41449,4.46048,4.0147
2018-02-14,4.64738,4.09094,4.66181,4.0874
2018-02-15,5.07574,4.64157,5.18313,4.61724
2018-02-16,6.42126,5.06144,6.56022,5.01516
2018-02-17,6.43237,6.45097,6.7236,6.20838
2018-02-18,5.57575,6.43463,6.47009,5.42035
2018-02-19,6.18814,5.58693,6.32053,5.5057
2018-02-20,5.70349,6.19091,6.45161,5.62567
2018-02-21,5.40715,5.70171,5.83311,5.02051
2018-02-22,5.24649,5.41562,5.76344,4.93439
2018-02-23,5.60435,5.27377,5.752,5.01105
2018-02-24,5.4941,5.5952,5.87618,5.2738
2018-02-25,5.31635,5.48439,5.58208,5.11093
2018-02-26,5.6047,5.31635,5.65475,5.22531
2018-02-27,5.43681,5.6047,5.69319,5.37663
2018-02-28,5.35035,5.43681,5.82177,5.28688
2018-03-01,5.48213,5.35035,5.61156,5.27771
2018-03-02,5.40618,5.48213,5.58667,5.31344
2018-03-03,5.32996,5.4064,5.94257,5.25728
2018-03-04,5.65288,5.34054,5.78872,5.22569
2018-03-05,5.25606,5.65288,5.74166,5.24815
2018-03-06,5.00922,5.25606,5.28318,4.86741
2018-03-07,4.22663,5.00922,5.07694,4.15922
2018-03-08,4.23349,4.22663,4.67287,4.02691
2018-03-09,4.13876,4.23349,4.34881,3.71219
2018-03-10,4.00902,4.1376,4.33264,3.93381
2018-03-11,4.10181,4.01284,4.23845,3.86353
2018-03-12,4.1067,4.10181,4.38648,3.98093
2018-03-13,4.1941,4.1067,4.38154,4.033
2018-03-14,3.87764,4.19412,4.31069,3.74249
2018-03-15,3.78489,3.87764,3.91102,3.57831
2018-03-16,3.73665,3.78489,3.96318,3.67322
2018-03-17,3.39643,3.71906,3.97537,3.39561
2018-03-18,3.4936,3.38935,3.49934,2.77391
2018-03-19,4.09985,3.4936,4.09985,3.4936
2018-03-20,4.0153,4.09985,4.09985,3.74706
2018-03-21,3.87633,4.0153,4.05757,3.81205
2018-03-22,3.78356,3.87629,3.98363,3.61336
2018-03-23,3.80945,3.78356,3.82105,3.56629
2018-03-24,3.5797,3.80926,3.85142,3.57278
2018-03-25,3.58433,3.58832,3.68957,3.54922
2018-03-26,3.48452,3.58433,3.63197,3.3495
2018-03-27,3.34954,3.48452,3.51874,3.31746
2018-03-28,3.42945,3.34954,3.53186,3.33099
2018-03-29,3.06284,3.42945,3.43463,2.97187
2018-03-30,3.08438,3.06284,3.41026,2.88899
