,K,Alpha,Tau,MSE
0,10,500,0.3,5.716745758552454e-09
1,9,500,0.3,5.716883138948897e-09
2,10,500,0.25,5.721384521140267e-09
3,11,250,0.3,5.7222901181042495e-09
4,9,500,0.25,5.7223489577688814e-09
5,12,250,0.3,5.7231753642302576e-09
6,13,250,0.3,5.723179127104345e-09
7,8,250,0.3,5.723201017189759e-09
8,9,250,0.3,5.723234611206691e-09
9,10,250,0.3,5.723343889359587e-09
10,7,250,0.3,5.723553944818281e-09
11,13,250,0.25,5.730455431095472e-09
12,12,250,0.25,5.73047501540114e-09
13,9,250,0.25,5.730512393514188e-09
14,10,250,0.25,5.730684209625952e-09
15,8,250,0.25,5.73070633816657e-09
16,11,250,0.25,5.730758835123107e-09
17,7,250,0.25,5.731104169676845e-09
18,15,250,0.3,5.736737846700865e-09
19,14,250,0.3,5.737054241983378e-09
20,13,250,0.2,5.744267864284707e-09
21,12,250,0.2,5.7443298080252915e-09
22,8,250,0.2,5.744573032106925e-09
23,10,250,0.2,5.74461566379475e-09
24,9,250,0.2,5.744797323297927e-09
25,11,250,0.2,5.747226602410082e-09
26,14,250,0.25,5.749842801585029e-09
27,15,250,0.25,5.7680894074081695e-09
28,10,250,0.15,5.776299236078957e-09
29,13,250,0.15,5.776560411280267e-09
30,9,250,0.15,5.776612986155256e-09
31,12,250,0.15,5.776663182284495e-09
32,8,250,0.15,5.776997138804103e-09
33,14,250,0.2,5.78607990562918e-09
34,11,250,0.15,5.787979668062098e-09
35,13,750,0.3,5.810005738880168e-09
36,15,500,0.3,5.810308874439831e-09
37,15,500,0.25,5.853840787544713e-09
38,14,500,0.3,5.85520362926473e-09
39,13,250,0.1,5.877474803589866e-09
40,12,250,0.1,5.877803523049191e-09
41,10,250,0.1,5.8789486865050804e-09
42,9,250,0.1,5.879690594033292e-09
43,8,250,0.1,5.880523953898732e-09
44,14,250,0.1,5.912609283365523e-09
45,14,500,0.25,5.916416899788009e-09
46,15,500,0.2,5.934339348099507e-09
47,11,250,0.1,5.967113868156661e-09
48,13,500,0.3,5.970299612185005e-09
49,14,250,0.15,5.984920226323932e-09
50,12,500,0.3,5.989043836224381e-09
51,7,250,0.2,5.993506510688263e-09
52,11,500,0.3,6.011652046308849e-09
53,14,500,0.2,6.029056841309912e-09
54,10,500,0.2,6.061647618252529e-09
55,13,500,0.25,6.084515612353425e-09
56,12,500,0.25,6.11114282368092e-09
57,15,500,0.15,6.11341558454723e-09
58,14,750,0.3,6.131850434448766e-09
59,11,500,0.25,6.142610300430528e-09
60,14,500,0.15,6.266546083314265e-09
61,13,500,0.2,6.296713807536999e-09
62,15,1000,0.3,6.312098349688145e-09
63,12,500,0.2,6.3382045918046875e-09
64,14,750,0.25,6.343778976593738e-09
65,13,500,0.15,6.352737832664723e-09
66,15,750,0.3,6.361353640014926e-09
67,11,500,0.2,6.4115124525272385e-09
68,15,1000,0.25,6.5855891785040665e-09
