,K,Alpha,Tau,MSE
0,10,1000,0.05,5.704540346996058e-09
1,11,1000,0.05,5.7051823218935284e-09
2,12,1500,0.1,5.70645997341434e-09
3,10,1250,0.05,5.7067381221736544e-09
4,10,750,0.05,5.706938907441933e-09
5,11,750,0.05,5.7071452338616105e-09
6,13,1500,0.1,5.707323906771194e-09
7,12,1250,0.1,5.70732400318467e-09
8,14,2000,0.15,5.707361706665735e-09
9,10,1250,0.1,5.7073688673227076e-09
10,12,1500,0.15,5.70738813045492e-09
11,10,1000,0.1,5.707395102292067e-09
12,11,1000,0.1,5.707396713655943e-09
13,15,2250,0.3,5.707397066331782e-09
14,12,2000,0.3,5.707397428350241e-09
15,11,1500,0.25,5.707397994864841e-09
16,13,1750,0.2,5.707398127383217e-09
17,13,1750,0.25,5.7073982344457e-09
18,13,1750,0.3,5.707398240549516e-09
19,12,1750,0.3,5.707398258406475e-09
20,12,1750,0.25,5.707398262477724e-09
21,11,1250,0.15,5.707398288236669e-09
22,11,1500,0.3,5.7073983225967775e-09
23,14,2250,0.3,5.707398336810598e-09
24,10,1250,0.3,5.707398338017448e-09
25,11,1250,0.3,5.707398339760236e-09
26,10,1250,0.25,5.707398341979017e-09
27,11,1250,0.25,5.707398343786626e-09
28,11,1250,0.2,5.707398350941485e-09
29,10,1250,0.2,5.707398350963292e-09
30,14,2000,0.3,5.707398361892564e-09
31,10,1500,0.3,5.70739837604212e-09
32,12,1750,0.2,5.707398388627161e-09
33,14,2000,0.25,5.707398394074902e-09
34,13,1500,0.3,5.7073984172950445e-09
35,13,1500,0.25,5.707398610021395e-09
36,10,1250,0.15,5.70739862952702e-09
37,10,1000,0.3,5.707398634406933e-09
38,11,1000,0.3,5.707398645130124e-09
39,10,1000,0.25,5.707398742645168e-09
40,11,1000,0.25,5.707398752158484e-09
41,12,1500,0.25,5.707398878462397e-09
42,10,1000,0.2,5.707398930044816e-09
43,11,1000,0.2,5.7073989356997215e-09
