,nMSE,nRMSE,nMAE,nMAPE,MSE,RMSE,MAE,MAPE,R2
0,0.02053531671924861,0.1433014888940398,0.12079254343137379,0.06009394577802619,6067085.749900582,2463.1454991332894,2076.2490781250003,0.056926364471947356,-0.10502047716801433
1,0.016238318046679797,0.12742965921118912,0.08709572303412558,0.04317845435878916,4797554.928162114,2190.3321501914074,1497.050090725806,0.040888738687131616,0.4984898533814206
2,0.028207734963016783,0.16795158517565942,0.1470783247380761,0.05926185281649138,8333873.529796601,2886.8449092039223,2528.0636290322573,0.05669993475309925,0.1899296535906766
3,0.024759459214650573,0.1573513877112324,0.13512388516645255,0.05216926659970589,7315100.713297749,2704.644285908546,2322.585369791667,0.05000480313109854,0.23280971019018581
4,0.15254446001722857,0.3905694048658043,0.3670969512938112,0.111198328090168,45068757.91236914,6713.326888538137,6309.869324596775,0.10754427801489362,-0.8232685926209484
5,0.03196674283524425,0.17879245743387567,0.14829330029270016,0.05249093098473744,14358043.219367864,3789.2008681736397,3142.823213541667,0.050858734562472814,-0.11255069342206969
6,0.0048680651887171135,0.06977152133010368,0.05657953672268268,0.046369250544725384,7279068.402315573,2697.9748705863763,2187.857908266129,0.0445589065235123,-0.024390609801201224
7,0.0054947900734595686,0.07412685123124797,0.06432940580705483,0.06664916625803083,8216193.939783116,2866.390402541691,2487.535791330645,0.06337883699347768,0.2954562782238327
8,0.010733464519038848,0.10360243490883236,0.0954433718450203,0.13975783535496708,33055159.81317211,5749.361687454713,5296.5787667410705,0.1330156673793086,-4.2945966591670555
9,0.001902331895102909,0.04361572990450703,0.03686752550811504,0.05666259917527748,6683730.682310286,2585.2912180855537,2185.2961945564516,0.05397513767687308,0.20146073139800158
10,0.0013494775647667826,0.036735236010767405,0.029755163233053217,0.047397215036026466,5130799.2268255865,2265.1267573417576,1834.7291979166664,0.04516044578910753,0.17946148747447221
11,0.006700120258053572,0.08185426230840745,0.0760669682261656,0.16359243846722524,25474286.881724697,5047.2058489549145,4690.355917338709,0.1533005700469048,-1.2412951766479834
Mean,0.025441690107933942,0.1312585015821389,0.11371022494155258,0.07490177362201421,14314971.249918783,3496.5704488428296,3046.5828734969036,0.07135936816915227,-0.41695954121405693
