TIMESTAMP,MEGALAND_OPEN_PRICE_USD,MEGALAND_HIGH_PRICE_USD,MEGALAND_LOW_PRICE_USD,MEGALAND_CLOSE_PRICE_USD,MEGALAND_VOLUME_USD,MEGALAND_DIVIDENDS_USD,MEGALAND_STOCK_SPLITS_USD
2021-11-29 00:00:00+00:00,,,,0.0,12467818,0.0,0.0
2021-11-30 00:00:00+00:00,,,,0.0,7882383,0.0,0.0
2021-12-01 00:00:00+00:00,,,,0.0,4174339,0.0,0.0
2021-12-02 00:00:00+00:00,,,,0.0,3213454,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,3078645,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,3444270,0.0,0.0
2021-12-05 00:00:00+00:00,,,,0.0,6389605,0.0,0.0
2021-12-06 00:00:00+00:00,,,,0.0,4015575,0.0,0.0
2021-12-07 00:00:00+00:00,,,,0.0,1499490,0.0,0.0
2021-12-08 00:00:00+00:00,,,,0.0,680716,0.0,0.0
2021-12-09 00:00:00+00:00,,,,0.0,632365,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,746404,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,741362,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,660528,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,377552,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,285024,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,199201,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,166644,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,229137,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,252110,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,136443,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,119579,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,288610,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,252054,0.0,0.0
