TIMESTAMP,HACHI36546_OPEN_PRICE_USD,HACHI36546_HIGH_PRICE_USD,HACHI36546_LOW_PRICE_USD,HACHI36546_CLOSE_PRICE_USD,HACHI36546_VOLUME_USD,HACHI36546_DIVIDENDS_USD,HACHI36546_STOCK_SPLITS_USD
2025-05-19 00:00:00+00:00,0.001028000027872622,0.001436999998986721,0.00011600000289035961,0.00011999999696854502,2875833,0.0,0.0
2025-05-20 00:00:00+00:00,0.0001250000059371814,0.00015900000289548188,4.5000000682193786e-05,5.500000042957254e-05,278726,0.0,0.0
2025-05-21 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,2.9000000722589903e-05,3.099999958067201e-05,21400,0.0,0.0
2025-05-22 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,1.9999999494757503e-05,1.9999999494757503e-05,7404,0.0,0.0
2025-05-23 00:00:00+00:00,1.9999999494757503e-05,8.299999899463728e-05,1.8000000636675395e-05,2.4000000848900527e-05,0,0.0,0.0
2025-05-24 00:00:00+00:00,2.4000000848900527e-05,4.099999932805076e-05,2.099999983329326e-05,4.099999932805076e-05,8790,0.0,0.0
2025-05-25 00:00:00+00:00,4.099999932805076e-05,4.199999966658652e-05,2.2000000171829015e-05,2.5999999706982635e-05,0,0.0,0.0
2025-05-26 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.2000000171829015e-05,2.4000000848900527e-05,4141,0.0,0.0
2025-05-27 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.2000000171829015e-05,2.2000000171829015e-05,0,0.0,0.0
2025-05-28 00:00:00+00:00,2.2000000171829015e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.499999936844688e-05,0,0.0,0.0
2025-05-29 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.499999936844688e-05,0,0.0,0.0
2025-05-30 00:00:00+00:00,2.499999936844688e-05,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,0,0.0,0.0
2025-05-31 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.499999936844688e-05,2.5999999706982635e-05,0,0.0,0.0
2025-06-01 00:00:00+00:00,2.6119378162547946e-05,2.6289639208698645e-05,2.5579989596735686e-05,2.6289639208698645e-05,187,0.0,0.0
