TIMESTAMP,MOTO_CLOSE_PRICE_USD,MOTO_OPEN_PRICE_USD,MOTO_HIGH_PRICE_USD,MOTO_LOW_PRICE_USD
2018-03-02,0.032764,0.02983,0.034632,0.028272
2018-03-03,0.031314,0.032797,0.033857,0.028541
2018-03-04,0.029919,0.031275,0.033128,0.027979
2018-03-05,0.029983,0.029919,0.030585,0.029701
2018-03-06,0.028951,0.029983,0.030598,0.028571
2018-03-07,0.026383,0.028951,0.029931,0.025521
2018-03-08,0.02441,0.026383,0.026929,0.023833
2018-03-09,0.024018,0.02441,0.024727,0.021921
2018-03-10,0.022634,0.024018,0.024696,0.022519
2018-03-11,0.023966,0.022634,0.024476,0.021507
2018-03-12,0.023301,0.023966,0.024978,0.022491
2018-03-13,0.023248,0.023301,0.024207,0.022603
2018-03-14,0.02083,0.023248,0.023803,0.020204
2018-03-15,0.02109,0.02083,0.021372,0.019545
2018-03-16,0.02102,0.02109,0.021935,0.020194
2018-03-17,0.020148,0.02102,0.021193,0.019747
2018-03-18,0.019985,0.020148,0.020148,0.017503
2018-03-19,0.01978,0.019985,0.021529,0.017869
2018-03-20,0.020105,0.01978,0.020895,0.019314
2018-03-21,0.019713,0.020105,0.020436,0.019403
2018-03-22,0.019134,0.019713,0.020394,0.018834
2018-03-23,0.019674,0.019134,0.019792,0.018491
2018-03-24,0.017693,0.019674,0.020619,0.017674
2018-03-25,0.017988,0.017693,0.018759,0.017322
2018-03-26,0.017062,0.017988,0.018089,0.016525
2018-03-27,0.016619,0.017062,0.01797,0.016256
2018-03-28,0.016954,0.016619,0.017303,0.016503
2018-03-29,0.015,0.016954,0.016998,0.01458
2018-03-30,0.014536,0.015,0.015351,0.013914
2018-03-31,0.01482,0.014536,0.015719,0.014536
2018-04-01,0.016208,0.01482,0.025729,0.013674
2018-04-02,0.017879,0.016208,0.023235,0.015082
2018-04-03,0.018993,0.017879,0.021037,0.015655
2018-04-04,0.018052,0.018993,0.019816,0.016243
2018-04-05,0.015654,0.018052,0.019254,0.0154
2018-04-06,0.015643,0.015654,0.015844,0.015327
2018-04-07,0.019457,0.015643,0.020851,0.015608
2018-04-08,0.018974,0.019457,0.02094,0.018164
2018-04-09,0.01683,0.018974,0.019206,0.01664
