,ETH
XEM,0.0008692732505697
XRP,0.0019098384768930499
ARK,0.00630470267847205
MAID,0.0218628413904986
SC,0.0307291072886753
ZEN,0.03651019278193045
LSK,0.03725986559522615
FIRO,0.04277863681066225
BTS,0.047829439772794705
KMD,0.05075420948108645
BTC,0.10797725142505271
QTUM,0.1258250995864399
XWC,0.1331084528271262
ETC,0.13849227157205118
DOGE,0.1421763132714953
SYS,0.15540906317115574
USDT,0.15747731742087095
DCR,0.2056780526943069
MONA,0.2172123289270937
GNO,0.28858493364799764
DGB,0.3511058261996842
RLC,0.42341217051546354
STEEM,0.714004450472608
CON,0.737396891571373
ANT,0.7711242275325806
VERI,0.8787247982719022
