,ETH,Lag
XRP,8.389374887122498e-06,10
SC,1.9579059742811704e-05,28
XEM,5.925388680778072e-05,4
ZEN,0.0001296044430047,27
XWC,0.0002899052905742,20
ARK,0.0003339227682807,1
BTC,0.0038593204309699,28
LSK,0.0053047979346007,7
ETC,0.0077394660329569,29
USDT,0.0083843184726192,1
MAID,0.0096886419085897,28
FIRO,0.0101660189817139,13
KMD,0.0135294975697039,7
BTS,0.0139956400824109,5
QTUM,0.0231372472074052,20
DOGE,0.0422980808227684,26
SYS,0.0484004504886374,16
MONA,0.0494538374571218,7
GNO,0.0662880552445172,19
DCR,0.0824567872385833,21
DGB,0.0826278732890354,30
RLC,0.3226573039336436,16
VERI,0.3482069193315651,5
STEEM,0.4172218581140322,29
CON,0.5405909716060082,5
ANT,0.5609823975906177,13
