TIMESTAMP,SEND27376_OPEN_PRICE_USD,SEND27376_HIGH_PRICE_USD,SEND27376_LOW_PRICE_USD,SEND27376_CLOSE_PRICE_USD,SEND27376_VOLUME_USD,SEND27376_DIVIDENDS_USD,SEND27376_STOCK_SPLITS_USD
2023-07-07 00:00:00+00:00,0.00010800000018207356,0.00010800000018207356,9.899999713525176e-05,0.0001049999991664663,41216,0.0,0.0
2023-07-08 00:00:00+00:00,0.0001049999991664663,0.00010699999984353781,0.00010099999781232327,0.00010199999815085903,26484,0.0,0.0
2023-07-09 00:00:00+00:00,0.00010199999815085903,0.00010199999815085903,9.899999713525176e-05,9.899999713525176e-05,8065,0.0,0.0
2023-07-10 00:00:00+00:00,9.899999713525176e-05,0.00010399999882793054,9.899999713525176e-05,9.999999747378752e-05,26521,0.0,0.0
2023-07-11 00:00:00+00:00,9.999999747378752e-05,9.999999747378752e-05,7.899999764049426e-05,8.499999967170879e-05,72305,0.0,0.0
2023-07-12 00:00:00+00:00,8.499999967170879e-05,8.600000001024455e-05,7.999999797903001e-05,8.099999831756577e-05,13338,0.0,0.0
2023-07-13 00:00:00+00:00,8.099999831756577e-05,8.099999831756577e-05,7.100000220816582e-05,7.899999764049426e-05,44351,0.0,0.0
2023-07-14 00:00:00+00:00,7.899999764049426e-05,8.099999831756577e-05,7.400000322377309e-05,7.500000356230885e-05,10141,0.0,0.0
2023-07-15 00:00:00+00:00,7.500000356230885e-05,7.500000356230885e-05,7.000000186963007e-05,7.000000186963007e-05,16117,0.0,0.0
2023-07-16 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.800000119255856e-05,6.900000153109431e-05,21328,0.0,0.0
2023-07-17 00:00:00+00:00,6.900000153109431e-05,7.000000186963007e-05,5.900000178371556e-05,5.999999848427251e-05,30877,0.0,0.0
2023-07-18 00:00:00+00:00,5.999999848427251e-05,6.0999998822808266e-05,5.6000000768108293e-05,5.8000001445179805e-05,26772,0.0,0.0
2023-07-19 00:00:00+00:00,5.8000001445179805e-05,5.8000001445179805e-05,5.6000000768108293e-05,5.700000110664405e-05,6756,0.0,0.0
2023-07-20 00:00:00+00:00,5.700000110664405e-05,5.8000001445179805e-05,5.500000042957254e-05,5.6000000768108293e-05,11041,0.0,0.0
2023-07-21 00:00:00+00:00,5.6000000768108293e-05,6.70000008540228e-05,5.6000000768108293e-05,6.399999983841553e-05,46318,0.0,0.0
2023-07-22 00:00:00+00:00,6.399999983841553e-05,6.500000017695129e-05,6.299999949987978e-05,6.299999949987978e-05,4111,0.0,0.0
2023-07-23 00:00:00+00:00,6.299999949987978e-05,6.500000017695129e-05,6.299999949987978e-05,6.399999983841553e-05,465,0.0,0.0
2023-07-24 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.999999848427251e-05,5.999999848427251e-05,10109,0.0,0.0
2023-07-25 00:00:00+00:00,5.999999848427251e-05,6.199999916134402e-05,5.8000001445179805e-05,6.199999916134402e-05,17731,0.0,0.0
