TIMESTAMP,MNEMO_OPEN_PRICE_USD,MNEMO_HIGH_PRICE_USD,MNEMO_LOW_PRICE_USD,MNEMO_CLOSE_PRICE_USD,MNEMO_VOLUME_USD,MNEMO_DIVIDENDS_USD,MNEMO_STOCK_SPLITS_USD
2025-04-04 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4000000192027073e-05,17347,0.0,0.0
2025-04-05 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4999999621068127e-05,15151,0.0,0.0
2025-04-06 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4000000192027073e-05,7010,0.0,0.0
2025-04-07 00:00:00+00:00,1.4000000192027073e-05,2.300000051036477e-05,1.2999999853491317e-05,1.4999999621068127e-05,60123,0.0,0.0
2025-04-08 00:00:00+00:00,1.4999999621068127e-05,1.8000000636675395e-05,1.4000000192027073e-05,1.700000029813964e-05,25635,0.0,0.0
2025-04-09 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.5999999959603883e-05,31012,0.0,0.0
2025-04-10 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.4999999621068127e-05,1.4999999621068127e-05,37828,0.0,0.0
2025-04-11 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.4999999621068127e-05,1.5999999959603883e-05,49875,0.0,0.0
2025-04-12 00:00:00+00:00,1.5999999959603883e-05,1.700000029813964e-05,1.4999999621068127e-05,1.5999999959603883e-05,65225,0.0,0.0
2025-04-13 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4999999621068127e-05,65602,0.0,0.0
2025-04-14 00:00:00+00:00,1.4999999621068127e-05,2.4000000848900527e-05,1.4999999621068127e-05,2.2000000171829015e-05,124636,0.0,0.0
2025-04-15 00:00:00+00:00,2.2000000171829015e-05,2.8000000384054147e-05,2.2000000171829015e-05,2.5999999706982635e-05,87746,0.0,0.0
2025-04-16 00:00:00+00:00,2.5999999706982635e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.700000004551839e-05,109276,0.0,0.0
2025-04-17 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,117779,0.0,0.0
2025-04-18 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.499999936844688e-05,126913,0.0,0.0
2025-04-19 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,2.4000000848900527e-05,2.700000004551839e-05,112242,0.0,0.0
2025-04-20 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.5999999706982635e-05,122098,0.0,0.0
2025-04-21 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.4000000848900527e-05,139199,0.0,0.0
2025-04-22 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.2000000171829015e-05,116115,0.0,0.0
2025-04-23 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.8000000636675395e-05,1.8999999156221747e-05,53190,0.0,0.0
2025-04-24 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8000000636675395e-05,41390,0.0,0.0
2025-04-25 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.8000000636675395e-05,50048,0.0,0.0
2025-04-26 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.700000029813964e-05,1.8000000636675395e-05,47720,0.0,0.0
2025-04-27 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8999999156221747e-05,54520,0.0,0.0
2025-04-28 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8000000636675395e-05,46372,0.0,0.0
2025-04-29 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.4000000192027073e-05,1.4999999621068127e-05,45477,0.0,0.0
2025-04-30 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,9.000000318337698e-06,9.999999747378752e-06,48347,0.0,0.0
2025-05-01 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,39614,0.0,0.0
2025-05-02 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,46653,0.0,0.0
2025-05-03 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,39851,0.0,0.0
2025-05-04 00:00:00+00:00,9.999999747378752e-06,1.4999999621068127e-05,9.999999747378752e-06,1.1000000085914508e-05,35829,0.0,0.0
2025-05-05 00:00:00+00:00,1.1000000085914508e-05,1.4999999621068127e-05,9.999999747378752e-06,1.1000000085914508e-05,20541,0.0,0.0
2025-05-06 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,16297,0.0,0.0
2025-05-07 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,54653,0.0,0.0
2025-05-08 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,9.000000318337698e-06,1.2999999853491317e-05,82367,0.0,0.0
2025-05-09 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,70568,0.0,0.0
2025-05-10 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4000000192027073e-05,72693,0.0,0.0
2025-05-11 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4000000192027073e-05,68863,0.0,0.0
2025-05-12 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.4000000192027073e-05,1.4000000192027073e-05,83548,0.0,0.0
2025-05-13 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,7.999999979801942e-06,9.999999747378752e-06,98293,0.0,0.0
2025-05-14 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,80062,0.0,0.0
2025-05-15 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.000000318337698e-06,9.999999747378752e-06,85278,0.0,0.0
2025-05-16 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,86661,0.0,0.0
2025-05-17 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,80810,0.0,0.0
2025-05-18 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,83204,0.0,0.0
2025-05-19 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,90893,0.0,0.0
2025-05-20 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,82603,0.0,0.0
