TIMESTAMP,IBTC23047_OPEN_PRICE_USD,IBTC23047_HIGH_PRICE_USD,IBTC23047_LOW_PRICE_USD,IBTC23047_CLOSE_PRICE_USD,IBTC23047_VOLUME_USD,IBTC23047_DIVIDENDS_USD,IBTC23047_STOCK_SPLITS_USD
2023-03-06 00:00:00+00:00,22787.939453125,22819.15234375,22584.56640625,22614.728515625,713,0.0,0.0
2023-03-07 00:00:00+00:00,22612.623046875,23595.650390625,22176.693359375,23410.388671875,8802,0.0,0.0
2023-03-08 00:00:00+00:00,23410.02734375,23546.5546875,22125.517578125,22263.548828125,1540,0.0,0.0
2023-03-09 00:00:00+00:00,22260.099609375,22768.10546875,21473.767578125,22110.005859375,5483,0.0,0.0
2023-03-10 00:00:00+00:00,22119.83203125,22331.583984375,20829.333984375,21452.830078125,5174,0.0,0.0
2023-03-11 00:00:00+00:00,21457.83984375,21962.46484375,20977.37109375,21420.5234375,4458,0.0,0.0
2023-03-12 00:00:00+00:00,21416.498046875,23637.61328125,21229.98828125,23636.140625,5813,0.0,0.0
2023-03-13 00:00:00+00:00,23639.134765625,24720.09375,22953.19921875,24181.0546875,893,0.0,0.0
2023-03-14 00:00:00+00:00,24184.400390625,24478.548828125,23879.4296875,24104.708984375,270,0.0,0.0
2023-03-15 00:00:00+00:00,24104.708984375,25768.755859375,24104.708984375,25447.357421875,4464,0.0,0.0
2023-03-16 00:00:00+00:00,25457.55859375,26020.681640625,24591.095703125,25782.203125,5894,0.0,0.0
2023-03-17 00:00:00+00:00,25783.83203125,27293.7421875,25533.0546875,26874.9765625,0,0.0,0.0
2023-03-22 00:00:00+00:00,26874.9765625,31985.201171875,26874.9765625,29738.07421875,28310,0.0,0.0
2023-03-23 00:00:00+00:00,29736.619140625,31299.8359375,28133.748046875,29843.291015625,87049,0.0,0.0
2023-03-24 00:00:00+00:00,29845.013671875,29887.62109375,28893.8203125,29208.5703125,819,0.0,0.0
2023-03-25 00:00:00+00:00,29210.626953125,29569.580078125,27196.13671875,29218.154296875,24175,0.0,0.0
2023-03-26 00:00:00+00:00,29218.32421875,29299.884765625,28005.1640625,29219.74609375,36163,0.0,0.0
2023-03-27 00:00:00+00:00,29220.595703125,29759.03515625,27608.712890625,28263.466796875,15361,0.0,0.0
2023-03-28 00:00:00+00:00,28263.466796875,29878.216796875,27189.7890625,28412.65625,58266,0.0,0.0
2023-03-29 00:00:00+00:00,28410.23828125,30618.865234375,28360.513671875,29569.412109375,29723,0.0,0.0
2023-03-30 00:00:00+00:00,29561.984375,30522.970703125,28154.181640625,29248.8046875,24881,0.0,0.0
2023-03-31 00:00:00+00:00,29252.35546875,31247.166015625,29114.40625,30094.05078125,46853,0.0,0.0
2023-04-01 00:00:00+00:00,30053.30859375,31152.15234375,28881.783203125,29376.84765625,31999,0.0,0.0
2023-04-02 00:00:00+00:00,29945.015625,31059.724609375,29147.984375,30434.4921875,18530,0.0,0.0
2023-04-03 00:00:00+00:00,30431.7109375,31263.962890625,28322.267578125,29067.75,19631,0.0,0.0
2023-04-04 00:00:00+00:00,29067.75,30930.498046875,28622.041015625,29410.09765625,25779,0.0,0.0
2023-04-05 00:00:00+00:00,29404.2734375,32166.859375,28655.078125,30930.806640625,40487,0.0,0.0
2023-04-06 00:00:00+00:00,30929.447265625,30953.353515625,28607.12890625,29237.712890625,7325,0.0,0.0
2023-04-07 00:00:00+00:00,29239.916015625,30054.529296875,28661.25390625,29409.69140625,46532,0.0,0.0
2023-04-08 00:00:00+00:00,29408.828125,29870.294921875,29022.869140625,29227.5625,8635,0.0,0.0
2023-04-09 00:00:00+00:00,29260.76171875,30389.30859375,28643.22265625,29459.9296875,29492,0.0,0.0
