TIMESTAMP,PONGO35162_OPEN_PRICE_USD,PONGO35162_HIGH_PRICE_USD,PONGO35162_LOW_PRICE_USD,PONGO35162_CLOSE_PRICE_USD,PONGO35162_VOLUME_USD,PONGO35162_DIVIDENDS_USD,PONGO35162_STOCK_SPLITS_USD
2025-03-04 00:00:00+00:00,,,,0.0,108345,0.0,0.0
2025-03-05 00:00:00+00:00,,,,0.0,129633,0.0,0.0
2025-03-06 00:00:00+00:00,,,,0.0,100666,0.0,0.0
2025-03-07 00:00:00+00:00,,,,0.0,92371,0.0,0.0
2025-03-08 00:00:00+00:00,,,,0.0,97253,0.0,0.0
2025-03-09 00:00:00+00:00,,,,0.0,83903,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,83639,0.0,0.0
2025-03-11 00:00:00+00:00,,,,0.0,154067,0.0,0.0
2025-03-12 00:00:00+00:00,,,,0.0,104163,0.0,0.0
2025-03-13 00:00:00+00:00,,,,0.0,77931,0.0,0.0
2025-03-14 00:00:00+00:00,,,,0.0,80003,0.0,0.0
2025-03-15 00:00:00+00:00,,,,0.0,75822,0.0,0.0
2025-03-16 00:00:00+00:00,,,,0.0,73869,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,107265,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,114165,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,120838,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,120746,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,104778,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,96900,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,103105,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,106004,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,114357,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,93793,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,101045,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,94588,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,98548,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,103372,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,83307,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,100760,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,101955,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,100180,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,143622,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,95551,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,87524,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,102027,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,97932,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,115542,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,98559,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,101538,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,118283,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,94386,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,101291,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,95670,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,101830,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,86380,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,74352,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,113850,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,109935,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,63086,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,90138,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,151564,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,112997,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,102929,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,154675,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,100395,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,98260,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,94339,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,108727,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,95067,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,101025,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,109185,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,96134,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,88680,0.0,0.0
