TIMESTAMP,WALE36441_OPEN_PRICE_USD,WALE36441_HIGH_PRICE_USD,WALE36441_LOW_PRICE_USD,WALE36441_CLOSE_PRICE_USD,WALE36441_VOLUME_USD,WALE36441_DIVIDENDS_USD,WALE36441_STOCK_SPLITS_USD
2025-05-08 00:00:00+00:00,0.004098000004887581,0.005421000067144632,0.0039450000040233135,0.005233000032603741,459239,0.0,0.0
2025-05-09 00:00:00+00:00,0.005229000002145767,0.0055959997698664665,0.0019710001070052385,0.0026910000015050173,396809,0.0,0.0
2025-05-10 00:00:00+00:00,0.0026910000015050173,0.002954999916255474,0.0006440000142902136,0.0007580000092275441,415899,0.0,0.0
2025-05-11 00:00:00+00:00,0.0007580000092275441,0.000813000020571053,0.00012199999764561653,0.0001230000052601099,177594,0.0,0.0
2025-05-12 00:00:00+00:00,0.0001230000052601099,0.0001429999974789098,7.999999979801942e-06,1.2000000424450263e-05,74297,0.0,0.0
2025-05-13 00:00:00+00:00,1.2000000424450263e-05,6.299999949987978e-05,1.2000000424450263e-05,6.199999916134402e-05,46628,0.0,0.0
2025-05-14 00:00:00+00:00,6.199999916134402e-05,6.199999916134402e-05,3.199999991920777e-05,3.7999998312443495e-05,19593,0.0,0.0
2025-05-15 00:00:00+00:00,3.7999998312443495e-05,4.199999966658652e-05,2.700000004551839e-05,3.300000025774352e-05,9583,0.0,0.0
2025-05-16 00:00:00+00:00,3.300000025774352e-05,3.5000000934815034e-05,1.9999999494757503e-05,2.2000000171829015e-05,6791,0.0,0.0
2025-05-17 00:00:00+00:00,2.2000000171829015e-05,2.700000004551839e-05,2.2000000171829015e-05,2.4000000848900527e-05,3117,0.0,0.0
2025-05-18 00:00:00+00:00,2.4000000848900527e-05,3.400000059627928e-05,2.300000051036477e-05,3.099999958067201e-05,3944,0.0,0.0
2025-05-19 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.9000000722589903e-05,2.9999999242136255e-05,2360,0.0,0.0
2025-05-20 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.499999936844688e-05,2.5999999706982635e-05,0,0.0,0.0
2025-05-21 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.300000051036477e-05,2.499999936844688e-05,903,0.0,0.0
2025-05-22 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,1.2000000424450263e-05,1.2000000424450263e-05,0,0.0,0.0
2025-05-23 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,0,0.0,0.0
2025-05-24 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,0,0.0,0.0
2025-05-25 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,0,0.0,0.0
2025-05-26 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,0,0.0,0.0
2025-05-27 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,0,0.0,0.0
2025-05-28 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,0,0.0,0.0
