TIMESTAMP,NETKO_CLOSE_PRICE_USD,NETKO_OPEN_PRICE_USD,NETKO_HIGH_PRICE_USD,NETKO_LOW_PRICE_USD
2018-03-01,0.161158,0.157832,0.165955,0.156227
2018-03-02,0.16277,0.161352,0.165157,0.159177
2018-03-03,0.154145,0.162716,0.169913,0.150334
2018-03-04,0.145915,0.154313,0.156692,0.142198
2018-03-05,0.144802,0.145948,0.148328,0.140174
2018-03-06,0.135827,0.1435,0.143966,0.134497
2018-03-07,0.125963,0.13591,0.138023,0.121588
2018-03-08,0.120026,0.12615,0.130156,0.116769
2018-03-09,0.11903,0.12006,0.121609,0.107808
2018-03-10,0.096533,0.118986,0.122673,0.095589
2018-03-11,0.111248,0.096634,0.114171,0.09252
2018-03-12,0.110898,0.11146,0.120675,0.105343
2018-03-13,0.114598,0.11104,0.117215,0.106071
2018-03-14,0.102185,0.11466,0.280282,0.097407
2018-03-15,0.099324,0.101995,0.122294,0.082683
2018-03-16,0.097844,0.099339,0.105661,0.088933
2018-03-17,0.090551,0.09736,0.097625,0.086275
2018-03-18,0.090077,0.090309,0.091222,0.080364
2018-03-19,0.095158,0.090099,0.097512,0.0892
2018-03-20,0.097499,0.095027,0.099567,0.090451
2018-03-21,0.104673,0.097632,0.104963,0.094291
2018-03-22,0.122864,0.104664,0.13627,0.096331
2018-03-23,0.105654,0.122522,0.122522,0.09525
2018-03-24,0.121633,0.105819,0.125249,0.103245
2018-03-25,0.107318,0.123359,0.123889,0.10481
2018-03-26,0.095101,0.107354,0.119594,0.092654
2018-03-27,0.093071,0.096179,0.10341,0.091854
2018-03-28,0.096384,0.09297,0.101458,0.091239
2018-03-29,0.087865,0.096545,0.100713,0.085344
2018-03-30,0.098022,0.08802,0.105979,0.087499
2018-03-31,0.101669,0.097852,0.105944,0.095251
2018-04-01,0.102493,0.101697,0.106541,0.094805
2018-04-02,0.110092,0.102569,0.200677,0.101567
2018-04-03,0.131692,0.109951,0.161385,0.096623
2018-04-04,0.124101,0.131672,0.17102,0.118222
2018-04-05,0.132884,0.124059,0.137699,0.118985
2018-04-06,0.134983,0.13306,0.13877,0.119883
2018-04-07,0.154665,0.134951,0.166438,0.130185
2018-04-08,0.142572,0.154811,0.165042,0.136053
2018-04-09,0.146343,0.142516,0.164167,0.132053
2018-04-10,0.164672,0.146706,0.181852,0.143821
2018-04-11,0.164084,0.164752,0.166416,0.143856
2018-04-12,0.176613,0.164028,0.194928,0.162252
2018-04-13,0.164395,0.176752,0.182982,0.157967
2018-04-14,0.157571,0.164316,0.169262,0.155649
2018-04-15,0.170249,0.157623,0.18726,0.155853
2018-04-16,0.185936,0.170178,0.186461,0.160541
2018-04-17,0.165234,0.186015,0.18636,0.162856
2018-04-18,0.187,0.16547,0.18728,0.164087
2018-04-19,0.17621,0.187168,0.194171,0.169489
2018-04-20,0.19782,0.176071,0.198919,0.174328
2018-04-21,0.197507,0.197943,0.211897,0.186918
2018-04-22,0.199201,0.197529,0.210105,0.189859
2018-04-23,0.20396,0.198681,0.214757,0.198171
2018-04-24,0.223364,0.203997,0.225387,0.203295
2018-04-25,0.205663,0.223472,0.225929,0.202286
2018-04-26,0.207664,0.205354,0.208337,0.188995
2018-04-27,0.183365,0.207722,0.208632,0.182842
2018-04-28,0.191208,0.183168,0.193263,0.182193
2018-04-29,0.187729,0.191154,0.19565,0.172138
2018-04-30,0.182104,0.1879,0.197031,0.15158
2018-05-01,0.166682,0.182234,0.183473,0.142004
2018-05-02,0.184789,0.166788,0.187009,0.164152
2018-05-03,0.17868,0.184942,0.185978,0.140973
2018-05-04,0.15944,0.178665,0.178665,0.156009
2018-05-05,0.157596,0.159131,0.169513,0.144618
2018-05-06,0.149227,0.157923,0.159523,0.147221
2018-05-07,0.141927,0.149227,0.149444,0.140557
2018-05-08,0.133855,0.141661,0.143419,1.5e-05
2018-05-09,0.13516,0.133584,0.137263,0.130568
2018-05-10,0.135552,0.135181,0.145039,0.134813
2018-05-11,0.115395,0.135432,0.149362,0.11454
2018-05-12,0.132782,0.115839,0.138615,0.113357
2018-05-13,0.12843,0.132948,0.134073,0.122594
2018-05-14,0.124589,0.128434,0.130745,0.119859
2018-05-15,0.122715,0.124579,0.129264,0.121157
2018-05-16,0.116734,0.122714,0.123036,0.115795
2018-05-17,0.117159,0.116835,0.122273,0.113901
2018-05-18,0.120247,0.117007,0.124096,0.100818
2018-05-19,0.120056,0.120247,0.124529,0.102709
2018-05-20,0.136711,0.119925,0.15257,0.114944
2018-05-21,0.118458,0.138706,0.167324,0.117792
2018-05-22,0.130911,0.118447,0.151224,0.113725
2018-05-23,0.119807,0.130865,0.147725,0.117005
2018-05-24,0.121431,0.120016,0.133503,0.114252
2018-05-25,0.114256,0.121482,0.126574,0.100156
2018-05-26,0.106431,0.114235,0.118315,0.104434
2018-05-27,0.103599,0.106382,0.107106,0.102634
2018-05-28,0.095634,0.103599,0.107256,0.095484
2018-05-29,0.102675,0.095693,0.103561,0.094979
2018-05-30,0.105944,0.102796,0.106116,0.100492
2018-05-31,0.10863,0.105944,0.11869,0.104997
2018-06-01,0.098187,0.10862,0.115668,0.091982
2018-06-02,0.093184,0.098266,0.098331,0.092384
2018-06-03,0.083818,0.093113,0.096143,0.080468
2018-06-04,0.100315,0.08814,0.1033,0.08327
2018-06-05,0.103464,0.100241,0.104466,0.098612
2018-06-06,0.100874,0.103552,0.105602,0.098578
2018-06-07,0.102109,0.100879,0.104403,0.10008
2018-06-08,0.095989,0.102067,0.10275,0.093568
2018-06-09,0.083661,0.09599,0.097114,0.072998
2018-06-10,0.079177,0.083684,0.083684,0.066748
2018-06-11,0.087261,0.079268,0.093052,0.069969
2018-06-12,0.078966,0.087219,0.09218,0.077744
2018-06-13,0.074773,0.078985,0.08216,0.071624
2018-06-14,0.07829,0.074817,0.07957,0.074612
2018-06-15,0.067393,0.07844,0.078574,0.067165
2018-06-16,0.070469,0.067425,0.075744,0.067359
2018-06-17,0.069786,0.070482,0.071284,0.069668
2018-06-18,0.073264,0.069843,0.075138,0.06932
2018-06-19,0.074309,0.073289,0.074798,0.072946
