TIMESTAMP,EGC_OPEN_PRICE_USD,EGC_HIGH_PRICE_USD,EGC_LOW_PRICE_USD,EGC_CLOSE_PRICE_USD,EGC_VOLUME_USD,EGC_DIVIDENDS_USD,EGC_STOCK_SPLITS_USD
2021-10-07 00:00:00+00:00,,,,0.0,3027639,0.0,0.0
2021-10-08 00:00:00+00:00,,,,0.0,3244916,0.0,0.0
2021-10-09 00:00:00+00:00,,,,0.0,7449282,0.0,0.0
2021-10-10 00:00:00+00:00,,,,0.0,6950891,0.0,0.0
2021-10-11 00:00:00+00:00,,,,0.0,9431611,0.0,0.0
2021-10-12 00:00:00+00:00,,,,0.0,21768400,0.0,0.0
2021-10-13 00:00:00+00:00,,,,0.0,21263894,0.0,0.0
2021-10-14 00:00:00+00:00,,,,0.0,13106797,0.0,0.0
2021-10-15 00:00:00+00:00,,,,0.0,11545569,0.0,0.0
2021-10-16 00:00:00+00:00,,,,0.0,8485894,0.0,0.0
2021-10-17 00:00:00+00:00,,,,0.0,5349440,0.0,0.0
2021-10-18 00:00:00+00:00,,,,0.0,5086491,0.0,0.0
2021-10-19 00:00:00+00:00,,,,0.0,6568760,0.0,0.0
2021-10-20 00:00:00+00:00,,,,0.0,5841926,0.0,0.0
2021-10-21 00:00:00+00:00,,,,0.0,3728519,0.0,0.0
2021-10-22 00:00:00+00:00,,,,0.0,3239741,0.0,0.0
2021-10-23 00:00:00+00:00,,,,0.0,3563864,0.0,0.0
2021-10-24 00:00:00+00:00,,,,0.0,3447316,0.0,0.0
2021-10-25 00:00:00+00:00,,,,0.0,3805425,0.0,0.0
2021-10-26 00:00:00+00:00,,,,0.0,6313294,0.0,0.0
2021-10-27 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,10377705,0.0,0.0
2021-10-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,10377705,0.0,0.0
2021-10-29 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,32423210,0.0,0.0
2021-10-30 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,25519622,0.0,0.0
2021-10-31 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,33560484,0.0,0.0
2021-11-01 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,53026410,0.0,0.0
2021-11-02 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,62746153,0.0,0.0
2021-11-03 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,51582596,0.0,0.0
2021-11-04 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,27361054,0.0,0.0
2021-11-05 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,22830380,0.0,0.0
2021-11-06 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,20640747,0.0,0.0
2021-11-07 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,17954258,0.0,0.0
2021-11-08 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,18676030,0.0,0.0
2021-11-09 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,14541557,0.0,0.0
2021-11-10 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,11800694,0.0,0.0
2021-11-11 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,9074265,0.0,0.0
2021-11-12 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,7681519,0.0,0.0
2021-11-13 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,6380824,0.0,0.0
2021-11-14 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,5695595,0.0,0.0
2021-11-15 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,7957809,0.0,0.0
2021-11-16 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,7776845,0.0,0.0
2021-11-17 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,6387222,0.0,0.0
2021-11-18 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,9430928,0.0,0.0
2021-11-19 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,9474471,0.0,0.0
2021-11-20 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,6344471,0.0,0.0
2021-11-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,10720540,0.0,0.0
2021-11-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,8799904,0.0,0.0
2021-11-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4807331,0.0,0.0
2021-11-24 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2861660,0.0,0.0
2021-11-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2222033,0.0,0.0
2021-11-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2928030,0.0,0.0
2021-11-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3820575,0.0,0.0
2021-11-28 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6461578,0.0,0.0
2021-11-29 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,13275586,0.0,0.0
2021-11-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,11024343,0.0,0.0
2021-12-01 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,7211232,0.0,0.0
2021-12-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5015152,0.0,0.0
2021-12-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2849266,0.0,0.0
2021-12-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2378846,0.0,0.0
2021-12-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5281723,0.0,0.0
2021-12-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,6677717,0.0,0.0
2021-12-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2994360,0.0,0.0
2021-12-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3034994,0.0,0.0
2021-12-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2506825,0.0,0.0
2021-12-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1863636,0.0,0.0
2021-12-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,1630877,0.0,0.0
2021-12-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2667919,0.0,0.0
2021-12-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3377706,0.0,0.0
