,LTC,Lag
EDRC,1.1768249828803926e-25,5
USDT,1.8101403406634675e-25,30
VEC2,7.708708678919401e-20,20
PUT,1.5725432082896332e-16,13
NOBL,5.522891182473377e-15,30
RRT,1.2373023595951426e-14,28
SKR,1.4187208793737706e-14,30
WC,1.5034448257970612e-14,16
DCY,2.9981965947547544e-12,1
KOBO,3.580082393065887e-11,18
CARBON,8.251364432376028e-10,29
WYZ,2.3408587869796674e-09,30
UNIT,1.3388182860734866e-08,14
GLC,1.4602175439618241e-08,29
EUC,3.824350932726481e-08,23
XEM,5.3886007124607966e-08,4
FRC,6.033078539480686e-08,13
XMS,1.277199445273753e-07,10
VLT,1.7451889900353552e-07,23
LTCR,1.7722027367613132e-07,12
SWT,2.092987237816942e-07,25
IBANK,2.1017539639186446e-07,24
BLU,3.712816855115946e-07,11
QBC,4.931742490123497e-07,9
MONA,5.506818393803497e-07,29
FRN,6.454805840510997e-07,14
DEM,1.2482237935131457e-06,4
ICON,3.5875813218741893e-06,30
DIME,4.022243017341314e-06,2
C2,4.435832120906091e-06,17
ACES,5.140757440901822e-06,29
XTO,5.404398156588057e-06,25
POST,6.877753021366829e-06,5
BCDN,1.6708829508513947e-05,6
DASH,2.349839833132628e-05,30
ADC,2.7513295825030656e-05,8
GRS,4.1418415870498807e-05,29
RLC,4.8192729211866735e-05,29
CNT,5.364750681102662e-05,22
BTC,5.444964452504826e-05,30
DOGE,5.971319416821886e-05,21
SWING,6.377735238925608e-05,20
IRL,6.436364350359395e-05,30
SPR,6.55035729867734e-05,6
BERN,9.84183397107349e-05,7
ZUR,0.0001030067808672,29
TRST,0.0001115775175769,9
OPAL,0.0001267354702309,1
CAB,0.0001539016915264,29
PHR,0.0001641515567107,30
BITS,0.0001838414811725,11
BTB,0.0001866376000184,30
SWIFT,0.0001960200009147,1
SKULL,0.0002006997563045,5
WBB,0.0002342469845595,14
WAVES,0.0004294670089266,7
ZET,0.0004933977804879,27
GNO,0.0006176411660691,28
ETC,0.0006473205130215,30
SC,0.0006664420008365,30
ALIAS,0.0011030130460364,29
DCT,0.001141681883911,26
ANT,0.0013881657313953,19
RBT,0.001403193375804,24
XLM,0.0014406295212988,30
SIGNA,0.0016231824975122,15
DCR,0.0017300774907355,17
OZO,0.0019809938429303,6
PXC,0.0022292791354002,30
CREVA,0.0027379837647933,9
TAJ,0.0028618168846844,6
NMC,0.0029141410533003,6
ENT,0.0029535262602407,26
WGR,0.0031059229796545,12
PXI,0.0031741598068132,14
TECH,0.0033025791916212,19
STEEM,0.003676463032417,5
KIN,0.0045967741026906,19
PTOY,0.0047022352604404,5
IMS,0.0050333524441495,30
GAS,0.0050391649474469,3
HBD,0.0055910606233112,6
START,0.0055953320193796,26
MOTO,0.0056065067811229,27
QTUM,0.0059211096974832,18
ICOB,0.0062368746843612,1
CJ,0.0062918756651422,29
PKB,0.0083068721153179,23
LBC,0.0087417057283708,14
HVCO,0.0093212352838575,30
IOTA,0.0097875033299204,11
NXT,0.0100735774604693,10
KMD,0.0103971169334086,6
