TIMESTAMP,WAT_OPEN_PRICE_USD,WAT_HIGH_PRICE_USD,WAT_LOW_PRICE_USD,WAT_CLOSE_PRICE_USD,WAT_VOLUME_USD,WAT_DIVIDENDS_USD,WAT_STOCK_SPLITS_USD
2024-06-21 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,475565,0.0,0.0
2024-06-22 00:00:00+00:00,3.000000106112566e-06,9.000000318337698e-06,3.000000106112566e-06,6.000000212225132e-06,1468488,0.0,0.0
2024-06-23 00:00:00+00:00,6.000000212225132e-06,1.2000000424450263e-05,6.000000212225132e-06,7.999999979801942e-06,2099622,0.0,0.0
2024-06-24 00:00:00+00:00,7.999999979801942e-06,1.9999999494757503e-05,4.999999873689376e-06,1.4000000192027073e-05,4604937,0.0,0.0
2024-06-25 00:00:00+00:00,1.4000000192027073e-05,1.8999999156221747e-05,1.1000000085914508e-05,1.4000000192027073e-05,2302825,0.0,0.0
2024-06-26 00:00:00+00:00,1.4000000192027073e-05,2.8000000384054147e-05,1.2000000424450263e-05,2.700000004551839e-05,3642359,0.0,0.0
2024-06-27 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,1.8000000636675395e-05,2.099999983329326e-05,3485783,0.0,0.0
2024-06-28 00:00:00+00:00,2.099999983329326e-05,3.099999958067201e-05,1.8999999156221747e-05,2.4000000848900527e-05,2976604,0.0,0.0
2024-06-29 00:00:00+00:00,2.499999936844688e-05,4.3000000005122274e-05,2.4000000848900527e-05,4.3000000005122274e-05,4292602,0.0,0.0
2024-06-30 00:00:00+00:00,4.3000000005122274e-05,4.8000001697801054e-05,3.400000059627928e-05,3.5000000934815034e-05,3818069,0.0,0.0
2024-07-01 00:00:00+00:00,3.5000000934815034e-05,4.099999932805076e-05,2.499999936844688e-05,3.300000025774352e-05,3879535,0.0,0.0
