TIMESTAMP,DOGC_OPEN_PRICE_USD,DOGC_HIGH_PRICE_USD,DOGC_LOW_PRICE_USD,DOGC_CLOSE_PRICE_USD,DOGC_VOLUME_USD,DOGC_DIVIDENDS_USD,DOGC_STOCK_SPLITS_USD
2023-06-20 00:00:00+00:00,,,,0.0,72399,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,66819,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,47121,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,113205,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,73931,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,40164,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,28899,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,55605,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,40128,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,98980,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,54106,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,16017,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,23595,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,34727,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,84966,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,29970,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,55001,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,45262,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,30799,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,16696,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,11869,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,20526,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,8371,0.0,0.0
2023-07-13 00:00:00+00:00,,,,0.0,5701,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,7939,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,7861,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,6337,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,7001,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,18598,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,7177,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,9859,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,2219,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,23193,0.0,0.0
2023-07-23 00:00:00+00:00,,,,0.0,8891,0.0,0.0
