TIMESTAMP,ISHI_OPEN_PRICE_USD,ISHI_HIGH_PRICE_USD,ISHI_LOW_PRICE_USD,ISHI_CLOSE_PRICE_USD,ISHI_VOLUME_USD,ISHI_DIVIDENDS_USD,ISHI_STOCK_SPLITS_USD
2024-03-15 00:00:00+00:00,4.999999873689376e-06,1.700000029813964e-05,3.999999989900971e-06,1.1000000085914508e-05,3328948,0.0,0.0
2024-03-16 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,3.000000106112566e-06,3.999999989900971e-06,2140827,0.0,0.0
2024-03-17 00:00:00+00:00,3.999999989900971e-06,7.000000096013537e-06,3.000000106112566e-06,4.999999873689376e-06,821792,0.0,0.0
2024-03-18 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,9.999999974752427e-07,9.999999974752427e-07,828221,0.0,0.0
2024-03-19 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,407619,0.0,0.0
2024-03-20 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,188048,0.0,0.0
2024-03-21 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,100651,0.0,0.0
2024-03-22 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,205590,0.0,0.0
2024-03-23 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,151755,0.0,0.0
2024-03-24 00:00:00+00:00,9.999999974752427e-07,3.999999989900971e-06,9.999999974752427e-07,3.999999989900971e-06,484893,0.0,0.0
2024-03-25 00:00:00+00:00,3.999999989900971e-06,7.000000096013537e-06,3.000000106112566e-06,3.999999989900971e-06,470670,0.0,0.0
2024-03-26 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,9.999999974752427e-07,1.9999999949504854e-06,461916,0.0,0.0
2024-03-27 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,172586,0.0,0.0
2024-03-28 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,180567,0.0,0.0
2024-03-29 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,75976,0.0,0.0
2024-03-30 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,106681,0.0,0.0
2024-03-31 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,68411,0.0,0.0
2024-04-01 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,57291,0.0,0.0
2024-04-02 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,74288,0.0,0.0
