,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
0,13,2750,0.05,0,26613.336253487905,0.04132731273610287
1,14,3750,0.2,0,28987.447648172783,0.016557014008984464
2,13,3750,0.25,0,31505.745518534706,0.041971780258568625
3,15,5500,0.2,0,31823.887269535073,0.03562520170336997
4,15,5500,0.3,0,32918.521450192864,0.045809022971390854
5,15,5000,0.15,0,35523.65731973875,0.022697820023148185
6,14,4250,0.15,0,39957.673349062265,0.0398533204983954
7,13,3250,0.15,0,42274.22638072427,0.030078185248925093
8,14,5250,0.3,0,56482.81744855042,0.029229773003857925
9,13,4750,0.25,0,66556.3402777935,0.04823461421607947
10,14,5750,0.1,0,67781.01841527442,0.04212198626237874
11,13,4250,0.1,0,91456.44162952882,0.011450515891197364
12,14,5750,0.25,0,91976.84594040993,0.00841289952380114
13,13,4500,0.2,0,94403.05241676101,0.005158087639156355
14,13,4750,0.15,0,104108.88091076908,0.018424558088757245
15,13,5250,0.25,0,127717.52541373708,0.047251402234562756
16,14,6500,0.3,0,154430.12023302857,0.03770521560942812
17,13,4000,0.3,0,231445.9143302263,0.0317004855959212
18,12,6500,0.3,0,235698.20031158376,0.04655526191109555
19,13,7000,0.25,0,267381.2894243812,0.04521689558509598
20,10,7500,0.05,0,270721.70516754896,0.0251448107731121
21,10,7750,0.05,0,276485.28405159037,0.03086859494313552
22,10,8000,0.05,0,316063.01068805164,0.0336319965873275
23,6,250,0.15,1,84.00378104175815,0.6647705145474684
24,6,250,0.3,1,84.01551843646307,0.6646494031446029
25,6,250,0.25,1,84.01613936785446,0.664553264510957
26,6,250,0.2,1,84.01706962138717,0.664413783216658
27,12,750,0.3,1,84.03026375011493,0.6422621471468838
28,12,750,0.25,1,84.03338205702445,0.6418887164219472
29,7,250,0.3,1,84.0382116049572,0.5867936684202969
30,10,500,0.3,1,84.03961684698068,0.4515762348255793
31,8,250,0.3,1,84.04148363919346,0.7389150881841834
32,9,250,0.3,1,84.0458858967279,0.7407267820877168
33,7,250,0.25,1,84.04880696689845,0.5873590018033066
34,10,500,0.25,1,84.04991761875328,0.4513426263323439
35,12,500,0.3,1,84.05291386029221,0.6376360632538169
36,8,250,0.25,1,84.05302237236464,0.7392787088713443
37,9,500,0.3,1,84.05447319987304,0.843925652713001
38,11,500,0.3,1,84.05763739236055,0.5836859580448782
39,12,750,0.2,1,84.05927047561298,0.6416683291612707
40,9,250,0.25,1,84.05946608556906,0.740872864031447
41,12,500,0.25,1,84.06697597523991,0.636554915219389
42,7,250,0.2,1,84.0685433780651,0.5878522207581753
43,10,500,0.2,1,84.06941769236747,0.4510895891264229
44,9,500,0.25,1,84.07103391936741,0.8438871642531508
45,11,500,0.25,1,84.07182558829635,0.5828964741791008
46,8,250,0.2,1,84.07423031995863,0.739682970343815
47,9,250,0.2,1,84.08451916197887,0.741014430783481
48,12,500,0.2,1,84.09221625728263,0.6352211863355953
49,9,500,0.2,1,84.0985511692206,0.8437971686758657
50,11,500,0.2,1,84.09917172008728,0.5819593017067749
51,7,250,0.15,1,84.11262195645463,0.5881710998599867
52,8,250,0.15,1,84.12126995730347,0.7401251730947479
53,9,250,0.15,1,84.13942011510838,0.7411316007071529
54,12,500,0.15,1,84.14310278017656,0.6334285094313766
55,11,500,0.15,1,84.14666964487893,0.5808728701870846
56,10,500,0.15,1,84.1598027045937,0.45061390510020644
57,9,500,0.15,1,84.21134186232396,0.8433621922859411
58,7,250,0.1,1,84.22210749414864,0.5876469297577785
59,8,250,0.1,1,84.27160185510233,0.7406286774849387
60,9,250,0.1,1,84.30325228874122,0.7412010341274946
61,12,500,0.1,1,84.34104775391042,0.6293208075500628
62,10,750,0.3,1,84.38229248436265,0.4944343553906643
63,11,500,0.1,1,84.48964319894009,0.5777419582134196
64,8,250,0.05,1,85.17375407888115,0.7395690918051268
65,9,250,0.05,1,85.35061728363135,0.741325492276931
66,14,500,0.3,1,85.49245068566091,0.3156123726259843
67,14,750,0.3,1,85.61118042223627,0.41337175761036626
68,15,750,0.3,1,85.71280936626368,0.770431968710028
69,14,750,0.25,1,85.79233112660363,0.4287784140676039
70,7,250,0.05,1,85.80882275070009,0.588738633216688
71,13,250,0.3,1,85.84836965010285,0.8065484815228767
72,14,500,0.25,1,86.1864275411768,0.29848847326805317
73,15,500,0.3,1,86.24024480884249,0.15266669256031068
74,15,750,0.25,1,86.54316875041602,0.7822820211379393
75,13,250,0.25,1,86.5632953721183,0.8094061603137339
76,11,750,0.3,1,86.69013191552777,0.5969162560069454
77,12,1000,0.3,1,86.71938302226756,0.6549849913779489
78,12,250,0.3,1,87.10059286263031,0.76443735916215
79,14,750,0.2,1,87.22267589712285,0.4515749680186128
80,11,500,0.05,1,87.3320354059302,0.5751433084855531
81,15,500,0.25,1,87.49392136344322,0.13671622618655122
82,14,500,0.2,1,87.53928358430416,0.2761580595268606
83,13,250,0.2,1,87.83428348075621,0.8128136148307814
84,13,750,0.2,1,87.87585424583526,0.5116792002724988
85,15,750,0.2,1,88.03926319827077,0.7983346809110119
86,14,1000,0.3,1,88.15541682673245,0.6836153423436583
87,10,500,0.1,1,88.27867567000989,0.4539802556595782
88,12,250,0.25,1,88.45118084355077,0.7749466941355305
89,13,1000,0.3,1,88.49394733178701,0.7394916038980532
90,10,250,0.3,1,88.93432772703675,0.16172999176571284
91,13,500,0.3,1,88.94865314379574,0.5009077967692547
92,13,500,0.25,1,89.15431612841921,0.48388814220678994
93,13,500,0.2,1,89.28481471143226,0.4510748731045166
94,15,500,0.2,1,90.25053299588268,0.11629009753247505
95,15,750,0.15,1,90.33095567097992,0.8193350268685662
96,13,250,0.15,1,90.52779278249956,0.8166993560749767
97,13,500,0.15,1,90.58559174761463,0.39567608621171035
98,14,500,0.15,1,90.74467240480723,0.2466080947811144
99,12,250,0.2,1,90.91656945635371,0.788364002874345
100,10,250,0.25,1,91.21464820585967,0.16543650615058048
101,13,750,0.25,1,92.0828647357077,0.47010558300440713
102,10,250,0.2,1,95.4084447069655,0.17310902541665868
103,15,1000,0.25,1,95.63163560284156,0.8211620579010759
