TIMESTAMP,SPEEDY_OPEN_PRICE_USD,SPEEDY_HIGH_PRICE_USD,SPEEDY_LOW_PRICE_USD,SPEEDY_CLOSE_PRICE_USD,SPEEDY_VOLUME_USD,SPEEDY_DIVIDENDS_USD,SPEEDY_STOCK_SPLITS_USD
2024-04-16 00:00:00+00:00,2.5999999706982635e-05,3.099999958067201e-05,2.2000000171829015e-05,2.300000051036477e-05,1680162,0.0,0.0
2024-04-17 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.4999999621068127e-05,1.4999999621068127e-05,1672839,0.0,0.0
2024-04-18 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,9.000000318337698e-06,1.5999999959603883e-05,1312101,0.0,0.0
2024-04-19 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,7.999999979801942e-06,1.1000000085914508e-05,1513786,0.0,0.0
2024-04-20 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2999999853491317e-05,892556,0.0,0.0
2024-04-21 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2000000424450263e-05,488963,0.0,0.0
2024-04-22 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,7.999999979801942e-06,9.000000318337698e-06,853345,0.0,0.0
2024-04-23 00:00:00+00:00,9.000000318337698e-06,1.2000000424450263e-05,9.000000318337698e-06,9.000000318337698e-06,659049,0.0,0.0
2024-04-24 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,7.999999979801942e-06,7.999999979801942e-06,859383,0.0,0.0
2024-04-25 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,1030014,0.0,0.0
2024-04-26 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,764601,0.0,0.0
2024-04-27 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,554197,0.0,0.0
