TIMESTAMP,SHOOT_OPEN_PRICE_USD,SHOOT_HIGH_PRICE_USD,SHOOT_LOW_PRICE_USD,SHOOT_CLOSE_PRICE_USD,SHOOT_VOLUME_USD,SHOOT_DIVIDENDS_USD,SHOOT_STOCK_SPLITS_USD
2024-04-16 00:00:00+00:00,0.019972000271081924,0.0283610001206398,0.019840000197291374,0.023636000230908394,89359,0.0,0.0
2024-04-17 00:00:00+00:00,0.023583000525832176,0.027349000796675682,0.02026900090277195,0.02151699922978878,189597,0.0,0.0
2024-04-18 00:00:00+00:00,0.02151699922978878,0.024974999949336052,0.018503999337553978,0.019401999190449715,174851,0.0,0.0
2024-04-19 00:00:00+00:00,0.019401999190449715,0.022993000224232674,0.012463999912142754,0.017209000885486603,346789,0.0,0.0
2024-04-20 00:00:00+00:00,0.017209000885486603,0.02002199925482273,0.016114000231027603,0.016114000231027603,207007,0.0,0.0
2024-04-21 00:00:00+00:00,0.016258999705314636,0.018557000905275345,0.014801999554038048,0.017754999920725822,202383,0.0,0.0
2024-04-22 00:00:00+00:00,0.017754999920725822,0.017896000295877457,0.014151000417768955,0.01510700024664402,172646,0.0,0.0
2024-04-23 00:00:00+00:00,0.01510700024664402,0.02061299979686737,0.013935999944806099,0.018943000584840775,333092,0.0,0.0
2024-04-24 00:00:00+00:00,0.018502000719308853,0.01913899928331375,0.017198000103235245,0.01823199912905693,244100,0.0,0.0
2024-04-25 00:00:00+00:00,0.01823199912905693,0.018814999610185623,0.01644900068640709,0.01831500045955181,248503,0.0,0.0
2024-04-26 00:00:00+00:00,0.01831500045955181,0.018844999372959137,0.014960999600589275,0.01613900065422058,254040,0.0,0.0
2024-04-27 00:00:00+00:00,0.01613900065422058,0.02119000069797039,0.01613900065422058,0.019693000242114067,479769,0.0,0.0
2024-04-28 00:00:00+00:00,0.019693000242114067,0.020284000784158707,0.018281999975442886,0.018710000440478325,294757,0.0,0.0
2024-04-29 00:00:00+00:00,0.018710000440478325,0.023142000660300255,0.017542999237775803,0.02160700038075447,491176,0.0,0.0
2024-04-30 00:00:00+00:00,0.02160700038075447,0.02183300070464611,0.017638999968767166,0.018279999494552612,347913,0.0,0.0
2024-05-01 00:00:00+00:00,0.018279999494552612,0.018362000584602356,0.01706100068986416,0.01810299977660179,387912,0.0,0.0
2024-05-02 00:00:00+00:00,0.01810299977660179,0.018530000001192093,0.01573299989104271,0.01687600091099739,386294,0.0,0.0
2024-05-03 00:00:00+00:00,0.016826000064611435,0.017813000828027725,0.016572000458836555,0.01728300005197525,483091,0.0,0.0
2024-05-04 00:00:00+00:00,0.01728300005197525,0.018200000748038292,0.01728300005197525,0.018101999536156654,443761,0.0,0.0
2024-05-05 00:00:00+00:00,0.018101999536156654,0.018302999436855316,0.01727299951016903,0.017885999754071236,406675,0.0,0.0
2024-05-06 00:00:00+00:00,0.017885999754071236,0.018195999786257744,0.016700999811291695,0.016852999106049538,335912,0.0,0.0
