,K,Alpha,Tau,MSE
0,9,500,0.3,0.1977179932283333
1,9,500,0.25,0.19772050161697405
2,10,500,0.3,0.19772499332437715
3,8,250,0.3,0.19772511932721798
4,9,250,0.3,0.1977256734962429
5,7,250,0.3,0.19772654106794713
6,10,500,0.25,0.19773141378296397
7,8,250,0.25,0.19773192668227507
8,9,250,0.25,0.1977322524922822
9,7,250,0.25,0.19773434343409044
10,10,500,0.2,0.19774334461948717
11,9,250,0.2,0.1977445532661115
12,8,250,0.2,0.1977447624007251
13,7,250,0.2,0.19774915775960433
14,10,250,0.3,0.19775426095840823
15,10,250,0.25,0.19777111022396732
16,9,250,0.15,0.19777188955191852
17,8,250,0.15,0.19777349398348462
18,7,250,0.15,0.19778257589973355
19,10,500,0.15,0.19779819308138882
20,10,250,0.2,0.19780045264378068
21,11,250,0.3,0.19784026350344355
22,9,250,0.1,0.19785549356633184
23,10,250,0.15,0.19785926475846904
24,8,250,0.1,0.19786423609478834
25,7,250,0.1,0.19788874681258053
26,11,250,0.25,0.19789176721020876
27,11,500,0.3,0.19793397113204314
28,11,250,0.2,0.1979821386400161
29,10,250,0.1,0.198005728166119
30,11,500,0.25,0.19803766360600356
31,12,750,0.3,0.19810157450359164
32,11,250,0.15,0.19816372293715995
33,11,500,0.2,0.19824396331138588
34,12,750,0.25,0.19825300183053246
35,13,750,0.3,0.19829911297118824
36,9,250,0.05,0.1985043847235512
37,13,750,0.25,0.19853865765692283
38,14,750,0.3,0.19856303758281113
39,10,250,0.05,0.198565170687991
40,11,250,0.1,0.198602332171
41,14,750,0.25,0.19890701084960336
42,11,500,0.15,0.19893244771011562
43,12,750,0.2,0.19894926882735886
44,13,750,0.2,0.19898366476821644
45,9,500,0.2,0.1994337515867653
46,14,750,0.2,0.1995283862240244
47,11,250,0.05,0.20027044779389588
48,12,250,0.3,0.20036291153341992
49,14,500,0.3,0.2007662114065913
50,14,750,0.15,0.2009070812599473
51,12,1000,0.3,0.20097288271155853
52,13,1000,0.3,0.20136274211250896
53,12,250,0.25,0.20156054118922948
54,14,500,0.25,0.20162336674486941
55,13,750,0.15,0.20212064751662534
56,13,250,0.3,0.2023843697596671
57,12,500,0.3,0.20252392715909415
58,11,750,0.3,0.20258989770869842
59,14,500,0.2,0.20300945806600085
60,13,500,0.3,0.20329048531716612
61,13,1000,0.25,0.2034350669626599
62,12,500,0.25,0.2035043071656908
63,12,250,0.2,0.2037910248352971
64,13,250,0.25,0.20447708409441284
65,14,1000,0.3,0.2046578350684664
66,13,500,0.25,0.20466748675590124
67,8,250,0.05,0.2048334579445817
68,12,500,0.2,0.20488479591968212
69,14,250,0.3,0.20505775196213682
70,15,1250,0.3,0.20534124734996015
71,14,500,0.15,0.2057385353863486
72,15,500,0.3,0.206055865695731
73,13,500,0.2,0.2067622491256763
74,12,500,0.15,0.2073594989835381
75,13,250,0.2,0.20836485170048027
76,12,250,0.15,0.20866769299095647
77,14,1000,0.25,0.20867693478044064
78,14,250,0.25,0.2087230546324056
79,13,500,0.15,0.21068398697337115
80,15,500,0.25,0.21259741278907188
81,14,750,0.1,0.2140550600629945
82,14,500,0.1,0.21447175485704778
83,12,500,0.1,0.2151222212740684
84,14,250,0.2,0.21585399358663185
85,13,250,0.15,0.2168885800338193
86,15,250,0.3,0.21718985036359906
87,14,1000,0.2,0.21882462136619044
88,10,500,0.1,0.21963379673759306
89,15,1250,0.25,0.21970764867064513
90,15,1000,0.3,0.22013767082377622
91,12,750,0.15,0.2220560998981843
92,12,250,0.1,0.22269086053433748
93,13,500,0.1,0.22443471632357484
94,15,1000,0.25,0.227378926150337
95,15,250,0.25,0.228110213813086
96,14,250,0.15,0.2322787202715086
97,15,500,0.2,0.2328086722892855
98,13,250,0.1,0.2419992967932337
99,15,1000,0.2,0.24524006307173424
100,15,250,0.2,0.24993107688144556
101,15,750,0.3,0.2539995264630221
102,15,750,0.25,0.2677820999540952
103,14,250,0.1,0.2812664111606355
104,15,750,0.2,0.28510857067836515
105,15,250,0.15,0.29928294891726376
