TIMESTAMP,ARA27471_OPEN_PRICE_USD,ARA27471_HIGH_PRICE_USD,ARA27471_LOW_PRICE_USD,ARA27471_CLOSE_PRICE_USD,ARA27471_VOLUME_USD,ARA27471_DIVIDENDS_USD,ARA27471_STOCK_SPLITS_USD
2023-07-10 00:00:00+00:00,0.0013379999436438084,0.0014560000272467732,0.0013070000568404794,0.0013160000089555979,4270,0.0,0.0
2023-07-11 00:00:00+00:00,0.0013160000089555979,0.0013640000252053142,0.0013160000089555979,0.0013620000099763274,5134,0.0,0.0
2023-07-12 00:00:00+00:00,0.001357999979518354,0.0016509999986737967,0.001353000057861209,0.0016129999421536922,7219,0.0,0.0
2023-07-13 00:00:00+00:00,0.0016129999421536922,0.0018070000223815441,0.0015200000489130616,0.0016070000128820539,6781,0.0,0.0
2023-07-14 00:00:00+00:00,0.0016070000128820539,0.0016159999649971724,0.0015259999781847,0.001547000021673739,5641,0.0,0.0
2023-07-15 00:00:00+00:00,0.001550000044517219,0.0015689999563619494,0.001366000040434301,0.001370999962091446,4857,0.0,0.0
2023-07-16 00:00:00+00:00,0.0013699999544769526,0.001484000007621944,0.0011889999732375145,0.0011940000113099813,3720,0.0,0.0
2023-07-17 00:00:00+00:00,0.0012049999786540866,0.0012130000395700336,0.000994000001810491,0.0010010000551119447,5345,0.0,0.0
2023-07-18 00:00:00+00:00,0.0010010000551119447,0.0010089999996125698,0.0008820000221021473,0.0008980000275187194,5220,0.0,0.0
2023-07-19 00:00:00+00:00,0.0008980000275187194,0.0009180000051856041,0.0008769999840296805,0.0009130000253207982,5308,0.0,0.0
2023-07-20 00:00:00+00:00,0.0009130000253207982,0.0009159999899566174,0.0007939999923110008,0.0007970000151544809,5913,0.0,0.0
2023-07-21 00:00:00+00:00,0.0007970000151544809,0.0008019999950192869,0.0006970000104047358,0.0007060000207275152,4999,0.0,0.0
2023-07-22 00:00:00+00:00,0.0007060000207275152,0.0007099999929778278,0.0006350000039674342,0.0006370000191964209,5318,0.0,0.0
