TIMESTAMP,PLEB30925_OPEN_PRICE_USD,PLEB30925_HIGH_PRICE_USD,PLEB30925_LOW_PRICE_USD,PLEB30925_CLOSE_PRICE_USD,PLEB30925_VOLUME_USD,PLEB30925_DIVIDENDS_USD,PLEB30925_STOCK_SPLITS_USD
2024-04-25 00:00:00+00:00,,,,0.0,52030,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,24519,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,17644,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,26688,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,34094,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,60745,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,24227,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,28779,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,146522,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,18053,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,22194,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,67587,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,40552,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,27917,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,2598,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,5323,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,12926,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,10239,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,47809,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,218054,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,42921,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,40008,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,59274,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,156862,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,24456,0.0,0.0
