TIMESTAMP,KNOB_OPEN_PRICE_USD,KNOB_HIGH_PRICE_USD,KNOB_LOW_PRICE_USD,KNOB_CLOSE_PRICE_USD,KNOB_VOLUME_USD,KNOB_DIVIDENDS_USD,KNOB_STOCK_SPLITS_USD
2024-04-01 00:00:00+00:00,8.900000102585182e-05,0.00013299999409355223,8.199999865610152e-05,0.00010399999882793054,434188,0.0,0.0
2024-04-02 00:00:00+00:00,0.00010399999882793054,0.00010599999950500205,8.70000003487803e-05,9.500000305706635e-05,101525,0.0,0.0
2024-04-03 00:00:00+00:00,9.500000305706635e-05,9.7999996796716e-05,7.999999797903001e-05,8.199999865610152e-05,45254,0.0,0.0
2024-04-04 00:00:00+00:00,8.199999865610152e-05,8.800000068731606e-05,7.999999797903001e-05,7.999999797903001e-05,43077,0.0,0.0
2024-04-05 00:00:00+00:00,7.999999797903001e-05,7.999999797903001e-05,6.900000153109431e-05,7.100000220816582e-05,34907,0.0,0.0
2024-04-06 00:00:00+00:00,7.100000220816582e-05,7.200000254670158e-05,6.500000017695129e-05,6.900000153109431e-05,22357,0.0,0.0
2024-04-07 00:00:00+00:00,6.900000153109431e-05,7.599999662488699e-05,6.800000119255856e-05,7.400000322377309e-05,20363,0.0,0.0
2024-04-08 00:00:00+00:00,7.400000322377309e-05,7.79999973019585e-05,7.100000220816582e-05,7.79999973019585e-05,24471,0.0,0.0
2024-04-09 00:00:00+00:00,7.899999764049426e-05,8.199999865610152e-05,7.000000186963007e-05,7.000000186963007e-05,28312,0.0,0.0
2024-04-10 00:00:00+00:00,7.000000186963007e-05,7.100000220816582e-05,6.500000017695129e-05,6.900000153109431e-05,20818,0.0,0.0
2024-04-11 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,5.6000000768108293e-05,6.199999916134402e-05,61508,0.0,0.0
2024-04-12 00:00:00+00:00,6.199999916134402e-05,6.399999983841553e-05,5.0999999075429514e-05,5.500000042957254e-05,37906,0.0,0.0
2024-04-13 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,4.3000000005122274e-05,4.8999998398358e-05,32394,0.0,0.0
2024-04-14 00:00:00+00:00,4.8999998398358e-05,5.0999999075429514e-05,4.600000102072954e-05,5.0999999075429514e-05,22712,0.0,0.0
2024-04-15 00:00:00+00:00,5.2999999752501026e-05,5.700000110664405e-05,4.70000013592653e-05,4.8000001697801054e-05,13534,0.0,0.0
2024-04-16 00:00:00+00:00,4.8000001697801054e-05,4.8999998398358e-05,4.5000000682193786e-05,4.70000013592653e-05,9498,0.0,0.0
2024-04-17 00:00:00+00:00,4.8000001697801054e-05,4.999999873689376e-05,4.5000000682193786e-05,4.70000013592653e-05,9411,0.0,0.0
2024-04-18 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,4.400000034365803e-05,4.999999873689376e-05,12517,0.0,0.0
2024-04-19 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.5000000682193786e-05,4.70000013592653e-05,20778,0.0,0.0
2024-04-20 00:00:00+00:00,4.70000013592653e-05,5.400000009103678e-05,4.5000000682193786e-05,5.2999999752501026e-05,22448,0.0,0.0
2024-04-21 00:00:00+00:00,5.400000009103678e-05,5.700000110664405e-05,4.999999873689376e-05,5.2999999752501026e-05,23961,0.0,0.0
2024-04-22 00:00:00+00:00,5.2999999752501026e-05,5.900000178371556e-05,5.199999941396527e-05,5.2999999752501026e-05,15741,0.0,0.0
2024-04-23 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,4.8000001697801054e-05,5.0999999075429514e-05,21694,0.0,0.0
2024-04-24 00:00:00+00:00,4.8999998398358e-05,5.500000042957254e-05,4.70000013592653e-05,4.8000001697801054e-05,22094,0.0,0.0
2024-04-25 00:00:00+00:00,4.8000001697801054e-05,4.999999873689376e-05,4.600000102072954e-05,4.70000013592653e-05,15779,0.0,0.0
2024-04-26 00:00:00+00:00,4.70000013592653e-05,8.199999865610152e-05,4.199999966658652e-05,4.999999873689376e-05,101023,0.0,0.0
2024-04-27 00:00:00+00:00,4.8999998398358e-05,5.6000000768108293e-05,4.70000013592653e-05,5.6000000768108293e-05,33547,0.0,0.0
2024-04-28 00:00:00+00:00,5.6000000768108293e-05,5.8000001445179805e-05,5.2999999752501026e-05,5.2999999752501026e-05,16220,0.0,0.0
2024-04-29 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.70000013592653e-05,4.999999873689376e-05,11974,0.0,0.0
2024-04-30 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.199999966658652e-05,4.400000034365803e-05,15007,0.0,0.0
2024-05-01 00:00:00+00:00,4.3000000005122274e-05,5.500000042957254e-05,4.199999966658652e-05,4.8999998398358e-05,32687,0.0,0.0
2024-05-02 00:00:00+00:00,4.8999998398358e-05,5.199999941396527e-05,4.70000013592653e-05,4.999999873689376e-05,15767,0.0,0.0
2024-05-03 00:00:00+00:00,4.999999873689376e-05,5.2999999752501026e-05,4.8000001697801054e-05,5.0999999075429514e-05,11991,0.0,0.0
2024-05-04 00:00:00+00:00,5.0999999075429514e-05,7.400000322377309e-05,4.8000001697801054e-05,6.600000051548705e-05,167779,0.0,0.0
2024-05-05 00:00:00+00:00,6.600000051548705e-05,6.900000153109431e-05,6.299999949987978e-05,6.299999949987978e-05,58614,0.0,0.0
2024-05-06 00:00:00+00:00,6.299999949987978e-05,6.500000017695129e-05,5.500000042957254e-05,5.900000178371556e-05,42772,0.0,0.0
2024-05-07 00:00:00+00:00,5.900000178371556e-05,6.0999998822808266e-05,5.199999941396527e-05,5.2999999752501026e-05,21117,0.0,0.0
2024-05-08 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,4.8000001697801054e-05,4.999999873689376e-05,13295,0.0,0.0
2024-05-09 00:00:00+00:00,4.999999873689376e-05,5.900000178371556e-05,4.8999998398358e-05,5.700000110664405e-05,24108,0.0,0.0
2024-05-10 00:00:00+00:00,5.700000110664405e-05,5.999999848427251e-05,5.0999999075429514e-05,5.999999848427251e-05,30206,0.0,0.0
2024-05-11 00:00:00+00:00,5.999999848427251e-05,7.100000220816582e-05,5.400000009103678e-05,5.999999848427251e-05,36416,0.0,0.0
