TIMESTAMP,LSK_CLOSE_PRICE_USD,LSK_OPEN_PRICE_USD,LSK_HIGH_PRICE_USD,LSK_LOW_PRICE_USD
2018-01-19,25.8286,25.25,26.23,24.0
2018-01-20,27.5,26.2199,30.0,25.9053
2018-01-21,24.0561,27.5,28.4169,20.0
2018-01-22,23.0,24.0561,25.0,22.3053
2018-01-23,23.4336,23.0,27.6,21.6481
2018-01-24,24.0,23.4336,27.5,22.5915
2018-01-25,23.4807,24.0,24.2506,22.7121
2018-01-26,21.6259,23.5338,24.8654,20.01
2018-01-27,23.42,21.6259,24.47,21.4
2018-01-28,23.8346,23.42,24.4692,22.2511
2018-01-29,23.3341,23.8346,23.8346,21.1
2018-01-30,24.2748,23.3341,24.4611,21.65
2018-01-31,27.4868,24.25,32.23,22.461
2018-02-01,22.2078,27.4868,27.903,22.1893
2018-02-02,22.5368,22.0451,24.0941,16.5442
2018-02-03,23.9708,22.5368,25.2049,20.5939
2018-02-04,20.4254,23.9708,24.1004,19.8471
2018-02-05,16.0742,20.4254,22.3034,12.7917
2018-02-06,18.2825,16.0742,19.1093,12.3052
2018-02-07,19.1104,18.2825,22.0642,16.6004
2018-02-08,24.3391,19.1104,24.3426,18.711
2018-02-09,27.4745,24.3391,27.7721,24.0536
2018-02-10,26.3986,27.4745,30.4748,25.1351
2018-02-11,26.3,26.3986,27.3352,23.9285
2018-02-12,27.854,26.3,28.9845,26.0576
2018-02-13,26.2056,27.854,28.0282,26.0885
2018-02-14,28.3725,26.2056,28.4878,26.0341
2018-02-15,31.2273,28.3725,32.1169,28.1246
2018-02-16,31.1213,31.2273,32.3014,30.8019
2018-02-17,32.6287,31.1213,35.6049,30.4513
2018-02-18,29.0277,32.6287,32.9159,27.9515
2018-02-19,29.4144,29.0277,31.6895,28.915
2018-02-20,26.0833,29.4144,31.7608,25.638
2018-02-21,22.7874,26.0843,26.5955,21.9024
2018-02-22,21.7136,22.7874,24.559,20.7161
2018-02-23,22.6421,21.7136,24.1708,20.8522
2018-02-24,21.4341,22.6421,23.4023,20.7445
2018-02-25,19.9429,21.4341,21.5528,19.9349
2018-02-26,21.5413,19.9429,21.6011,19.7674
2018-02-27,20.2446,21.5413,21.5413,19.5642
2018-02-28,19.1203,20.2446,20.5739,18.504
2018-03-01,19.9278,19.1204,21.8647,18.5579
2018-03-02,19.3384,19.9278,21.116,18.6344
2018-03-03,18.5164,19.3384,19.442,18.1784
2018-03-04,18.312,18.5433,19.1242,18.0268
2018-03-05,18.3694,18.312,18.7154,18.0868
2018-03-06,16.7831,18.3694,18.3694,16.1739
2018-03-07,15.8116,16.7831,17.6319,15.0091
2018-03-08,15.5165,15.8116,17.7881,15.516
2018-03-09,15.6126,15.5165,16.4597,14.4635
2018-03-10,14.988,15.6126,16.5331,14.748
2018-03-11,14.7105,14.988,15.3458,14.1886
2018-03-12,14.2498,14.7105,15.6842,14.2159
2018-03-13,14.5411,14.2498,14.8667,13.9948
2018-03-14,12.169,14.5411,14.5411,11.7895
2018-03-15,13.9103,12.169,13.9103,11.2444
2018-03-16,13.7011,13.9103,14.4557,12.5064
2018-03-17,12.2739,13.7011,13.7011,11.9892
2018-03-18,12.3659,12.2739,12.4402,10.3907
2018-03-19,12.6083,12.176,13.3956,12.1438
2018-03-20,13.8679,12.6083,14.2544,12.4964
2018-03-21,13.783,13.8679,14.319,13.3447
2018-03-22,12.7308,13.783,13.7983,12.6433
2018-03-23,12.2344,12.7308,12.7749,11.7011
2018-03-24,12.2107,12.2344,12.961,12.0655
2018-03-25,12.7742,12.2107,12.8032,11.9996
2018-03-26,11.1625,12.7742,12.8183,10.6537
2018-03-27,10.4086,11.1625,11.1896,10.3089
2018-03-28,9.9702,10.4086,10.5985,9.8856
2018-03-29,8.6462,9.9702,9.9893,8.3754
2018-03-30,7.7658,8.6462,8.6856,7.3311
2018-03-31,8.213,7.7658,8.6827,7.7658
