TIMESTAMP,HONK_OPEN_PRICE_USD,HONK_HIGH_PRICE_USD,HONK_LOW_PRICE_USD,HONK_CLOSE_PRICE_USD,HONK_VOLUME_USD,HONK_DIVIDENDS_USD,HONK_STOCK_SPLITS_USD
2023-04-19 00:00:00+00:00,3.000000106112566e-06,6.000000212225132e-06,9.999999974752427e-07,1.9999999949504854e-06,5417611,0.0,0.0
2023-04-20 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,0.0,9.999999974752427e-07,835417,0.0,0.0
2023-04-21 00:00:00+00:00,,,,0.0,81317,0.0,0.0
2023-04-22 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,127368,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,34688,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,47660,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,52131,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,20549,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,13718,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,10835,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,3588,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,206112,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,140437,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,31165,0.0,0.0
2023-05-03 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,107359,0.0,0.0
2023-05-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,206134,0.0,0.0
2023-05-05 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,252342,0.0,0.0
2023-05-06 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,115983,0.0,0.0
2023-05-07 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,224965,0.0,0.0
2023-05-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,82686,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,28646,0.0,0.0
2023-05-10 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,182227,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,39971,0.0,0.0
