TIMESTAMP,XDOGE27691_OPEN_PRICE_USD,XDOGE27691_HIGH_PRICE_USD,XDOGE27691_LOW_PRICE_USD,XDOGE27691_CLOSE_PRICE_USD,XDOGE27691_VOLUME_USD,XDOGE27691_DIVIDENDS_USD,XDOGE27691_STOCK_SPLITS_USD
2023-07-26 00:00:00+00:00,,,,0.0,1027472,0.0,0.0
2023-07-27 00:00:00+00:00,,,,0.0,418019,0.0,0.0
2023-07-28 00:00:00+00:00,,,,0.0,204756,0.0,0.0
2023-07-29 00:00:00+00:00,,,,0.0,76433,0.0,0.0
2023-07-30 00:00:00+00:00,,,,0.0,57873,0.0,0.0
2023-07-31 00:00:00+00:00,,,,0.0,28719,0.0,0.0
2023-08-01 00:00:00+00:00,,,,0.0,25702,0.0,0.0
2023-08-02 00:00:00+00:00,,,,0.0,24621,0.0,0.0
2023-08-03 00:00:00+00:00,,,,0.0,13380,0.0,0.0
2023-08-04 00:00:00+00:00,,,,0.0,5707,0.0,0.0
2023-08-05 00:00:00+00:00,,,,0.0,1617,0.0,0.0
2023-08-06 00:00:00+00:00,,,,0.0,1301,0.0,0.0
2023-08-07 00:00:00+00:00,,,,0.0,2145,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,1344,0.0,0.0
2023-08-09 00:00:00+00:00,,,,0.0,7912,0.0,0.0
2023-08-10 00:00:00+00:00,,,,0.0,16449,0.0,0.0
2023-08-11 00:00:00+00:00,,,,0.0,6013,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,1477,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,18663,0.0,0.0
2023-08-14 00:00:00+00:00,,,,0.0,47010,0.0,0.0
2023-08-15 00:00:00+00:00,,,,0.0,10569,0.0,0.0
2023-08-16 00:00:00+00:00,,,,0.0,52313,0.0,0.0
2023-08-17 00:00:00+00:00,,,,0.0,225271,0.0,0.0
2023-08-18 00:00:00+00:00,,,,0.0,38180,0.0,0.0
2023-08-19 00:00:00+00:00,,,,0.0,4100,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,77112,0.0,0.0
2023-08-21 00:00:00+00:00,,,,0.0,104315,0.0,0.0
2023-08-22 00:00:00+00:00,,,,0.0,8379,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,80277,0.0,0.0
2023-08-24 00:00:00+00:00,,,,0.0,51645,0.0,0.0
2023-08-25 00:00:00+00:00,,,,0.0,7752,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,4247,0.0,0.0
