TIMESTAMP,TAX_OPEN_PRICE_USD,TAX_HIGH_PRICE_USD,TAX_LOW_PRICE_USD,TAX_CLOSE_PRICE_USD,TAX_VOLUME_USD,TAX_DIVIDENDS_USD,TAX_STOCK_SPLITS_USD
2022-04-03 00:00:00+00:00,,,,0.0,704314,0.0,0.0
2022-04-04 00:00:00+00:00,,,,0.0,1600306,0.0,0.0
2022-04-05 00:00:00+00:00,,,,0.0,996871,0.0,0.0
2022-04-06 00:00:00+00:00,,,,0.0,124054,0.0,0.0
2022-04-07 00:00:00+00:00,,,,0.0,63442,0.0,0.0
2022-04-08 00:00:00+00:00,,,,0.0,40388,0.0,0.0
2022-04-09 00:00:00+00:00,,,,0.0,28787,0.0,0.0
2022-04-10 00:00:00+00:00,,,,0.0,30270,0.0,0.0
2022-04-11 00:00:00+00:00,,,,0.0,19428,0.0,0.0
2022-04-12 00:00:00+00:00,,,,0.0,12117,0.0,0.0
2022-04-13 00:00:00+00:00,,,,0.0,4089,0.0,0.0
2022-04-14 00:00:00+00:00,,,,0.0,7111,0.0,0.0
2022-04-15 00:00:00+00:00,,,,0.0,11640,0.0,0.0
2022-04-16 00:00:00+00:00,,,,0.0,14994,0.0,0.0
2022-04-17 00:00:00+00:00,,,,0.0,11224,0.0,0.0
2022-04-18 00:00:00+00:00,,,,0.0,3106,0.0,0.0
2022-04-19 00:00:00+00:00,,,,0.0,5820,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,5451,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,3476,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,2964,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,1813,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,23531,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,28924,0.0,0.0
2022-04-26 00:00:00+00:00,,,,0.0,7329,0.0,0.0
2022-04-27 00:00:00+00:00,,,,0.0,1507,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,1448,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,1593,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,726,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,243,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,259,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,796,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,1632,0.0,0.0
2022-05-05 00:00:00+00:00,,,,0.0,930,0.0,0.0
2022-05-06 00:00:00+00:00,,,,0.0,231,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,637,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,963,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,1067,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,804,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,176,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,278,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,279,0.0,0.0
