TIMESTAMP,MOM32504_OPEN_PRICE_USD,MOM32504_HIGH_PRICE_USD,MOM32504_LOW_PRICE_USD,MOM32504_CLOSE_PRICE_USD,MOM32504_VOLUME_USD,MOM32504_DIVIDENDS_USD,MOM32504_STOCK_SPLITS_USD
2024-08-01 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,0.0,9.999999974752427e-07,46918,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,1283,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,904,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,443,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,234,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,733,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,990,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,1215,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,161,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,621,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,332,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,138,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,49,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,295,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,2071,0.0,0.0
2024-08-16 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,825,0.0,0.0
2024-08-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,56,0.0,0.0
2024-08-18 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,186,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,956,0.0,0.0
2024-08-20 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,16,0.0,0.0
