TIMESTAMP,PENDY_OPEN_PRICE_USD,PENDY_HIGH_PRICE_USD,PENDY_LOW_PRICE_USD,PENDY_CLOSE_PRICE_USD,PENDY_VOLUME_USD,PENDY_DIVIDENDS_USD,PENDY_STOCK_SPLITS_USD
2024-07-17 00:00:00+00:00,,,,0.0,1437925,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,686243,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,209592,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,478303,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,234781,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,142588,0.0,0.0
2024-07-23 00:00:00+00:00,,,,0.0,136751,0.0,0.0
2024-07-24 00:00:00+00:00,,,,0.0,227709,0.0,0.0
2024-07-25 00:00:00+00:00,,,,0.0,191147,0.0,0.0
2024-07-26 00:00:00+00:00,,,,0.0,188287,0.0,0.0
2024-07-27 00:00:00+00:00,,,,0.0,184213,0.0,0.0
2024-07-28 00:00:00+00:00,,,,0.0,60286,0.0,0.0
2024-07-29 00:00:00+00:00,,,,0.0,79945,0.0,0.0
2024-07-30 00:00:00+00:00,,,,0.0,34513,0.0,0.0
2024-07-31 00:00:00+00:00,,,,0.0,28958,0.0,0.0
2024-08-01 00:00:00+00:00,,,,0.0,29735,0.0,0.0
2024-08-02 00:00:00+00:00,,,,0.0,41469,0.0,0.0
2024-08-03 00:00:00+00:00,,,,0.0,18622,0.0,0.0
2024-08-04 00:00:00+00:00,,,,0.0,18994,0.0,0.0
2024-08-05 00:00:00+00:00,,,,0.0,15916,0.0,0.0
2024-08-06 00:00:00+00:00,,,,0.0,30049,0.0,0.0
2024-08-07 00:00:00+00:00,,,,0.0,12651,0.0,0.0
2024-08-08 00:00:00+00:00,,,,0.0,15654,0.0,0.0
2024-08-09 00:00:00+00:00,,,,0.0,5123,0.0,0.0
2024-08-10 00:00:00+00:00,,,,0.0,2320,0.0,0.0
2024-08-11 00:00:00+00:00,,,,0.0,3785,0.0,0.0
2024-08-12 00:00:00+00:00,,,,0.0,4522,0.0,0.0
2024-08-13 00:00:00+00:00,,,,0.0,7004,0.0,0.0
2024-08-14 00:00:00+00:00,,,,0.0,4534,0.0,0.0
2024-08-15 00:00:00+00:00,,,,0.0,813,0.0,0.0
2024-08-16 00:00:00+00:00,,,,0.0,129,0.0,0.0
2024-08-17 00:00:00+00:00,,,,0.0,1295,0.0,0.0
2024-08-18 00:00:00+00:00,,,,0.0,807,0.0,0.0
2024-08-19 00:00:00+00:00,,,,0.0,2319,0.0,0.0
2024-08-20 00:00:00+00:00,,,,0.0,1001,0.0,0.0
2024-08-21 00:00:00+00:00,,,,0.0,38,0.0,0.0
2024-08-22 00:00:00+00:00,,,,0.0,193,0.0,0.0
2024-08-23 00:00:00+00:00,,,,0.0,502,0.0,0.0
2024-08-24 00:00:00+00:00,,,,0.0,670,0.0,0.0
2024-08-25 00:00:00+00:00,,,,0.0,493,0.0,0.0
2024-08-26 00:00:00+00:00,,,,0.0,293,0.0,0.0
2024-08-27 00:00:00+00:00,,,,0.0,18704,0.0,0.0
2024-08-28 00:00:00+00:00,,,,0.0,3689,0.0,0.0
2024-08-29 00:00:00+00:00,,,,0.0,2001,0.0,0.0
2024-08-30 00:00:00+00:00,,,,0.0,1149,0.0,0.0
2024-08-31 00:00:00+00:00,,,,0.0,2066,0.0,0.0
2024-09-01 00:00:00+00:00,,,,0.0,4551,0.0,0.0
2024-09-02 00:00:00+00:00,,,,0.0,1293,0.0,0.0
2024-09-03 00:00:00+00:00,,,,0.0,2051,0.0,0.0
2024-09-04 00:00:00+00:00,,,,0.0,3909,0.0,0.0
2024-09-05 00:00:00+00:00,,,,0.0,3263,0.0,0.0
2024-09-06 00:00:00+00:00,,,,0.0,4354,0.0,0.0
2024-09-07 00:00:00+00:00,,,,0.0,502,0.0,0.0
