Categorie: Alle categorieën

Maand,Monero: (Wereldwijd)
2009-01,2
2009-02,2
2009-03,2
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,1
2010-12,1
2011-01,1
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,1
2011-08,1
2011-09,2
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,1
2012-07,2
2012-08,1
2012-09,2
2012-10,2
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,2
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,2
2013-11,2
2013-12,2
2014-01,1
2014-02,2
2014-03,2
2014-04,2
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,3
2015-04,3
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,2
2015-12,2
2016-01,2
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,3
2016-07,3
2016-08,6
2016-09,10
2016-10,5
2016-11,3
2016-12,4
2017-01,6
2017-02,4
2017-03,6
2017-04,5
2017-05,12
2017-06,16
2017-07,12
2017-08,26
2017-09,24
2017-10,19
2017-11,33
2017-12,100
2018-01,80
2018-02,43
2018-03,32
2018-04,33
2018-05,24
2018-06,17
2018-07,15
2018-08,14
2018-09,15
2018-10,14
2018-11,11
2018-12,9
2019-01,10
2019-02,8
2019-03,9
2019-04,8
2019-05,9
2019-06,11
2019-07,9
2019-08,8
2019-09,7
2019-10,7
2019-11,8
2019-12,8
2020-01,8
2020-02,8
2020-03,7
2020-04,9
2020-05,9
2020-06,6
2020-07,8
2020-08,9
2020-09,9
2020-10,10
2020-11,10
2020-12,14
2021-01,21
2021-02,27
2021-03,20
2021-04,27
2021-05,31
2021-06,20
2021-07,13
2021-08,13
2021-09,10
2021-10,10
2021-11,14
2021-12,15
2022-01,20
2022-02,18
2022-03,19
2022-04,19
2022-05,18
2022-06,16
2022-07,14
2022-08,14
2022-09,13
2022-10,10
2022-11,11
2022-12,10
2023-01,10
2023-02,8
2023-03,10
2023-04,10
2023-05,8
2023-06,6
2023-07,6
2023-08,7
2023-09,6
2023-10,6
2023-11,7
2023-12,7
2024-01,8
2024-02,11
2024-03,10
2024-04,9
2024-05,7
2024-06,7
2024-07,7
2024-08,10
2024-09,10
2024-10,10
2024-11,12
2024-12,16
2025-01,13
2025-02,12
2025-03,11
2025-04,11
2025-05,16
