TIMESTAMP,XPC_OPEN_PRICE_USD,XPC_HIGH_PRICE_USD,XPC_LOW_PRICE_USD,XPC_CLOSE_PRICE_USD,XPC_VOLUME_USD,XPC_DIVIDENDS_USD,XPC_STOCK_SPLITS_USD
2019-02-25 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.300000025774352e-05,3.300000025774352e-05,13422,0.0,0.0
2019-02-26 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.199999991920777e-05,3.300000025774352e-05,26203,0.0,0.0
2019-02-27 00:00:00+00:00,3.300000025774352e-05,3.9999998989515007e-05,3.199999991920777e-05,3.899999865097925e-05,23019,0.0,0.0
2019-02-28 00:00:00+00:00,3.899999865097925e-05,3.899999865097925e-05,3.199999991920777e-05,3.300000025774352e-05,16374,0.0,0.0
2019-03-01 00:00:00+00:00,3.300000025774352e-05,3.7000001611886546e-05,3.300000025774352e-05,3.600000127335079e-05,15813,0.0,0.0
2019-03-02 00:00:00+00:00,3.600000127335079e-05,3.899999865097925e-05,3.5000000934815034e-05,3.7999998312443495e-05,17466,0.0,0.0
2019-03-03 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,3.199999991920777e-05,3.300000025774352e-05,15783,0.0,0.0
2019-03-04 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.099999958067201e-05,3.400000059627928e-05,16055,0.0,0.0
2019-03-05 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.8000000384054147e-05,2.9999999242136255e-05,23720,0.0,0.0
2019-03-06 00:00:00+00:00,2.9999999242136255e-05,3.600000127335079e-05,2.9000000722589903e-05,3.199999991920777e-05,22734,0.0,0.0
2019-03-07 00:00:00+00:00,3.199999991920777e-05,3.5000000934815034e-05,2.700000004551839e-05,3.099999958067201e-05,19256,0.0,0.0
2019-03-08 00:00:00+00:00,3.099999958067201e-05,3.199999991920777e-05,2.8000000384054147e-05,3.099999958067201e-05,19822,0.0,0.0
2019-03-09 00:00:00+00:00,2.9999999242136255e-05,3.300000025774352e-05,2.8000000384054147e-05,3.099999958067201e-05,26677,0.0,0.0
2019-03-10 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9999999242136255e-05,11904,0.0,0.0
2019-03-11 00:00:00+00:00,2.9999999242136255e-05,5.999999848427251e-05,2.9999999242136255e-05,3.7000001611886546e-05,67362,0.0,0.0
2019-03-12 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.300000025774352e-05,3.5000000934815034e-05,21652,0.0,0.0
2019-03-13 00:00:00+00:00,3.5000000934815034e-05,3.600000127335079e-05,3.400000059627928e-05,3.5000000934815034e-05,15977,0.0,0.0
2019-03-14 00:00:00+00:00,3.5000000934815034e-05,3.7000001611886546e-05,3.5000000934815034e-05,3.600000127335079e-05,12512,0.0,0.0
2019-03-15 00:00:00+00:00,3.7000001611886546e-05,3.9999998989515007e-05,3.600000127335079e-05,3.899999865097925e-05,17597,0.0,0.0
2019-03-16 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.7000001611886546e-05,26986,0.0,0.0
2019-03-17 00:00:00+00:00,3.7999998312443495e-05,3.899999865097925e-05,3.600000127335079e-05,3.600000127335079e-05,25852,0.0,0.0
2019-03-18 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.400000059627928e-05,3.5000000934815034e-05,17220,0.0,0.0
2019-03-19 00:00:00+00:00,3.400000059627928e-05,3.600000127335079e-05,3.400000059627928e-05,3.5000000934815034e-05,17955,0.0,0.0
2019-03-20 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.400000059627928e-05,3.5000000934815034e-05,19896,0.0,0.0
2019-03-21 00:00:00+00:00,3.5000000934815034e-05,3.7000001611886546e-05,3.5000000934815034e-05,3.7000001611886546e-05,19365,0.0,0.0
2019-03-22 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.199999991920777e-05,3.300000025774352e-05,18468,0.0,0.0
2019-03-23 00:00:00+00:00,3.300000025774352e-05,3.5000000934815034e-05,3.199999991920777e-05,3.5000000934815034e-05,13061,0.0,0.0
2019-03-24 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.499999936844688e-05,2.9999999242136255e-05,23352,0.0,0.0
2019-03-25 00:00:00+00:00,2.9999999242136255e-05,3.5000000934815034e-05,2.9999999242136255e-05,3.199999991920777e-05,20055,0.0,0.0
2019-03-26 00:00:00+00:00,3.199999991920777e-05,3.300000025774352e-05,2.9999999242136255e-05,2.9999999242136255e-05,20344,0.0,0.0
2019-03-27 00:00:00+00:00,2.9999999242136255e-05,3.300000025774352e-05,2.9999999242136255e-05,3.199999991920777e-05,18411,0.0,0.0
2019-03-28 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.099999983329326e-05,2.499999936844688e-05,28425,0.0,0.0
2019-03-29 00:00:00+00:00,2.499999936844688e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.8000000384054147e-05,18094,0.0,0.0
2019-03-30 00:00:00+00:00,2.8000000384054147e-05,3.300000025774352e-05,2.4000000848900527e-05,2.4000000848900527e-05,20276,0.0,0.0
2019-03-31 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.4000000848900527e-05,15219,0.0,0.0
2019-04-01 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.5999999959603883e-05,1.8000000636675395e-05,22590,0.0,0.0
2019-04-02 00:00:00+00:00,1.8000000636675395e-05,3.899999865097925e-05,1.4999999621068127e-05,2.499999936844688e-05,62518,0.0,0.0
2019-04-03 00:00:00+00:00,2.499999936844688e-05,2.8000000384054147e-05,1.8000000636675395e-05,2.5999999706982635e-05,16395,0.0,0.0
2019-04-04 00:00:00+00:00,2.5999999706982635e-05,2.9000000722589903e-05,2.2000000171829015e-05,2.8000000384054147e-05,17635,0.0,0.0
2019-04-05 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,1.9999999494757503e-05,2.099999983329326e-05,18021,0.0,0.0
2019-04-06 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,1.9999999494757503e-05,2.099999983329326e-05,21815,0.0,0.0
2019-04-07 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.2000000171829015e-05,11712,0.0,0.0
