TIMESTAMP,CFB_OPEN_PRICE_USD,CFB_HIGH_PRICE_USD,CFB_LOW_PRICE_USD,CFB_CLOSE_PRICE_USD,CFB_VOLUME_USD,CFB_DIVIDENDS_USD,CFB_STOCK_SPLITS_USD
2023-12-08 00:00:00+00:00,0.004794999957084656,41.03874969482422,0.004794999957084656,41.010128021240234,2510,0.0,0.0
2023-12-09 00:00:00+00:00,41.009979248046875,49.04562759399414,10.001172065734863,49.02057647705078,421,0.0,0.0
2023-12-10 00:00:00+00:00,49.019439697265625,50.021724700927734,0.9995830059051514,1.0001200437545776,1159,0.0,0.0
2023-12-11 00:00:00+00:00,1.0001180171966553,1.001173973083496,0.9966400265693665,0.9995430111885071,10,0.0,0.0
2023-12-12 00:00:00+00:00,0.9996219873428345,5.0021071434021,0.9992290139198303,2.999614953994751,54,0.0,0.0
2025-01-11 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,7.999999979801942e-06,9.999999747378752e-06,15698,0.0,0.0
2025-01-12 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,468,0.0,0.0
2025-01-13 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,3850,0.0,0.0
2025-01-14 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,869,0.0,0.0
2025-01-15 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,6.000000212225132e-06,9.000000318337698e-06,9653,0.0,0.0
2025-01-16 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,771,0.0,0.0
2025-01-17 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,4.999999873689376e-06,9.000000318337698e-06,8170,0.0,0.0
2025-01-18 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,6.000000212225132e-06,7.000000096013537e-06,2340,0.0,0.0
2025-01-19 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,5151,0.0,0.0
2025-01-20 00:00:00+00:00,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,3985,0.0,0.0
2025-01-21 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,715,0.0,0.0
2025-01-22 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,3.999999989900971e-06,4.999999873689376e-06,4507,0.0,0.0
2025-01-23 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,3947,0.0,0.0
