TIMESTAMP,TIGERMOON_OPEN_PRICE_USD,TIGERMOON_HIGH_PRICE_USD,TIGERMOON_LOW_PRICE_USD,TIGERMOON_CLOSE_PRICE_USD,TIGERMOON_VOLUME_USD,TIGERMOON_DIVIDENDS_USD,TIGERMOON_STOCK_SPLITS_USD
2023-05-26 00:00:00+00:00,,,,0.0,63977,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,24543,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,10324,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,11352,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,10510,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,8658,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,9268,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,6301,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,5183,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,2470,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,1945,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,2058,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,2206,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,2522,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,6452,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,922,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,647,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,408,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,7004,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,1498,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,1107,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,1423,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,2085,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,525,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,2104,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,1025,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,939,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,1013,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,417,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,2236,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,469,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,911,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,712,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,291,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,2039,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,276,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,279,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,383,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,313,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,572,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,1946,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,743,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,1291,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,454,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,3253,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,6948,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,1220,0.0,0.0
2023-07-13 00:00:00+00:00,,,,0.0,2355,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,1455,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,610,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,382,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,1175,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,710,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,289,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,377,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,224,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,597,0.0,0.0
2023-07-23 00:00:00+00:00,,,,0.0,1072,0.0,0.0
2023-07-24 00:00:00+00:00,,,,0.0,634,0.0,0.0
2023-07-25 00:00:00+00:00,,,,0.0,600,0.0,0.0
2023-07-26 00:00:00+00:00,,,,0.0,10465,0.0,0.0
2023-07-27 00:00:00+00:00,,,,0.0,3768,0.0,0.0
2023-07-28 00:00:00+00:00,,,,0.0,1152,0.0,0.0
2023-07-29 00:00:00+00:00,,,,0.0,1649,0.0,0.0
2023-07-30 00:00:00+00:00,,,,0.0,274,0.0,0.0
2023-07-31 00:00:00+00:00,,,,0.0,1752,0.0,0.0
2023-08-01 00:00:00+00:00,,,,0.0,1481,0.0,0.0
2023-08-02 00:00:00+00:00,,,,0.0,238,0.0,0.0
2023-08-03 00:00:00+00:00,,,,0.0,1237,0.0,0.0
2023-08-04 00:00:00+00:00,,,,0.0,733,0.0,0.0
2023-08-05 00:00:00+00:00,,,,0.0,267,0.0,0.0
2023-08-06 00:00:00+00:00,,,,0.0,1434,0.0,0.0
2023-08-07 00:00:00+00:00,,,,0.0,914,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,266,0.0,0.0
2023-08-09 00:00:00+00:00,,,,0.0,463,0.0,0.0
2023-08-10 00:00:00+00:00,,,,0.0,1161,0.0,0.0
2023-08-11 00:00:00+00:00,,,,0.0,121,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,176,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,138,0.0,0.0
2023-08-14 00:00:00+00:00,,,,0.0,358,0.0,0.0
2023-08-15 00:00:00+00:00,,,,0.0,78,0.0,0.0
2023-08-16 00:00:00+00:00,,,,0.0,42,0.0,0.0
2023-08-17 00:00:00+00:00,,,,0.0,619,0.0,0.0
2023-08-18 00:00:00+00:00,,,,0.0,158,0.0,0.0
2023-08-19 00:00:00+00:00,,,,0.0,352,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,507,0.0,0.0
2023-08-21 00:00:00+00:00,,,,0.0,285,0.0,0.0
2023-08-22 00:00:00+00:00,,,,0.0,1061,0.0,0.0
2023-08-23 00:00:00+00:00,,,,0.0,533,0.0,0.0
2023-08-24 00:00:00+00:00,,,,0.0,98,0.0,0.0
2023-08-25 00:00:00+00:00,,,,0.0,490,0.0,0.0
2023-08-26 00:00:00+00:00,,,,0.0,231,0.0,0.0
2023-08-27 00:00:00+00:00,,,,0.0,328,0.0,0.0
2023-08-28 00:00:00+00:00,,,,0.0,264,0.0,0.0
2023-08-29 00:00:00+00:00,,,,0.0,361,0.0,0.0
2023-08-30 00:00:00+00:00,,,,0.0,652,0.0,0.0
2023-08-31 00:00:00+00:00,,,,0.0,308,0.0,0.0
2023-09-01 00:00:00+00:00,,,,0.0,16,0.0,0.0
2023-09-02 00:00:00+00:00,,,,0.0,128,0.0,0.0
2023-09-03 00:00:00+00:00,,,,0.0,115,0.0,0.0
2023-09-04 00:00:00+00:00,,,,0.0,253,0.0,0.0
2023-09-05 00:00:00+00:00,,,,0.0,38,0.0,0.0
2023-09-06 00:00:00+00:00,,,,0.0,314,0.0,0.0
2023-09-07 00:00:00+00:00,,,,0.0,167,0.0,0.0
2023-09-08 00:00:00+00:00,,,,0.0,728,0.0,0.0
2023-09-09 00:00:00+00:00,,,,0.0,90,0.0,0.0
