TIMESTAMP,FRIC34406_OPEN_PRICE_USD,FRIC34406_HIGH_PRICE_USD,FRIC34406_LOW_PRICE_USD,FRIC34406_CLOSE_PRICE_USD,FRIC34406_VOLUME_USD,FRIC34406_DIVIDENDS_USD,FRIC34406_STOCK_SPLITS_USD
2024-12-26 00:00:00+00:00,0.009217999875545502,0.009479000233113766,0.0071229999884963036,0.007517999969422817,3079250,0.0,0.0
2024-12-27 00:00:00+00:00,0.007517999969422817,0.008440000005066395,0.006934999953955412,0.007790999952703714,2424619,0.0,0.0
2024-12-28 00:00:00+00:00,0.007790999952703714,0.0078940000385046,0.006583999842405319,0.007625999860465527,2419049,0.0,0.0
2024-12-29 00:00:00+00:00,0.007625999860465527,0.008313000202178955,0.006575999781489372,0.006575999781489372,2673847,0.0,0.0
2024-12-30 00:00:00+00:00,0.006575999781489372,0.007404999807476997,0.0060640000738203526,0.0061690001748502254,2591975,0.0,0.0
2024-12-31 00:00:00+00:00,0.006159000098705292,0.007391999941319227,0.005762000102549791,0.0057830000296235085,2960476,0.0,0.0
2025-01-01 00:00:00+00:00,0.0057830000296235085,0.006175999995321035,0.0049589998088777065,0.006149999797344208,3366775,0.0,0.0
2025-01-02 00:00:00+00:00,0.006149999797344208,0.009960000403225422,0.006068000104278326,0.008353999815881252,3760615,0.0,0.0
2025-01-03 00:00:00+00:00,0.008353999815881252,0.009624999947845936,0.007683999836444855,0.009081000462174416,2455494,0.0,0.0
2025-01-04 00:00:00+00:00,0.009050000458955765,0.012140000239014626,0.008972999639809132,0.010122999548912048,2850740,0.0,0.0
2025-01-05 00:00:00+00:00,0.010122999548912048,0.010440999642014503,0.007340999785810709,0.007393000181764364,3421130,0.0,0.0
2025-01-06 00:00:00+00:00,0.007393000181764364,0.007892999798059464,0.00623599998652935,0.006320999935269356,2869238,0.0,0.0
2025-01-07 00:00:00+00:00,0.006320999935269356,0.00659599993377924,0.005805999971926212,0.006144999992102385,2220681,0.0,0.0
2025-01-08 00:00:00+00:00,0.006144999992102385,0.0064500002190470695,0.00482999999076128,0.005322999786585569,2793112,0.0,0.0
2025-01-09 00:00:00+00:00,0.005322999786585569,0.005508000031113625,0.0041240002028644085,0.00521400012075901,2925795,0.0,0.0
2025-01-10 00:00:00+00:00,0.00521400012075901,0.006271999794989824,0.005123999901115894,0.005489000119268894,2946414,0.0,0.0
