TIMESTAMP,LAMBO24857_OPEN_PRICE_USD,LAMBO24857_HIGH_PRICE_USD,LAMBO24857_LOW_PRICE_USD,LAMBO24857_CLOSE_PRICE_USD,LAMBO24857_VOLUME_USD,LAMBO24857_DIVIDENDS_USD,LAMBO24857_STOCK_SPLITS_USD
2023-05-02 00:00:00+00:00,5.0999999075429514e-05,7.999999797903001e-05,2.8000000384054147e-05,3.5000000934815034e-05,8084283,0.0,0.0
2023-05-03 00:00:00+00:00,3.5000000934815034e-05,5.900000178371556e-05,1.8000000636675395e-05,2.4000000848900527e-05,2234531,0.0,0.0
2023-05-04 00:00:00+00:00,2.4000000848900527e-05,3.7999998312443495e-05,1.4000000192027073e-05,2.9999999242136255e-05,1821907,0.0,0.0
2023-05-05 00:00:00+00:00,3.099999958067201e-05,8.499999967170879e-05,2.2000000171829015e-05,7.599999662488699e-05,2262679,0.0,0.0
2023-05-06 00:00:00+00:00,7.79999973019585e-05,0.00026500000967644155,7.200000254670158e-05,0.00015300000086426735,17350403,0.0,0.0
2023-05-07 00:00:00+00:00,0.0001539999939268455,0.0002500000118743628,8.199999865610152e-05,0.00021499999274965376,8862769,0.0,0.0
2023-05-08 00:00:00+00:00,0.00021499999274965376,0.00021499999274965376,5.999999848427251e-05,9.699999645818025e-05,4579283,0.0,0.0
2023-05-09 00:00:00+00:00,9.699999645818025e-05,0.00011200000153621659,4.999999873689376e-05,9.40000027185306e-05,2723087,0.0,0.0
2023-05-10 00:00:00+00:00,9.40000027185306e-05,0.00012099999730708078,5.0999999075429514e-05,5.700000110664405e-05,1723007,0.0,0.0
2023-05-11 00:00:00+00:00,5.700000110664405e-05,6.800000119255856e-05,2.4000000848900527e-05,3.600000127335079e-05,1224476,0.0,0.0
2023-05-12 00:00:00+00:00,3.600000127335079e-05,6.70000008540228e-05,2.700000004551839e-05,5.700000110664405e-05,922225,0.0,0.0
2023-05-13 00:00:00+00:00,5.700000110664405e-05,6.600000051548705e-05,4.099999932805076e-05,4.199999966658652e-05,1313429,0.0,0.0
2023-05-14 00:00:00+00:00,4.099999932805076e-05,4.70000013592653e-05,3.199999991920777e-05,3.7000001611886546e-05,969472,0.0,0.0
2023-05-15 00:00:00+00:00,3.600000127335079e-05,4.70000013592653e-05,3.099999958067201e-05,3.600000127335079e-05,720803,0.0,0.0
2023-05-16 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,2.8000000384054147e-05,2.8000000384054147e-05,530842,0.0,0.0
2023-05-17 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,1.9999999494757503e-05,2.2000000171829015e-05,554492,0.0,0.0
2023-05-18 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.700000029813964e-05,1.9999999494757503e-05,366566,0.0,0.0
2023-05-19 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.5999999959603883e-05,1.5999999959603883e-05,223259,0.0,0.0
2023-05-20 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.1000000085914508e-05,1.4000000192027073e-05,375227,0.0,0.0
2023-05-21 00:00:00+00:00,1.4000000192027073e-05,1.700000029813964e-05,1.1000000085914508e-05,1.2000000424450263e-05,228054,0.0,0.0
2023-05-22 00:00:00+00:00,1.2000000424450263e-05,1.4999999621068127e-05,9.999999747378752e-06,1.4999999621068127e-05,392734,0.0,0.0
2023-05-23 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4999999621068127e-05,311357,0.0,0.0
2023-05-24 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.2999999853491317e-05,218277,0.0,0.0
2023-05-25 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.4000000192027073e-05,213569,0.0,0.0
2023-05-26 00:00:00+00:00,1.4000000192027073e-05,2.9000000722589903e-05,1.2000000424450263e-05,1.700000029813964e-05,646328,0.0,0.0
2023-05-27 00:00:00+00:00,1.700000029813964e-05,3.099999958067201e-05,1.4000000192027073e-05,1.700000029813964e-05,509040,0.0,0.0
2023-05-28 00:00:00+00:00,1.700000029813964e-05,2.2000000171829015e-05,1.700000029813964e-05,1.8000000636675395e-05,322353,0.0,0.0
2023-05-29 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.4000000192027073e-05,1.5999999959603883e-05,289440,0.0,0.0
2023-05-30 00:00:00+00:00,1.5999999959603883e-05,2.2000000171829015e-05,1.4999999621068127e-05,1.8000000636675395e-05,321187,0.0,0.0
2023-05-31 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.4000000192027073e-05,1.4000000192027073e-05,195370,0.0,0.0
