TIMESTAMP,ADASTRA_OPEN_PRICE_USD,ADASTRA_HIGH_PRICE_USD,ADASTRA_LOW_PRICE_USD,ADASTRA_CLOSE_PRICE_USD,ADASTRA_VOLUME_USD,ADASTRA_DIVIDENDS_USD,ADASTRA_STOCK_SPLITS_USD
2024-09-18 00:00:00+00:00,3.899999865097925e-05,4.3000000005122274e-05,3.5000000934815034e-05,4.099999932805076e-05,24359,0.0,0.0
2024-09-19 00:00:00+00:00,4.099999932805076e-05,4.600000102072954e-05,3.5000000934815034e-05,3.7000001611886546e-05,20004,0.0,0.0
2024-09-20 00:00:00+00:00,3.7000001611886546e-05,4.5000000682193786e-05,3.7000001611886546e-05,3.7999998312443495e-05,17207,0.0,0.0
2024-09-21 00:00:00+00:00,3.5000000934815034e-05,4.5000000682193786e-05,3.5000000934815034e-05,3.9999998989515007e-05,13294,0.0,0.0
2024-09-22 00:00:00+00:00,3.9999998989515007e-05,3.9999998989515007e-05,2.9999999242136255e-05,3.400000059627928e-05,17827,0.0,0.0
2024-09-23 00:00:00+00:00,3.400000059627928e-05,3.5000000934815034e-05,2.8000000384054147e-05,2.9000000722589903e-05,6769,0.0,0.0
2024-09-24 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.700000004551839e-05,2.9999999242136255e-05,7115,0.0,0.0
2024-09-25 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.700000004551839e-05,2.700000004551839e-05,2638,0.0,0.0
2024-09-26 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.4000000848900527e-05,2.4000000848900527e-05,2412,0.0,0.0
2024-09-27 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.300000051036477e-05,2.300000051036477e-05,5354,0.0,0.0
2024-09-28 00:00:00+00:00,2.300000051036477e-05,3.099999958067201e-05,1.700000029813964e-05,2.9000000722589903e-05,20273,0.0,0.0
2024-09-29 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.5999999706982635e-05,3043,0.0,0.0
2024-09-30 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,1121,0.0,0.0
2024-10-01 00:00:00+00:00,2.4000000848900527e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.4000000848900527e-05,4081,0.0,0.0
2024-10-02 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.2000000171829015e-05,798,0.0,0.0
2024-10-03 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,2559,0.0,0.0
2024-10-04 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,2.099999983329326e-05,2.300000051036477e-05,2696,0.0,0.0
2024-10-05 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.8000000636675395e-05,1.8000000636675395e-05,4359,0.0,0.0
2024-10-06 00:00:00+00:00,1.8000000636675395e-05,1.8999999156221747e-05,1.700000029813964e-05,1.8999999156221747e-05,2819,0.0,0.0
2024-10-07 00:00:00+00:00,1.8999999156221747e-05,3.5000000934815034e-05,1.8999999156221747e-05,2.5999999706982635e-05,14470,0.0,0.0
2024-10-08 00:00:00+00:00,2.5999999706982635e-05,5.999999848427251e-05,2.5999999706982635e-05,5.6000000768108293e-05,45200,0.0,0.0
2024-10-09 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,3.7000001611886546e-05,4.099999932805076e-05,30363,0.0,0.0
2024-10-10 00:00:00+00:00,4.099999932805076e-05,4.400000034365803e-05,3.5000000934815034e-05,3.5000000934815034e-05,7267,0.0,0.0
2024-10-11 00:00:00+00:00,3.5000000934815034e-05,3.7000001611886546e-05,2.499999936844688e-05,3.5000000934815034e-05,14358,0.0,0.0
2024-10-12 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,3.199999991920777e-05,3.400000059627928e-05,3163,0.0,0.0
2024-10-13 00:00:00+00:00,3.400000059627928e-05,3.400000059627928e-05,2.8000000384054147e-05,2.8000000384054147e-05,2799,0.0,0.0
