,ETH,Lag
FIRO,0.0008528357216327,13
ETC,0.0018125658122543,28
RLC,0.0048035736592137,19
DGB,0.0063249578791238,30
DOGE,0.0085396859368146,11
SC,0.0285679568850053,5
ZEN,0.0332104753768753,27
GNO,0.0349683586114469,18
BTC,0.0352991480751396,27
XEM,0.0434145968536668,1
QTUM,0.0513112762615139,27
LUNC,0.0587909910563412,3
BAT,0.0770051590619794,29
XMR,0.0888824435865523,9
WAVES,0.1123710156530133,27
KMD,0.1184600322543325,6
GAS,0.1284051796865352,12
XRP,0.1340329851137133,9
DCR,0.1407351439706739,25
MIOTA,0.1718221779353783,30
DASH,0.1779789726646151,19
PIVX,0.1797422988430948,23
LSK,0.1894001990697335,27
BTS,0.1945661446683945,7
LTC,0.2459526199153846,10
XLM,0.2725421650805721,18
SYS,0.2913204081554702,29
ZEC,0.3147953827962544,2
STEEM,0.3311681459815941,29
ANT,0.3480764834174429,1
ARK,0.3572049639235418,10
