,ETH
DOGE,0.04045917342120079
ETC,0.0512598462517126
FIRO,0.05590437561536521
GNO,0.09485781189363961
SC,0.1175259049932787
DGB,0.1247410670527716
BTC,0.13055462825086836
XEM,0.13989038644838428
XMR,0.15743961035870713
RLC,0.16962842684739518
BAT,0.21135471519422852
XRP,0.23773397419571043
GAS,0.24874793331870484
DASH,0.2531917719400307
WAVES,0.2716824259750959
LSK,0.29414117310160326
ZEN,0.29890031415738505
QTUM,0.31295252312933713
PIVX,0.3165194716748136
DCR,0.33285697253497276
KMD,0.3441970090409728
BTS,0.3697245766233126
MIOTA,0.37395608680170483
LUNC,0.41624277033150553
XLM,0.4167915530295415
LTC,0.4196282337387951
ZEC,0.46670634574764025
ANT,0.5357584825492694
SYS,0.5459752305308988
STEEM,0.5601105988599572
ARK,0.6117057871989087
