TIMESTAMP,XMAIL_OPEN_PRICE_USD,XMAIL_HIGH_PRICE_USD,XMAIL_LOW_PRICE_USD,XMAIL_CLOSE_PRICE_USD,XMAIL_VOLUME_USD,XMAIL_DIVIDENDS_USD,XMAIL_STOCK_SPLITS_USD
2025-01-31 00:00:00+00:00,,,,0.0,54,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,4013,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,2893,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,34,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,280,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,250,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,103,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,31,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,366,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,118,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,247,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,152,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,46,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,9,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,27,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,17,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,79,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,322,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,33,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,271,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,2196,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,212,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,30,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,21,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,30,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,23,0.0,0.0
2025-06-01 00:00:00+00:00,1.2381800229208095e-13,1.4207400176029922e-13,1.2381800229208095e-13,1.4168816131216594e-13,392,0.0,0.0
