TIMESTAMP,IMX_OPEN_PRICE_USD,IMX_HIGH_PRICE_USD,IMX_LOW_PRICE_USD,IMX_CLOSE_PRICE_USD
2021-11-24,8.3545,8.499,7.665,7.88
2021-11-25,7.882,9.389,7.8225,9.185
2021-11-26,9.218,9.4975,7.2,8.0335
2021-11-27,8.0,8.4,7.664,7.8905
2021-11-28,7.882,7.9325,6.9255,7.575
2021-11-29,7.623,8.45,7.623,8.2415
2021-11-30,8.228,8.6715,7.92,8.2615
2021-12-01,8.26,8.337,7.252,7.473
2021-12-02,7.5115,7.5325,6.5,6.515
2021-12-03,6.563,7.0,5.8535,6.17
2021-12-04,6.162,6.265,5.0,5.756
2021-12-05,5.763,6.4695,5.377,5.4805
2021-12-06,5.4815,5.8455,4.3705,5.231
2021-12-07,5.21,5.5555,5.04,5.2675
2021-12-08,5.276,6.6805,5.1975,6.2175
2021-12-09,6.234,6.92,5.029,5.2195
2021-12-10,5.2365,5.604,4.6725,4.793
2021-12-11,4.787,5.13,4.7,4.86
2021-12-12,4.88,5.5345,4.834,5.522
2021-12-13,5.522,5.525,4.56,4.7855
2021-12-14,4.7855,5.1175,4.5075,4.793
2021-12-15,4.823,5.17789,4.54062,4.90404
2021-12-16,4.90134,5.4027,4.89718,4.98459
2021-12-17,4.97969,5.03151,4.58908,4.72669
2021-12-18,4.72579,4.82983,4.61258,4.65416
2021-12-19,4.65553,4.66903,4.41893,4.52186
2021-12-20,4.52056,4.53376,3.9944,4.24157
2021-12-21,4.24007,4.45308,4.15276,4.43857
2021-12-22,4.44033,4.73059,4.44033,4.60444
2021-12-23,4.60044,4.85364,4.2517,4.79069
2021-12-24,4.79022,4.93097,4.64322,4.64989
2021-12-25,4.64829,4.72463,4.51381,4.66713
2021-12-26,4.66923,4.74547,4.49204,4.67614
2021-12-27,4.67507,5.76383,4.66907,5.55337
2021-12-28,5.55187,5.58818,4.66037,4.79346
2021-12-29,4.79206,5.08131,4.575,5.05611
2021-12-30,5.06811,5.30126,4.78778,5.16993
2021-12-31,5.17403,5.20694,4.84758,4.89199
2022-01-01,4.89279,5.06179,4.80224,4.80866
2022-01-02,4.80926,5.06761,4.77606,4.96399
2022-01-03,4.96459,4.97189,4.366,4.48995
2022-01-04,4.49045,4.90661,4.43936,4.77932
2022-01-05,4.77365,5.0017,4.17298,4.34313
2022-01-06,4.34653,4.4581,4.03519,4.11069
2022-01-07,4.10619,4.17468,3.74143,3.75262
2022-01-08,3.75262,3.913,3.36153,3.5359
2022-01-09,3.5376,3.9143,3.38846,3.8144
2022-01-10,3.8103,4.3802,3.42156,3.6941
2022-01-11,3.6938,3.8924,3.3105,3.57026
2022-01-12,3.57116,3.82326,3.5129,3.71709
2022-01-13,3.71699,3.78029,3.48714,3.51611
2022-01-14,3.51591,3.63986,3.48664,3.63369
2022-01-15,3.63415,3.68978,3.52841,3.61681
2022-01-16,3.61641,4.38976,3.6097,4.10864
2022-01-17,4.11064,4.28671,3.6801,3.7515
2022-01-18,3.7483,3.85154,3.50585,3.77573
2022-01-19,3.77621,3.80152,3.50415,3.56967
2022-01-20,3.56941,3.75155,3.42304,3.43909
2022-01-21,3.43554,3.44119,2.66283,2.67974
2022-01-22,2.6739,2.91988,2.0239,2.39192
2022-01-23,2.39392,2.59692,2.25415,2.37828
2022-01-24,2.37111,2.5051,2.0024,2.28989
2022-01-25,2.28996,2.46133,2.19516,2.32816
2022-01-26,2.32519,3.24104,2.30761,3.02982
2022-01-27,3.02982,3.08285,2.497,2.60804
2022-01-28,2.61531,2.88286,2.48575,2.80394
2022-01-29,2.80714,2.94128,2.66913,2.78684
2022-01-30,2.78454,2.84845,2.4971,2.54356
2022-01-31,2.54572,2.74907,2.46493,2.67164
2022-02-01,2.67234,3.01831,2.66196,2.85613
2022-02-02,2.85653,3.1719,2.76496,2.81825
2022-02-03,2.81625,4.27614,2.80724,3.45573
2022-02-04,3.45673,3.51876,2.75137,2.90432
2022-02-05,2.90602,3.16792,2.80718,2.8397
2022-02-06,2.8397,2.98879,2.72309,2.74837
2022-02-07,2.7488,3.07777,2.7479,2.95006
2022-02-08,2.95106,3.81405,2.60961,2.75247
2022-02-09,2.74774,2.90933,2.64785,2.83011
2022-02-10,2.82983,2.86529,2.56279,2.62584
