TIMESTAMP,FRAX_OPEN_PRICE_USD,FRAX_HIGH_PRICE_USD,FRAX_LOW_PRICE_USD,FRAX_CLOSE_PRICE_USD
2022-05-15,0.986419,0.992509,0.986419,0.986716
2022-05-16,0.99071,0.993905,0.97383,0.989712
2022-05-17,0.873862,0.9988,0.852804,0.9988
2022-05-18,0.9987,0.9987,0.989811,0.995704
2022-05-19,0.988614,0.995704,0.987012,0.987111
2022-05-20,0.987111,0.994805,0.78921,0.993806
2022-05-21,0.993806,0.993806,0.978726,0.978726
2022-05-22,0.986617,0.986617,0.978824,0.978824
2022-05-23,0.986814,0.991908,0.986716,0.986716
2022-05-24,0.982918,0.982918,0.970834,0.982622
2022-05-25,0.982721,1.04485,0.982721,1.03986
2022-05-26,1.00463,1.00473,0.978922,0.992058
2022-05-27,0.987931,0.994205,0.980299,0.987931
2022-05-28,0.979156,0.988261,0.979156,0.987053
2022-05-29,0.987913,0.994784,0.987223,0.992647
2022-05-30,0.992747,0.992747,0.982264,0.982264
2022-05-31,0.982762,1.01224,0.968405,0.98257
2022-06-01,0.98479,1.00616,0.98222,1.0038
2022-06-02,1.00247,1.01761,0.98275,0.99608
2022-06-03,0.99558,1.00922,0.99222,1.00023
2022-06-04,1.00086,1.00394,0.99585,0.99925
2022-06-05,0.99738,1.00018,0.9963,0.998
2022-06-06,0.99601,1.00136,0.99601,0.99849
2022-06-07,0.99939,1.00134,0.98908,0.99048
2022-06-08,0.99011,0.99504,0.98817,0.9901
2022-06-09,0.99005,0.99066,0.986771,0.988039
2022-06-10,0.986761,0.989468,0.986415,0.986504
2022-06-11,0.986563,0.989191,0.986553,0.988482
2022-06-12,0.988452,0.989013,0.988195,0.988432
2022-06-13,0.988373,0.991958,0.984697,0.987555
2022-06-14,0.986109,0.997442,0.986079,0.988862
2022-06-15,0.988832,0.996263,0.98801,0.995804
2022-06-16,0.988911,0.995804,0.987634,0.987634
2022-06-17,0.986257,0.997834,0.986257,0.991958
2022-06-18,0.987684,0.993716,0.982058,0.987318
2022-06-19,0.9864,0.99166,0.981086,0.989722
2022-06-20,0.983508,0.990019,0.98341,0.985685
2022-06-21,0.983508,0.990217,0.983508,0.990217
2022-06-22,0.983705,0.987931,0.981469,0.983705
2022-06-23,0.952656,0.970688,0.952656,0.960938
2022-06-24,0.970688,0.982335,0.960938,0.982335
2022-06-25,0.981018,0.990097,0.981018,0.98518
2022-06-26,0.986109,0.992305,0.981313,0.986178
2022-06-27,0.981509,0.997082,0.981116,0.997082
2022-06-28,0.990217,0.990217,0.988772,0.988772
2022-06-29,0.988782,0.992837,0.981174,0.989751
2022-06-30,0.981371,0.98995,0.981184,0.989811
2022-07-01,0.988662,0.988662,0.949669,0.972894
2022-07-02,0.960842,0.981151,0.960746,0.977176
2022-07-03,0.968836,0.977176,0.961488,0.972894
2022-07-04,0.965124,0.972734,0.964744,0.972734
2022-07-05,0.972831,0.981469,0.972831,0.981469
2022-07-06,0.981469,0.981469,0.973098,0.981469
2022-07-07,0.985685,0.985685,0.985685,0.985685
2022-07-08,0.990296,0.990296,0.98196,0.98196
2022-07-09,0.977773,0.984969,0.974465,0.974625
2022-07-10,0.974567,0.996052,0.974485,0.995332
2022-07-11,0.995342,0.995492,0.975879,0.978191
2022-07-12,0.978319,0.996483,0.977541,0.992497
2022-07-13,0.992756,0.995034,0.980618,0.982896
2022-07-14,0.987081,0.991964,0.978606,0.984071
2022-07-15,0.984979,0.990805,0.974075,0.977999
2022-07-16,0.975737,0.996461,0.975217,0.991502
2022-07-17,0.991622,0.996691,0.989802,0.993572
2022-07-18,0.992992,0.99935,0.989693,0.992702
2022-07-19,0.993042,0.99715,0.98606,0.989698
2022-07-20,0.99249,1.00399,0.983499,1.00344
2022-07-21,0.99922,0.99967,0.99199,0.996739
2022-07-22,0.99637,1.00126,0.994438,0.995189
2022-07-23,0.99528,0.99623,0.983559,0.986628
2022-07-24,0.990378,0.993839,0.987459,0.992999
2022-07-25,0.993119,0.99407,0.983569,0.9919
2022-07-26,0.993279,0.993279,0.99155,0.99195
2022-07-27,0.992079,0.99857,0.99185,0.996379
2022-07-28,0.997259,1.00181,0.99202,1.00074
2022-07-29,0.99965,1.00329,0.987666,0.993617
2022-07-30,0.992667,0.996949,0.984035,0.986656
2022-07-31,0.983854,0.994229,0.965202,0.977843
2022-08-01,0.972583,0.977753,0.96124,0.974882
2022-08-02,0.975393,0.989386,0.975072,0.978047
2022-08-03,0.978196,0.994869,0.977843,0.983446
2022-08-04,0.983759,0.986867,0.978068,0.979429
2022-08-05,0.979348,0.99385,0.960646,0.966834
2022-08-06,0.964283,0.970925,0.961619,0.967472
2022-08-07,0.967352,0.990198,0.965096,0.988748
2022-08-08,0.988838,1.00218,0.988048,0.995779
2022-08-09,0.995669,0.996449,0.987958,0.988358
2022-08-10,0.988318,1.00853,0.979555,0.998019
2022-08-11,0.998049,0.99971,0.990826,0.998549
2022-08-12,0.998509,1.00307,0.993357,0.994998
2022-08-13,0.994877,0.997498,0.990377,0.993798
2022-08-14,0.992897,0.996739,0.972604,0.973752
2022-08-15,0.973511,0.984015,0.961593,0.967733
2022-08-16,0.969166,0.975117,0.966155,0.970166
2022-08-17,0.973218,0.978678,0.966256,0.974478
2022-08-18,0.974507,0.99575,0.973782,0.992539
2022-08-19,0.990099,0.990099,0.962896,0.979788
2022-08-20,0.975921,0.985857,0.969516,0.97742
2022-08-21,0.97736,0.99059,0.971974,0.99059
2022-08-22,0.98708,0.98986,0.982862,0.984813
2022-08-23,0.984893,0.99346,0.984713,0.98794
2022-08-24,0.98777,0.99673,0.98513,0.99401
2022-08-25,0.99392,0.9966,0.98698,0.989039
2022-08-26,0.988511,0.990369,0.98461,0.986889
2022-08-27,0.987219,0.99423,0.98511,0.99279
2022-08-28,0.99227,0.99494,0.97076,0.97835
2022-08-29,0.97905,0.982161,0.974862,0.977738
2022-08-30,0.977368,0.981939,0.975795,0.979547
2022-08-31,0.978728,0.984919,0.977739,0.98042
2022-09-01,0.981111,0.98486,0.975862,0.980391
2022-09-02,0.98018,0.984998,0.974979,0.98282
2022-09-03,0.983297,0.98772,0.9812,0.98772
2022-09-04,0.98666,0.99108,0.98473,0.98931
2022-09-05,0.98748,0.9926,0.984988,0.991629
2022-09-06,0.993949,0.993949,0.984792,0.98502
2022-09-07,0.985069,0.995209,0.970078,0.97118
2022-09-08,0.972157,0.99868,0.971357,0.995249
2022-09-09,0.996099,1.00016,0.990757,0.990757
2022-09-10,0.990906,1.0003,0.972039,0.996609
2022-09-11,0.997239,0.997239,0.992798,0.992798
2022-09-12,0.992999,0.993448,0.976896,0.981305
2022-09-13,0.981207,0.982608,0.972019,0.975699
2022-09-14,0.974957,0.978549,0.969521,0.978126
2022-09-15,0.979416,0.98683,0.972302,0.976911
2022-09-16,0.97689,0.99434,0.976802,0.993731
2022-09-17,0.993411,0.996,0.98684,0.9874
2022-09-18,0.98725,0.99297,0.98693,0.991561
2022-09-19,0.990621,0.99853,0.98835,0.99627
2022-09-20,0.996939,0.99773,0.978938,0.97908
2022-09-21,0.979298,1.00009,0.979118,0.98857
2022-09-22,0.988599,0.99286,0.98666,0.99154
2022-09-23,0.99152,0.991661,0.983622,0.99015
2022-09-24,0.987941,0.99898,0.98738,0.995179
2022-09-25,0.993,0.993,0.982179,0.982228
2022-09-26,0.982071,0.99565,0.98161,0.99297
2022-09-27,0.99238,0.994399,0.987901,0.991141
2022-09-28,0.990431,0.994041,0.975182,0.97882
2022-09-29,0.97908,0.97908,0.977002,0.977608
2022-09-30,0.979348,0.979348,0.97676,0.97735
2022-10-01,0.97772,0.99713,0.97738,0.99449
2022-10-02,0.99437,0.994479,0.98831,0.99024
2022-10-03,0.99068,0.994739,0.988469,0.994739
2022-10-04,0.993599,0.994579,0.991249,0.993649
2022-10-05,0.993359,1.0002,0.989219,0.994109
2022-10-06,0.994879,0.997309,0.993939,0.994389
2022-10-07,0.991959,0.994269,0.98832,0.990799
2022-10-08,0.991849,0.992889,0.989607,0.989607
2022-10-09,0.991788,0.991788,0.988098,0.988519
2022-10-10,0.988599,0.988728,0.984812,0.988021
2022-10-11,0.98592,0.987571,0.981902,0.985221
2022-10-12,0.984962,0.98926,0.982142,0.9852
2022-10-13,0.98503,0.988,0.981321,0.985949
2022-10-14,0.986249,0.987059,0.981609,0.98545
2022-10-15,0.98428,0.989109,0.984069,0.985309
2022-10-16,0.98571,1.00098,0.98469,1.00098
2022-10-17,0.99801,1.00007,0.99,0.99416
2022-10-18,0.99563,0.9979,0.99186,0.99442
2022-10-19,0.9941,0.99612,0.99091,0.99577
2022-10-20,0.99707,0.9978,0.990661,0.992121
2022-10-21,0.990271,0.992471,0.977512,0.980039
2022-10-22,0.980149,0.990059,0.980149,0.986709
2022-10-23,0.986329,0.99743,0.986329,0.991259
2022-10-24,0.990939,0.99297,0.989658,0.99297
2022-10-25,0.99297,0.996509,0.99217,0.994368
