TIMESTAMP,RNAPEPE_OPEN_PRICE_USD,RNAPEPE_HIGH_PRICE_USD,RNAPEPE_LOW_PRICE_USD,RNAPEPE_CLOSE_PRICE_USD,RNAPEPE_VOLUME_USD,RNAPEPE_DIVIDENDS_USD,RNAPEPE_STOCK_SPLITS_USD
2025-01-16 00:00:00+00:00,,,,0.0,298,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,300,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,537,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,444,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,107,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,137,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,432,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,174,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,603,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,31,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,19,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,20,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,7,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,27,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,55,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,233,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,358,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,108,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,28,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,44,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,8,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,28,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,18,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,96,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,16,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,66,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,17,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,48,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,4,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,87,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,85,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,5133,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,7667,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,490,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,43,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,5173,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,2837,0.0,0.0
2025-06-01 00:00:00+00:00,8.135800247475317e-14,8.135818543386977e-14,8.135800247475317e-14,8.135818543386977e-14,18,0.0,0.0
