TIMESTAMP,TOTEM19518_OPEN_PRICE_USD,TOTEM19518_HIGH_PRICE_USD,TOTEM19518_LOW_PRICE_USD,TOTEM19518_CLOSE_PRICE_USD,TOTEM19518_VOLUME_USD,TOTEM19518_DIVIDENDS_USD,TOTEM19518_STOCK_SPLITS_USD
2022-04-15 00:00:00+00:00,0.06377899646759033,0.07216800004243851,0.06297499686479568,0.07030600309371948,40245,0.0,0.0
2022-04-16 00:00:00+00:00,0.07030700147151947,0.0705450028181076,0.06518899649381638,0.06703399866819382,37992,0.0,0.0
2022-04-17 00:00:00+00:00,0.06703399866819382,0.06889399886131287,0.0655129998922348,0.06662700325250626,16463,0.0,0.0
2022-04-18 00:00:00+00:00,0.06662700325250626,0.06664299964904785,0.06029700115323067,0.0653349980711937,29274,0.0,0.0
2022-04-19 00:00:00+00:00,0.06533599644899368,0.06672299653291702,0.06298500299453735,0.06308300048112869,27243,0.0,0.0
2022-04-20 00:00:00+00:00,0.0630820021033287,0.06346199661493301,0.058414001017808914,0.05887499824166298,19830,0.0,0.0
2022-04-21 00:00:00+00:00,0.05887499824166298,0.059432998299598694,0.05441199988126755,0.05481899902224541,17321,0.0,0.0
2022-04-22 00:00:00+00:00,0.05481899902224541,0.05525499954819679,0.03923200070858002,0.04692000150680542,38671,0.0,0.0
2022-04-23 00:00:00+00:00,0.04692000150680542,0.04775499925017357,0.046397000551223755,0.04735599830746651,36426,0.0,0.0
2022-04-24 00:00:00+00:00,0.04735599830746651,0.05437599867582321,0.04063799977302551,0.05323699861764908,39758,0.0,0.0
2022-04-25 00:00:00+00:00,0.05323699861764908,0.05324900150299072,0.047873999923467636,0.04975999891757965,45297,0.0,0.0
2022-04-26 00:00:00+00:00,0.04975900053977966,0.05187999829649925,0.04795299842953682,0.048496998846530914,25244,0.0,0.0
2022-04-27 00:00:00+00:00,0.048496998846530914,0.05029899999499321,0.047805000096559525,0.04844599962234497,32390,0.0,0.0
2022-04-28 00:00:00+00:00,0.04844700172543526,0.049616001546382904,0.045402999967336655,0.048875000327825546,34978,0.0,0.0
2022-04-29 00:00:00+00:00,0.04887399822473526,0.049352001398801804,0.04509599879384041,0.04678900167346001,31517,0.0,0.0
2022-04-30 00:00:00+00:00,0.04678900167346001,0.05892600119113922,0.04662699997425079,0.048245999962091446,37161,0.0,0.0
2022-05-01 00:00:00+00:00,0.048245999962091446,0.04971799999475479,0.0469990000128746,0.049215998500585556,35206,0.0,0.0
2022-05-02 00:00:00+00:00,0.049215998500585556,0.05008900165557861,0.04318799823522568,0.04425400123000145,20474,0.0,0.0
2022-05-03 00:00:00+00:00,0.04425400123000145,0.04736600071191788,0.03967700153589249,0.03967700153589249,31550,0.0,0.0
2022-05-04 00:00:00+00:00,0.03967700153589249,0.04139700159430504,0.039122000336647034,0.040063999593257904,32591,0.0,0.0
2022-05-05 00:00:00+00:00,0.040063999593257904,0.04250999912619591,0.03843799978494644,0.03975500166416168,23248,0.0,0.0
