TIMESTAMP,BNSOL_OPEN_PRICE_USD,BNSOL_HIGH_PRICE_USD,BNSOL_LOW_PRICE_USD,BNSOL_CLOSE_PRICE_USD,BNSOL_VOLUME_USD,BNSOL_DIVIDENDS_USD,BNSOL_STOCK_SPLITS_USD
2024-09-12 00:00:00+00:00,135.27220153808594,136.60206604003906,133.9273223876953,136.25335693359375,171212,0.0,0.0
2024-09-13 00:00:00+00:00,136.25335693359375,139.6095428466797,132.2117156982422,138.79698181152344,110677,0.0,0.0
2024-09-14 00:00:00+00:00,138.79698181152344,139.7483673095703,137.55093383789062,137.813720703125,93697,0.0,0.0
2024-09-15 00:00:00+00:00,137.813720703125,138.2373046875,131.11656188964844,131.6593475341797,113903,0.0,0.0
2024-09-16 00:00:00+00:00,131.6593475341797,132.37449645996094,129.80853271484375,131.7960968017578,54982,0.0,0.0
2024-09-17 00:00:00+00:00,131.7960968017578,135.0681915283203,130.74571228027344,132.27806091308594,65471,0.0,0.0
2024-09-18 00:00:00+00:00,132.27806091308594,133.25233459472656,127.75338745117188,133.2274932861328,65096,0.0,0.0
2024-09-19 00:00:00+00:00,133.2274932861328,144.05618286132812,133.2274932861328,142.45640563964844,120422,0.0,0.0
2024-09-20 00:00:00+00:00,142.45640563964844,151.53195190429688,142.1045379638672,146.8142547607422,95273,0.0,0.0
2024-09-21 00:00:00+00:00,146.8142547607422,149.08340454101562,145.23883056640625,148.9158477783203,101811,0.0,0.0
2024-09-22 00:00:00+00:00,148.9158477783203,150.07296752929688,141.6577606201172,143.36378479003906,83351,0.0,0.0
2024-09-23 00:00:00+00:00,143.36378479003906,148.7449951171875,143.11410522460938,144.54075622558594,1703496,0.0,0.0
2024-09-24 00:00:00+00:00,144.54075622558594,153.6151885986328,143.85595703125,153.36349487304688,1136912,0.0,0.0
2024-09-25 00:00:00+00:00,153.36349487304688,154.10325622558594,148.19699096679688,148.37559509277344,1860049,0.0,0.0
2024-09-26 00:00:00+00:00,148.37559509277344,158.15069580078125,147.7239990234375,156.36029052734375,1573589,0.0,0.0
2024-09-27 00:00:00+00:00,156.36029052734375,161.27801513671875,154.65489196777344,158.50416564941406,894478,0.0,0.0
2024-09-28 00:00:00+00:00,158.50416564941406,159.46435546875,155.7140655517578,156.95570373535156,857807,0.0,0.0
2024-09-29 00:00:00+00:00,156.95570373535156,159.96824645996094,155.59266662597656,158.61770629882812,32939,0.0,0.0
