Lag,ANT,ARK,BTC,BTS,CON,DCR,DGB,DOGE,ETC,FIRO,GNO,KMD,LSK,MAID,MONA,QTUM,RLC,SC,STEEM,SYS,USDT,VERI,XEM,XRP,XWC,ZEN
1,0.6740173379231296,0.00033392276828070474,0.32990692088246476,0.1549939972381374,0.7208163715472502,0.6046334853822215,0.5509056111429014,0.13198305389827453,0.02133451269170492,0.2855737762163633,0.7859322753572233,0.045177527849949245,0.10294430848239078,0.058421591750514756,0.12708691817119433,0.4688302392706938,0.9913008198319679,0.8866300887866205,0.5385681082456432,0.3238716161455666,0.00838431847261928,0.9699616534520225,0.20830001981851187,0.011843143856807972,0.1242371509554494,0.044973648658967774
2,0.7558920202619184,0.0015095455732134263,0.683566865845794,0.24489195788233023,0.8446586137958241,0.8421070436275568,0.8737295182803674,0.2210407570961041,0.03392538897030398,0.547358778490199,0.9299060256260909,0.022814164974673076,0.056720055547725676,0.018178924880970025,0.249680206186356,0.5643569546508782,0.7326481200703489,0.753713712943319,0.652284751668692,0.2274812446573055,0.014099615492153666,0.8155705952871815,0.04983056437988698,0.03657512227698153,0.14197975469880303,0.12716480716856512
3,0.7452613816135883,0.0048993208096003256,0.675507802048539,0.29835791789349053,0.9228230203767023,0.8118753986493797,0.9144103042957087,0.33335784806164986,0.023268328516822284,0.2700950801119585,0.37667954750011584,0.0511274275920905,0.03955247486826821,0.03773879332380972,0.3148163188458859,0.7720970413890947,0.5997065670662081,0.36064555979814916,0.7512730772284847,0.384365408983957,0.0352448106307449,0.3772497917844601,0.019982290773317552,0.02366196702775034,0.14643750059879154,0.07673778469076657
4,0.7892528834602144,0.011382812747322385,0.795685014783083,0.026232668142475934,0.6551965282355855,0.7268796202014203,0.93412155560157,0.35755232931818565,0.018629423315425882,0.3436146438974328,0.5470517280511038,0.0862105186855403,0.024905022258549406,0.06202592516903391,0.44825760981094753,0.8723857460965803,0.7826494729368155,0.28210671801268544,0.7851279935061888,0.5294686419867715,0.06367296280160137,0.3691193806771583,5.925388680778072e-05,0.04564210679542289,0.18787306271123663,0.12824811694418453
5,0.8694639771099819,0.007926369782176165,0.115933418238691,0.013995640082410962,0.5405909716060082,0.6753353886824863,0.9750068740769441,0.055408045285925474,0.036013008341974885,0.3611808216179426,0.6372565674674714,0.10340667230721738,0.046969672813416824,0.08148872342646124,0.5849305174353014,0.9097744704819547,0.8884130036084235,0.3611983040297553,0.49938496501268426,0.5895150537051307,0.07888938811352017,0.3482069193315651,0.00013126656708013722,0.08474281501252452,0.16187705988588186,0.034720888912202895
6,0.7074224370495503,0.0032919006785390487,0.07359356758618449,0.02168010214033405,0.6055604031358481,0.8060369794001483,0.9834651561777993,0.06843987409370553,0.10177953049963534,0.41051856467332715,0.6333306925184834,0.036391416761303655,0.050053406706416836,0.15965036138154387,0.086671899135161,0.9410005954348348,0.9209070111291714,0.5277447925117951,0.5024154240868093,0.20985016137678467,0.09438565123898511,0.44046644562894843,0.00025456925368466166,0.11978926740294706,0.2446856021636593,0.04413415346287374
7,0.7731633453350957,0.005080348537816925,0.10730243047308212,0.02258341198656453,0.7219246495042069,0.7196124285922199,0.9922358349566488,0.10730216599665063,0.1462632192228445,0.10664595791168432,0.7524615310807556,0.013529497569703982,0.005304797934600781,0.04928403291277148,0.04945383745712185,0.7171578623559818,0.9188035496808284,0.6213042860733415,0.5512714428589083,0.1268020079267016,0.14339220883528198,0.4844619657755387,0.00042091945293985203,0.07943983152343015,0.3229126984827238,0.030071733750250216
8,0.8351189454413985,0.0011850177236932362,0.09928421114953791,0.02474731363294696,0.6256007099864626,0.6263982554046941,0.9931345637546808,0.15236957264471612,0.10135285978192164,0.11893108626729737,0.46131060668167245,0.014486693425725993,0.011366904583756816,0.06718073374161931,0.08001560512601306,0.781372531778846,0.9429539659347873,0.5391575216122106,0.6682454101954836,0.1823683428397802,0.2484642821912835,0.5900784871168487,0.0008298909977159544,0.03162986197834361,0.25943813038916796,0.045070896951934225
9,0.802069453631197,0.001997821778301914,0.10538029538171041,0.04246013709282585,0.6748549346189159,0.36675969907765194,0.7124327443051762,0.1997082561813909,0.13268109481403845,0.030624551715862806,0.4090997548500311,0.02559064660807567,0.01819243189554919,0.013555207991953415,0.10762456041339057,0.8214780577152008,0.9332857403156514,0.08997410562933858,0.7452514190424636,0.06065684441022235,0.30958708484722264,0.6431041810061346,0.0006391170924363841,1.6793091768705604e-05,0.17291489725422027,0.021787608793152134
10,0.74865105499255,0.0013832594968320993,0.10865207237702339,0.0500374518858889,0.7624669653978063,0.22721057700654504,0.7615960731051932,0.26146957381704183,0.17027546159281287,0.04006484786644845,0.5103831468520766,0.033852048784593906,0.005347034661037337,0.010820726298983915,0.16879340125429226,0.6838280141373152,0.8274254140370687,0.03142381058757956,0.7862639343775122,0.06768908526796769,0.40801068735118085,0.7496943121911893,0.0009086555034235464,8.389374887122498e-06,0.2930873793516564,0.030741980612146516
