Lag,ANT,ARK,BTC,BTS,CON,DCR,DGB,DOGE,ETC,FIRO,GNO,KMD,LSK,MAID,MONA,QTUM,RLC,SC,STEEM,SYS,USDT,VERI,XEM,XRP,XWC,ZEN
1,0.010456948108506023,0.8226209261346203,0.7548875178964568,0.5375708327388653,0.33895731297486487,0.5361350126558468,0.28743260240269924,0.0002197311868012943,0.6693691266773418,0.9090447847354977,0.10738741616268907,0.820355641021909,0.29242113250285207,0.9503677484358042,0.6279680035728682,0.12209097293965229,0.021321638432059604,0.459079452339339,0.3995759787341041,0.6669158773089562,2.0380392244524362e-17,0.7561487548056878,0.6765740647711436,0.7754429488741315,0.19667414891499344,0.0229393576664519
2,0.030439996595534185,0.9127138783591574,0.8647752724477378,0.7422687664778065,0.5494995603015832,0.19136126647889945,0.2891512887907265,0.001040512165714898,0.8850599686422466,0.2602780148936371,0.10867419264345408,0.5849664123814642,0.3386188563594749,0.3982123748973672,0.8653616067146116,0.2588988487550368,0.06518741938494862,0.5993271662790547,0.5400989087765685,0.3921528268462352,1.3700465919967861e-17,0.9407358340999289,0.1634870908420205,0.9533764309791446,0.38474118952533165,0.03973073093860863
3,0.06252892591674486,0.9201126493579916,0.9231493020978667,0.9096459395440295,0.7401337522146711,0.18866320665826322,0.19984483748759513,0.002502044042462931,0.9341669810598212,0.4608442307140449,0.24606418982151107,0.5153205742129754,0.483260015332189,0.5041065225097294,0.8870062249559216,0.3932963339554222,0.09458938977815146,0.6179628481372756,0.4388352921087585,0.2935904313265982,1.96006417923374e-17,0.9148225993866678,0.11872209014080631,0.9781256314711109,0.5894020972394587,0.07596543799742429
4,0.08846278534105624,0.9520177162709741,0.6667163966168115,0.7987340666039805,0.7473709175265497,0.26188157015380437,0.17719898569399223,0.003698545055456173,0.6986711936185588,0.16516859231568434,0.22133519838533725,0.4595836510905421,0.13420376873090517,0.6349538416895144,0.48942728336538255,0.4289279434862696,0.19671562188373928,0.01676986807562293,0.44617167074623376,0.27269640343228285,1.2029425399345593e-19,0.9205206847910096,0.002655826108314026,0.43467049015516923,0.6853551449923054,0.10294637444850846
5,0.15234308068022615,0.9235498229963395,0.5172865033726672,0.29376689082035773,0.8622326397536583,0.3152685972296198,0.2264243884438897,0.00010636281186364116,0.8397741686634639,0.2523920681801123,0.327053546654181,0.08079225505863101,0.17787455095390087,0.6167745099681207,0.34201471019361807,0.5771137022422701,0.12543753369720084,0.03223209978649962,0.5517320517401442,0.4048489505859982,4.9051690802231024e-20,0.9164753852407882,0.002974726487574224,0.5912324619437417,0.7365340111145896,0.16733527615789687
6,0.1893231111138997,0.9647097461864612,0.5985027996613219,0.28986193333482113,0.9274411906582994,0.4379330107276157,0.30215412980106865,0.00027421638064294493,0.48337851434355594,0.34728719718606454,0.3941970827717174,0.05589379964796129,0.24685606323719783,0.7376216664663665,0.39633919092917486,0.6907873121346217,0.1292341017941254,0.04227689221156143,0.6655508968378909,0.27506220772949197,6.452725886982683e-20,0.9471679661047961,0.006285249306934719,0.609589708192013,0.700490360069735,0.24446786356015257
7,0.24452739810907131,0.9585089056337167,0.6797257044442994,0.13705806000273277,0.9600312014519464,0.370160674574546,0.39516666539296763,0.0005707806833410608,0.43951075476756374,0.18899680561626134,0.47636292461733176,0.09245324766821447,0.12469100053169699,0.6415186099200919,0.0976277924399045,0.4254689585875979,0.19779866593126164,0.06898435029898299,0.628357718452627,0.23213730318984174,1.7066948257490264e-19,0.21547031501931668,0.004328791347199431,0.5615492165216776,0.6963692971488543,0.06413998212890276
8,0.27374603353641136,0.819117257432645,0.4844594784228512,0.1604588161747452,0.9836373732841778,0.42098694747507015,0.36528626834128836,0.0011160328284348603,0.5043034038730523,0.09284428126372365,0.2832456645951764,0.0623429747305896,0.1258502329280949,0.7352907098854178,0.1140387254881662,0.47472644960410215,0.11996918591141102,0.040821764876481315,0.7070514796739636,0.3145004537472723,3.2299366894932687e-19,0.32758584561900617,0.0036723716806441814,0.6346241258023686,0.6980637743410083,0.048432147755529446
9,0.3610551942860976,0.46726170067483597,0.5536727498483336,0.21228981077234263,0.9801685518077947,0.26777186402730274,0.1868899966280481,0.0020082182132079417,0.5789343388658676,0.14259421071523676,0.20499116297359155,0.051900298208040145,0.11237464899127836,0.14730486355402506,0.1674677367110265,0.5471115519809321,0.16271076902583917,0.01936594906558413,0.7849992261735488,0.23528556465697775,1.0342975047175523e-18,0.4170530479125949,0.0022538800935609127,0.29911345911806136,0.5588699401308916,0.009284174913682865
10,0.40263502338915147,0.46464849850427825,0.6385211064511275,0.27060134497069005,0.9706510204968629,0.3440951998163182,0.2447593608207931,0.002748527761330522,0.423398127983939,0.18112849628526265,0.24829005456724523,0.07122180183096138,0.1571813311756979,0.19068979529402277,0.17707575114202556,0.6410741942803063,0.16745706324732354,0.030063705076193003,0.832790940909367,0.3068395518647827,7.029802330847815e-19,0.5080206361081516,0.004280130447500586,0.35211146504841473,0.640885983662929,0.01394472345741933
