TIMESTAMP,TRUMPEPE_OPEN_PRICE_USD,TRUMPEPE_HIGH_PRICE_USD,TRUMPEPE_LOW_PRICE_USD,TRUMPEPE_CLOSE_PRICE_USD,TRUMPEPE_VOLUME_USD,TRUMPEPE_DIVIDENDS_USD,TRUMPEPE_STOCK_SPLITS_USD
2024-03-16 00:00:00+00:00,,,,0.0,2094705,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,5562653,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,3711867,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,914278,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,396227,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,187625,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,71770,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,76837,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,63321,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,144740,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,98636,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,322923,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,201386,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,108088,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,54378,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,35247,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,36538,0.0,0.0
2024-04-02 00:00:00+00:00,,,,0.0,25923,0.0,0.0
2024-04-03 00:00:00+00:00,,,,0.0,9962,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,25839,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,20677,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,28241,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,11538,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,9718,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,10273,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,7565,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,12691,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,10185,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,17054,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,10763,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,9290,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,14425,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,33779,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,7130,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,4788,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,3143,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,5691,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,3807,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,8367,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,5363,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,6085,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,4541,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,4823,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,24385,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,9970,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,22583,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,24350,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,18349,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,8178,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,3561,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,4008,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,2697,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,10251,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,9983,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,25360,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,18727,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,6401,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,18603,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,14785,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,11702,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,31003,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,15313,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,22936,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,32707,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,37811,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,15789,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,12513,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,193954,0.0,0.0
