TIMESTAMP,PAW24102_OPEN_PRICE_USD,PAW24102_HIGH_PRICE_USD,PAW24102_LOW_PRICE_USD,PAW24102_CLOSE_PRICE_USD,PAW24102_VOLUME_USD,PAW24102_DIVIDENDS_USD,PAW24102_STOCK_SPLITS_USD
2023-03-27 00:00:00+00:00,5.700000110664405e-05,5.700000110664405e-05,3.400000059627928e-05,3.7999998312443495e-05,19222897,0.0,0.0
2023-03-28 00:00:00+00:00,3.7999998312443495e-05,4.199999966658652e-05,2.700000004551839e-05,3.5000000934815034e-05,7752693,0.0,0.0
2023-03-29 00:00:00+00:00,3.5000000934815034e-05,3.7000001611886546e-05,2.8000000384054147e-05,3.300000025774352e-05,3142548,0.0,0.0
2023-03-30 00:00:00+00:00,3.300000025774352e-05,4.70000013592653e-05,3.099999958067201e-05,3.7999998312443495e-05,11075088,0.0,0.0
2023-03-31 00:00:00+00:00,3.7999998312443495e-05,4.099999932805076e-05,3.300000025774352e-05,3.400000059627928e-05,2182208,0.0,0.0
2023-04-01 00:00:00+00:00,3.400000059627928e-05,3.600000127335079e-05,2.9999999242136255e-05,3.199999991920777e-05,1966662,0.0,0.0
2023-04-02 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,2.9999999242136255e-05,2.9999999242136255e-05,1111656,0.0,0.0
2023-04-03 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.2000000171829015e-05,2.4000000848900527e-05,2467415,0.0,0.0
2023-04-04 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.2000000171829015e-05,2.499999936844688e-05,1608947,0.0,0.0
2023-04-05 00:00:00+00:00,2.499999936844688e-05,3.099999958067201e-05,2.2000000171829015e-05,2.5999999706982635e-05,2023973,0.0,0.0
2023-04-06 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.300000051036477e-05,2.4000000848900527e-05,1008138,0.0,0.0
2023-04-07 00:00:00+00:00,2.4000000848900527e-05,2.9000000722589903e-05,2.300000051036477e-05,2.700000004551839e-05,1522021,0.0,0.0
2023-04-08 00:00:00+00:00,2.700000004551839e-05,3.199999991920777e-05,2.5999999706982635e-05,2.5999999706982635e-05,1128672,0.0,0.0
2023-04-09 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.4000000848900527e-05,2.5999999706982635e-05,539901,0.0,0.0
2023-04-10 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.300000051036477e-05,2.499999936844688e-05,787361,0.0,0.0
2023-04-11 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,2.4000000848900527e-05,2.4000000848900527e-05,446965,0.0,0.0
2023-04-12 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.099999983329326e-05,2.099999983329326e-05,790364,0.0,0.0
2023-04-13 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,1.8999999156221747e-05,1.8999999156221747e-05,746732,0.0,0.0
2023-04-14 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.4999999621068127e-05,1.8000000636675395e-05,1174134,0.0,0.0
2023-04-15 00:00:00+00:00,1.8000000636675395e-05,2.099999983329326e-05,1.700000029813964e-05,2.099999983329326e-05,1106064,0.0,0.0
2023-04-16 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8999999156221747e-05,1.8999999156221747e-05,399369,0.0,0.0
2023-04-17 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8000000636675395e-05,842431,0.0,0.0
2023-04-18 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,1694328,0.0,0.0
2023-04-19 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.1000000085914508e-05,1.1000000085914508e-05,3533956,0.0,0.0
2023-04-20 00:00:00+00:00,1.1000000085914508e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.2000000424450263e-05,2312932,0.0,0.0
2023-04-21 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,2302472,0.0,0.0
2023-04-22 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,2251866,0.0,0.0
2023-04-23 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,2114229,0.0,0.0
2023-04-24 00:00:00+00:00,1.1000000085914508e-05,1.4999999621068127e-05,9.999999747378752e-06,1.4000000192027073e-05,2919259,0.0,0.0
2023-04-25 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4000000192027073e-05,2137413,0.0,0.0
2023-04-26 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.2999999853491317e-05,329218,0.0,0.0
2023-04-27 00:00:00+00:00,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,174389,0.0,0.0
2023-04-28 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,162946,0.0,0.0
2023-04-29 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,389769,0.0,0.0
2023-04-30 00:00:00+00:00,1.1000000085914508e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.2999999853491317e-05,2126024,0.0,0.0
2023-05-01 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.1000000085914508e-05,1893423,0.0,0.0
2023-05-02 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,2159550,0.0,0.0
2023-05-03 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,230038,0.0,0.0
2023-05-04 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,190243,0.0,0.0
2023-05-05 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,238045,0.0,0.0
2023-05-06 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,1446547,0.0,0.0
