TIMESTAMP,DROVERS_OPEN_PRICE_USD,DROVERS_HIGH_PRICE_USD,DROVERS_LOW_PRICE_USD,DROVERS_CLOSE_PRICE_USD,DROVERS_VOLUME_USD,DROVERS_DIVIDENDS_USD,DROVERS_STOCK_SPLITS_USD
2022-05-30 00:00:00+00:00,1.4999999621068127e-05,3.5000000934815034e-05,1.4999999621068127e-05,2.9000000722589903e-05,93161,0.0,0.0
2022-05-31 00:00:00+00:00,2.9000000722589903e-05,7.599999662488699e-05,2.9000000722589903e-05,3.199999991920777e-05,235139,0.0,0.0
2022-06-01 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.099999983329326e-05,2.700000004551839e-05,159642,0.0,0.0
2022-06-02 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.300000051036477e-05,2.4000000848900527e-05,34832,0.0,0.0
2022-06-03 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,10640,0.0,0.0
2022-06-04 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.2000000171829015e-05,6169,0.0,0.0
2022-06-05 00:00:00+00:00,2.2000000171829015e-05,2.4000000848900527e-05,2.099999983329326e-05,2.4000000848900527e-05,7771,0.0,0.0
2022-06-06 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.300000051036477e-05,2.5999999706982635e-05,16830,0.0,0.0
2022-06-07 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.300000051036477e-05,2.4000000848900527e-05,10416,0.0,0.0
2022-06-08 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,3921,0.0,0.0
2022-06-09 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,6144,0.0,0.0
2022-06-10 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,4890,0.0,0.0
2022-06-11 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.8999999156221747e-05,1.9999999494757503e-05,2340,0.0,0.0
2022-06-12 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8000000636675395e-05,1.9999999494757503e-05,3323,0.0,0.0
2022-06-13 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.700000029813964e-05,3233,0.0,0.0
