Lag,BTC,DOGE,ETH,MIOTA,USDT,XEM,XLM,XMR,XRP
1,0.3166209966398017,0.7914672595878307,0.001216045778955466,0.005141143196239264,0.006062613777848485,0.9532353488749458,0.026562249758407805,0.0007007657284674479,0.00935235381068263
2,0.05183385438595415,0.9121910869827184,0.006738963370359211,0.0026829078352729767,0.0012631550216138344,0.07050131160590266,0.07626078311574007,0.003296071168824572,0.0189341037989226
3,0.07197731453672905,0.7872699970496679,0.0034316100460166283,0.024484211929486237,0.001986911933773796,0.00012926169316419356,0.11258615472465691,0.00693423505273358,0.037821545710957076
4,0.11559124966654256,0.9151836428869163,0.009026599912056343,0.007706923080118314,0.00906170166028537,9.967162691462445e-09,0.10900777186139522,0.011341996259135402,0.03256474064769786
5,0.0026196127676142403,0.6070703664202949,0.01647457010137067,0.0014526989502741676,0.015369375207101549,1.7827040437116608e-08,0.17698005096081887,0.025285193588671106,0.06349865849890056
6,0.001722467116380521,0.5417326988554041,0.002388374422872843,0.00019580098716086126,0.011275607267408855,1.0157257913337448e-08,0.11490113298652545,7.734690079884026e-06,0.07828861017503494
7,0.003394646714133988,0.51109499194601,0.004286577532231873,9.806122982521247e-06,0.010670796633402448,8.304977415998047e-09,0.16095579931567164,2.387229032807727e-05,0.12163542074281808
8,0.0014280146385884363,0.5949899557319217,0.009062077675830326,3.991955933153366e-06,0.031619075647735015,2.681376210450604e-08,0.20908740033465675,4.702487127631604e-05,0.13767916301208255
9,0.0018592855881948978,0.6583460582621552,0.00044374893691892145,9.755554347023272e-06,0.04602391699187503,6.600804576098219e-08,0.2553163102080947,5.030530766679097e-06,0.011560016388630818
10,0.0008486119517896175,0.7433227436920088,7.758746070519959e-05,2.0064241816562972e-05,0.07089460687908011,6.786009788830035e-09,0.17455455769778788,1.8376077420381922e-06,0.017421106535609222
11,0.00028714062545878363,0.500886466429511,6.539727334049677e-05,4.091595073801025e-05,0.0010676539604871204,9.711350076900038e-09,0.2446966546006515,2.8094698390493396e-08,0.008729546306612952
12,0.0005878172200691388,0.5273558216017715,2.775445780060704e-05,2.885679304521824e-05,0.0020295532692753545,2.1540116996753605e-08,0.17163079085324975,8.758854100601045e-08,0.008237768377327249
13,0.0009015035658221591,0.446570511879565,2.1156987227935294e-05,1.0076641430081214e-05,0.008126428510181815,2.8111772877117527e-08,0.13457687356504183,7.918924241422168e-08,0.014788104030132768
14,0.0015789604897166781,0.5296022701172818,6.390742360598183e-06,9.011814660789311e-07,0.003941377630473444,2.0397654039833383e-09,0.18745861594326674,1.9429580248343869e-07,0.013670447887092149
15,0.0025918218435460063,0.6037123942178917,1.6361987719710066e-05,1.1668820681065345e-06,0.007612674927095769,4.9654570062611156e-09,0.2723666355680992,5.413430440948829e-07,0.014491665466374056
16,0.0035111891856012168,0.4740495984722197,2.5423867122788046e-05,2.549077393214479e-06,0.01024872314144592,1.3787053839044957e-08,0.26111599481196773,4.2675153455265934e-07,0.01400430289253987
17,0.0038652898873940537,0.57470858174692,7.373545099214369e-05,4.6017955274348575e-06,0.007019457340467964,5.001360492638562e-08,0.34853094468593443,6.569189794023457e-07,0.020602543752310888
18,0.0045725804646107055,0.47417898587614093,0.0003152270825060616,5.979176850078852e-06,0.007628425421574712,2.1823627369044467e-08,0.42825328193287415,5.381813024047248e-06,0.029715543367378056
19,0.006133014268516271,0.5258131952506494,7.284437087323174e-05,8.777741191442187e-06,0.008297031816253835,4.142022243832535e-08,0.36588791029766216,1.02433048266055e-05,0.027429006463223844
20,0.005995835792138422,0.04495671205192609,8.338275649471352e-05,6.500566114856269e-06,0.012308055582764904,4.158850084764874e-08,0.4026100830737823,1.897647490006091e-05,0.035290033241584286
21,0.003698102528500392,0.05943801730972264,5.2243003379805605e-05,1.1664499007804465e-05,0.03306298905645547,1.36575854376603e-07,0.4611081750166237,2.9443148565081826e-05,0.04163820822493061
22,0.003947321851079631,0.07434432446822598,6.84462356141507e-05,1.9955634114606182e-05,0.037292611364223544,2.239173697050418e-07,0.3838793025998953,5.005764234333857e-05,0.05031250701521607
23,0.004242163303303728,0.07058470211593704,2.5720555597250056e-05,2.9633211592746934e-05,0.04759778090090494,2.8583949021460895e-07,0.44102833397704627,4.581246782866835e-05,0.054805171152677766
24,0.006119283728622221,0.08768878514313733,4.2667450811856666e-05,4.0571818930506065e-05,0.060749293196545984,1.4097749239374786e-07,0.41772341824214654,7.649218973952246e-05,0.05567077511407261
25,0.007694701796461928,0.05909857587940737,4.943781159102537e-05,3.799393819355031e-05,0.06855538228653321,2.1208042933998526e-07,0.5808163031470617,0.00016897470259194682,0.07970109871475922
26,0.008704824700165701,0.018096722791111356,5.526990436186013e-05,7.02551539476311e-05,0.06837698357044075,4.5881516145288263e-07,0.4226147813115961,0.00011772902275577697,0.027088421896565466
27,0.008669611436438067,0.02273108225229773,6.235959774704742e-05,1.8048112850830725e-05,0.06377790840787959,7.773135638212762e-07,0.4318487972473089,9.998327970348998e-05,0.024211474409387763
28,0.012167886843572015,0.031251524373116076,6.489055664770492e-05,2.0366489008482736e-05,0.0851911551283719,9.772587184991723e-07,0.17464729380577293,0.00011990264884948403,0.026381652873641907
29,0.011409341424798176,0.03999950293173337,5.587531187381834e-05,9.609040410265136e-06,0.06669484545298797,9.92733032566298e-07,0.04855037154480459,2.4731596515215604e-05,0.03222521595050487
30,0.00757827489975646,0.05065740754341023,7.031966022834453e-05,2.4832414810218054e-06,0.06384948699087536,1.6033291458261357e-06,0.049688238407231626,1.2670354597489781e-05,0.024820316147930382
