Lag,BTC,DOGE,ETH,MIOTA,USDT,XEM,XLM,XMR,XRP
1,0.05051695057503758,0.04186714899393965,0.7527932698341078,0.25967425377818554,5.78606833970796e-13,0.9286757993073447,0.6487482032169506,0.32145408220995947,0.20712426039957504
2,0.12836748625488217,0.10534726769047895,0.8369339565269802,0.3942756254812269,6.579633337940917e-12,0.045370656562095574,0.7784707639165155,0.49751860288973804,0.2113252103256433
3,0.13967283225843646,0.12094338256003526,0.6269110514064575,0.6186092887034991,1.3046990780447884e-12,3.094333004117332e-08,0.7250482828368627,0.5007009503443658,0.2693272811072672
4,0.05897432650678138,0.1770054117007072,0.41104367161532895,0.19976290839994526,4.821921171814419e-12,3.864751619659818e-09,0.7332364142093432,0.580819061043681,0.11578972763673381
5,0.0019619110397636223,0.11724829984102095,0.4669714326076846,0.00890116670082002,1.4938818594730128e-13,4.921620468248901e-09,0.6082742586801603,0.1937616444167815,0.22906096952341798
6,0.0044070344706487845,0.1585485603697634,0.5281022410830691,0.0029952879495043247,3.661900759450107e-13,4.784602728369777e-09,0.6470164417419644,0.00021017853123477258,0.27047410588297977
7,0.007815270117782843,0.19350151942897917,0.2849491911636249,0.00031012900896682443,9.763795175339858e-13,1.4002955504953704e-08,0.7387431084370462,0.00017539479710231126,0.3266992019214287
8,0.009371246142916807,0.28823325723737137,0.22242121427315958,0.00020150819900918626,2.1634781143800213e-12,2.681943675348367e-08,0.7888372539486019,1.838107510438193e-05,0.40336116578511244
9,0.009608146383745667,0.32954328877706224,0.1869471130489761,0.0003799880122350205,6.174118651070366e-12,5.643060783792636e-08,0.7762105245608684,3.6952909555864824e-05,0.2601701982223115
10,0.009112202326791028,0.3694891308202362,0.18607575722659342,7.783983895759873e-05,1.634628138394204e-11,6.359503730316323e-08,0.5663980169875635,1.6114686771064712e-05,0.2368575364583342
11,0.0019039458416329135,0.3819190255744977,0.17874316130085866,0.00016355836490583716,1.783889149715368e-11,1.2189119366484823e-07,0.7073038635007232,2.18141937231722e-06,0.20296598563018617
12,0.0035107946461896138,0.3384053646415144,0.2536461626191577,0.00015465884030100866,2.407407349696436e-11,2.6563476257350356e-07,0.7137789393630611,2.279990744725506e-06,0.16230029620195732
13,0.0005355204067514728,0.1478963173677229,0.07489831445722969,6.550831626150404e-05,9.907662260993758e-12,8.110282042308233e-08,0.6092808460825907,4.148751750480175e-07,0.21104344299793237
14,0.0008780876068289857,0.1957523532445132,0.10475793480832479,3.6618540302543674e-07,4.104417649378254e-11,6.745975832742026e-08,0.6636238640862784,1.0380194469162782e-06,0.12121581087571381
15,0.0014786060560656779,0.2468466147525337,0.17913911009298303,4.0692717015619447e-07,1.3329614793118004e-10,5.7948110655169846e-08,0.7493235090824246,1.3374285585415593e-06,0.11947763087916335
16,0.0005186224994217298,0.10833595801422258,0.3852389491781945,9.23699758772188e-07,4.798618655969434e-10,6.362057162709563e-08,0.7508690851292248,6.467921988828829e-07,0.054242655926114526
17,0.0004615853997559311,0.11911311247167322,0.6186753453294417,8.318195977682356e-07,2.7731910572820836e-09,4.6624151479536665e-08,0.7619475739287708,2.545900532363956e-06,0.07565912591902507
18,0.0010216974305821463,0.08474321942981282,0.46772957204006727,1.0300313920800669e-06,7.688864225509403e-09,6.401422368416408e-08,0.7494259755702757,3.772681136824333e-06,0.05762732895555844
19,0.0012810682214204495,0.05002878130436914,0.5010559484943553,4.5781269428119146e-07,2.408812675116013e-08,5.6772723433387904e-08,0.7626565764571615,2.066799217288817e-06,0.07451788551357995
20,0.0027604758458518496,0.024658346607920614,0.4247071663774395,1.5198545742408737e-06,1.2815155826518078e-08,1.1182805898215739e-07,0.7988867647595261,2.035344134716496e-06,0.10630749018213947
21,0.004771389660852814,0.0173883569080075,0.5384168039047297,1.994787039297451e-06,5.807526536070208e-09,2.2973874404962397e-07,0.8592448266823403,2.5054831029119575e-06,0.13271636299256093
22,0.0050488559198556705,0.021654277790129177,0.5439338604020187,2.942305759470881e-06,9.547271121107573e-09,6.11393366573305e-07,0.49979778941549113,4.494089916071521e-06,0.17643180693918614
23,0.008117434534497921,0.032105657729308526,0.6057961132923435,3.415131198222024e-06,5.110037965100115e-09,4.6796789748855476e-07,0.5452977926763124,9.683246029038807e-06,0.19905655499576863
24,0.003446871776719236,0.025633011898167805,0.5776670059163187,5.3067123191819095e-06,4.4612701485642604e-09,6.043915138822978e-07,0.5932635604156964,1.6527285293588862e-05,0.16546852828532604
25,0.005703474018039316,0.030146575473127928,0.631558881642269,8.961602559563044e-06,2.2729354456481795e-10,6.055250873479217e-07,0.6275866587643484,9.10444070992676e-06,0.23505473601828844
26,0.002686488876780172,0.04479558512330986,0.627309715329145,9.006712952462375e-06,3.399575186838684e-10,1.473836942566844e-06,0.5961629185186417,1.2570231391862182e-05,0.3278702721607987
27,0.0027677130759862765,0.054397626792207075,0.7202721381447715,7.476065051525297e-06,8.287158308131196e-10,1.967421328838853e-06,0.5391237726698439,1.9362130561723324e-05,0.3470182541586417
28,0.000350370783462748,0.0645087062789341,0.7200655381227222,1.106502436455419e-05,1.6097514550637526e-10,3.3107493977020805e-06,0.6234237423665092,2.598181884794592e-05,0.39949316611769425
29,0.0006104162731819983,0.02320670470310944,0.616506739491162,2.21610568670705e-05,1.5576541663622926e-10,2.7077271175949876e-06,0.4889432868660918,2.9450964265253793e-05,0.43825519574657257
30,0.0003459628066882766,0.03170345667346645,0.637465464984757,1.81326071747724e-05,1.3035555559226088e-10,4.382503178495218e-06,0.48903234057397305,2.888865119346016e-05,0.2592295552972479
