TIMESTAMP,GDOG_OPEN_PRICE_USD,GDOG_HIGH_PRICE_USD,GDOG_LOW_PRICE_USD,GDOG_CLOSE_PRICE_USD,GDOG_VOLUME_USD,GDOG_DIVIDENDS_USD,GDOG_STOCK_SPLITS_USD
2024-10-25 00:00:00+00:00,0.0001630000042496249,0.00017699999443721026,0.00013000000035390258,0.00014099999680183828,2871909,0.0,0.0
2024-10-26 00:00:00+00:00,0.00014099999680183828,0.00014099999680183828,9.40000027185306e-05,9.40000027185306e-05,2296677,0.0,0.0
2024-10-27 00:00:00+00:00,9.40000027185306e-05,0.00010900000052060932,9.100000170292333e-05,0.00010800000018207356,4169164,0.0,0.0
2024-10-28 00:00:00+00:00,0.00010800000018207356,0.0002410000015515834,0.00010699999984353781,0.00014099999680183828,6398022,0.0,0.0
2024-10-29 00:00:00+00:00,0.00014099999680183828,0.00015799999528098851,0.00012099999730708078,0.00012799999967683107,3375989,0.0,0.0
2024-10-30 00:00:00+00:00,0.00012799999967683107,0.00013099999341648072,0.00010199999815085903,0.00011000000085914508,2464392,0.0,0.0
2024-10-31 00:00:00+00:00,0.00011000000085914508,0.00011600000289035961,8.199999865610152e-05,8.199999865610152e-05,1796956,0.0,0.0
2024-11-01 00:00:00+00:00,8.199999865610152e-05,8.499999967170879e-05,4.600000102072954e-05,4.70000013592653e-05,1795866,0.0,0.0
2024-11-02 00:00:00+00:00,4.70000013592653e-05,5.8000001445179805e-05,4.400000034365803e-05,5.199999941396527e-05,1249620,0.0,0.0
2024-11-03 00:00:00+00:00,5.199999941396527e-05,5.900000178371556e-05,4.999999873689376e-05,5.8000001445179805e-05,1015475,0.0,0.0
2024-11-04 00:00:00+00:00,5.8000001445179805e-05,5.900000178371556e-05,4.5000000682193786e-05,5.2999999752501026e-05,953769,0.0,0.0
2024-11-05 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,4.099999932805076e-05,4.199999966658652e-05,889032,0.0,0.0
2024-11-06 00:00:00+00:00,4.199999966658652e-05,4.5000000682193786e-05,2.9999999242136255e-05,4.099999932805076e-05,1126588,0.0,0.0
