,BTC,Lag
DOGE,2.9378140365833108e-08,28
ETH,1.4946053572323643e-06,9
XRP,4.382648423514659e-06,11
DGB,1.365583399260646e-05,30
XMR,0.000386386430068,5
SC,0.0004041948483025,30
ZEN,0.0009266809436488,30
QTUM,0.0012239073590696,19
ETC,0.0022497263437532,17
XEM,0.0025281709393411,28
BAT,0.0032143803670312,9
RLC,0.0042127844905575,12
BTS,0.0064828149178103,12
GNO,0.009890050294351,6
LSK,0.0294727607885532,6
LTC,0.0297495152047732,11
DASH,0.0319929197599224,17
GAS,0.0438542398914179,30
KMD,0.0458872487600728,6
MIOTA,0.0559152431366036,17
ZEC,0.083933920854135,7
WAVES,0.0872232175290641,24
PIVX,0.0988203155838732,3
LUNC,0.1281007859267592,4
FIRO,0.1341745320642559,1
XLM,0.1399426088097327,17
ANT,0.1526516746180444,23
ARK,0.1927158271184572,16
STEEM,0.389344636931664,28
SYS,0.4284377475285825,2
DCR,0.4745961463237454,1
