,BTC
ETH,0.00010688868451468274
SC,0.005252622342601764
DGB,0.006322423828152498
ETC,0.009442488280389478
XRP,0.01303840729709085
XMR,0.0193028663764711
XEM,0.029884037702106094
ZEN,0.0516612040544083
DOGE,0.05763541792680916
RLC,0.058021862507827995
GNO,0.060467042897828345
BAT,0.06816168972528786
BTS,0.08040358299480295
LTC,0.08911749609340545
LSK,0.08958965550526199
QTUM,0.09010755611684106
KMD,0.13132969138142095
MIOTA,0.1611017398808862
DASH,0.16453494837145646
ZEC,0.1885899330392359
WAVES,0.22058101698223007
GAS,0.28700762253879747
XLM,0.31175453385413043
PIVX,0.3813015789138554
ANT,0.39057869079569035
ARK,0.43497641789719466
FIRO,0.49592861414792894
LUNC,0.6272573978441339
STEEM,0.6691518663551085
SYS,0.7531941140388817
DCR,0.8930083559063138
