,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
0,14,1250,0.25,1,0.30377115811466937,0.01
1,12,1000,0.3,1,0.3037721755100314,0.01
2,9,500,0.3,1,0.3037728527051893,0.01
3,14,1250,0.3,1,0.3037732079815887,0.01
4,9,500,0.25,1,0.3037736114479247,0.01
5,13,1000,0.3,1,0.303773955100454,0.01
6,13,1000,0.25,1,0.30377416579893307,0.01
7,13,1250,0.3,1,0.3037743819531053,0.01
8,13,1000,0.2,1,0.30377599258942184,0.01
9,8,250,0.3,1,0.3037769156373014,0.01
10,12,750,0.3,1,0.30377692926812166,0.01
11,9,250,0.3,1,0.3037771056162611,0.01
12,7,250,0.3,1,0.30377764190442125,0.01
13,12,750,0.25,1,0.30377807742866675,0.01
14,14,1000,0.3,1,0.3037783451540543,0.01
15,14,1000,0.25,1,0.3037785655284437,0.01
16,8,250,0.25,1,0.30377900305427874,0.01
17,9,250,0.25,1,0.30377917674368693,0.01
18,12,750,0.2,1,0.3037797300289179,0.01
19,7,250,0.25,1,0.3037800027671588,0.01
20,14,1000,0.2,1,0.3037805053179341,0.01
21,10,500,0.3,1,0.30378117078350086,0.01
22,10,500,0.25,1,0.30378262814862433,0.01
23,8,250,0.2,1,0.3037828782197963,0.01
24,9,250,0.2,1,0.30378297361497575,0.01
25,13,750,0.3,1,0.3037836888785144,0.01
26,7,250,0.2,1,0.3037843585806784,0.01
27,10,500,0.2,1,0.30378485014099815,0.01
28,6,250,0.3,1,0.3037855920901745,0.01
29,13,750,0.25,1,0.3037861986006979,0.01
30,13,750,0.2,1,0.3037898410348321,0.01
31,9,250,0.15,1,0.3037912450627661,0.01
32,8,250,0.15,1,0.3037913974509135,0.01
33,12,750,0.15,1,0.303791955778852,0.01
34,6,250,0.25,1,0.30379225251345265,0.01
35,7,250,0.15,1,0.3037939114100493,0.01
36,12,1000,0.25,1,0.3037941965507673,0.01
37,13,750,0.15,1,0.30379534772094097,0.01
38,14,1500,0.3,1,0.30379710877476207,0.01
39,14,750,0.3,1,0.3037985811100408,0.01
40,14,750,0.25,1,0.30380381643937043,0.01
41,14,750,0.2,1,0.30381067574411674,0.01
42,9,250,0.1,1,0.3038159550161303,0.01
43,14,750,0.15,1,0.30381908332584706,0.01
44,7,250,0.1,1,0.30382108602494345,0.01
45,8,250,0.1,1,0.303824892653614,0.01
46,12,500,0.3,1,0.30384001340965333,0.01
47,9,500,0.2,1,0.30384832882232327,0.01
48,13,500,0.3,1,0.3038520749288882,0.01
49,12,500,0.25,1,0.30385669964006834,0.01
50,14,500,0.3,1,0.30387351363407467,0.01
51,13,500,0.25,1,0.3038751391340555,0.01
52,12,500,0.2,1,0.30388275447771446,0.01
53,14,500,0.25,1,0.30390554153870797,0.01
54,13,500,0.2,1,0.30391160320189436,0.01
55,12,500,0.15,1,0.3039292570545063,0.01
56,10,500,0.15,1,0.3039568719772334,0.01
57,14,500,0.2,1,0.30395706255121063,0.01
58,13,500,0.15,1,0.30397471562305123,0.01
59,9,250,0.05,1,0.303981631549101,0.01
60,12,500,0.1,1,0.3040263655547167,0.01
61,10,250,0.3,1,0.30402966804876963,0.01
62,14,500,0.15,1,0.3040464313320306,0.01
63,13,500,0.1,1,0.3040874663976202,0.01
64,10,250,0.25,1,0.3041149488429787,0.01
65,14,500,0.1,1,0.3041830783557314,0.01
66,10,250,0.2,1,0.3042547484599914,0.01
67,11,500,0.2,1,0.30444583059703684,0.01
68,10,250,0.15,1,0.3045109017866005,0.01
69,13,750,0.1,1,0.30460710602841023,0.01
70,15,1500,0.3,1,0.3046264697777069,0.01
71,11,500,0.25,1,0.30470452837320605,0.01
72,15,1250,0.25,1,0.30482116521543684,0.01
73,11,500,0.3,1,0.3048409136060937,0.01
74,15,1250,0.3,1,0.3048536526773672,0.01
75,15,1250,0.2,1,0.3048815423945945,0.01
76,12,500,0.05,1,0.3048967634257924,0.01
77,11,250,0.3,1,0.30491454245487276,0.01
78,13,1250,0.25,1,0.3049506248763825,0.01
79,14,250,0.3,1,0.304964224704603,0.01
80,15,1500,0.25,1,0.3050120517670114,0.01
81,10,250,0.1,1,0.3050473057507556,0.01
82,15,250,0.3,1,0.3051906540135715,0.01
83,15,1250,0.15,1,0.3052316850580236,0.01
84,13,1000,0.15,1,0.3053140343619231,0.01
85,11,250,0.25,1,0.30540276965995117,0.01
86,14,250,0.25,1,0.3054621669418797,0.01
87,12,250,0.3,1,0.3056108861834122,0.01
88,15,250,0.25,1,0.30574828822563815,0.01
89,15,1500,0.2,1,0.30588403595404867,0.01
90,7,250,0.05,1,0.3063078407804351,0.01
91,12,250,0.25,1,0.3063187667454103,0.01
92,11,250,0.2,1,0.3063232769862671,0.01
93,14,250,0.2,1,0.3063737504120312,0.01
94,14,500,0.05,1,0.3064128286672819,0.01
95,15,1000,0.1,1,0.3066190095287558,0.01
96,15,250,0.2,1,0.3067692812986287,0.01
97,14,750,0.1,1,0.3069234901917443,0.01
98,12,750,0.1,1,0.3070582845889767,0.01
99,10,250,0.05,1,0.30744720643100526,0.01
100,12,250,0.2,1,0.3075809274323307,0.01
101,6,250,0.2,1,0.30809457601600254,0.01
102,12,1000,0.2,1,0.308105097260026,0.01
103,14,250,0.15,1,0.30836255421080194,0.01
104,11,250,0.15,1,0.30850048913719935,0.01
105,15,250,0.15,1,0.30901572279739564,0.01
106,15,1750,0.3,1,0.30914777589014214,0.01
107,15,1000,0.15,1,0.30930389876133574,0.01
108,13,250,0.3,1,0.3094293230395092,0.01
109,8,500,0.3,1,0.3098151348135079,0.01
110,12,250,0.15,1,0.31026707900919753,0.01
111,15,1000,0.2,1,0.31127373815352205,0.01
112,13,500,0.05,1,0.31128739084714785,0.01
113,15,1500,0.15,1,0.3118590256468561,0.01
114,11,500,0.15,1,0.31202698799482664,0.01
115,15,1750,0.25,1,0.31264670359126395,0.01
116,13,250,0.25,1,0.31283978680383234,0.01
117,8,250,0.05,1,0.31284737771035515,0.01
118,15,1000,0.25,1,0.31342115232657053,0.01
119,14,1000,0.15,1,0.3136494364570724,0.01
120,14,250,0.1,1,0.3144436618427114,0.01
121,15,1000,0.3,1,0.31563236593978494,0.01
122,15,250,0.1,1,0.3160240325893547,0.01
123,11,250,0.1,1,0.3179244367430463,0.01
124,12,250,0.1,1,0.3184562702425315,0.01
125,15,1750,0.2,1,0.3196983264131193,0.01
126,13,250,0.2,1,0.3198129926381549,0.01
127,15,1250,0.1,1,0.321730644470687,0.01
128,15,750,0.3,1,0.3222405434081059,0.01
129,13,250,0.15,1,0.33578706780021766,0.01
130,15,750,0.25,1,0.355404111774215,0.01
131,10,500,0.1,1,0.35852254715557275,0.01
132,14,250,0.05,1,0.3588895598801069,0.01
133,13,1250,0.2,1,0.360781367171813,0.01
134,15,250,0.05,1,0.3647919907031533,0.01
135,13,250,0.1,1,0.3791087193213272,0.01
136,12,250,0.05,1,0.3872040263635325,0.01
137,15,2000,0.3,1,0.38962428614116423,0.01
138,15,500,0.3,1,0.40793854442976385,0.01
139,14,1000,0.1,1,0.41310544231558843,0.01
140,13,1500,0.3,1,0.4417286772358092,0.01
141,12,1250,0.3,1,0.44682931782992474,0.01
142,14,1250,0.1,1,0.4545730990775604,0.01
143,15,2000,0.25,1,0.46049730933504507,0.01
144,15,2250,0.25,1,0.47629163463331264,0.01
145,15,750,0.2,1,0.4891077311207946,0.01
146,15,2500,0.3,1,0.52334217892077,0.01
147,15,1000,0.05,1,0.5320891182002297,0.01
148,13,250,0.05,1,0.541723077041688,0.01
149,14,1250,0.2,1,0.5468222175211129,0.01
150,15,2250,0.3,1,0.5651483201674959,0.01
151,15,500,0.25,1,0.5682516993889072,0.01
152,8,500,0.25,1,0.5872267528234504,0.01
153,15,750,0.15,1,0.6067729932183203,0.01
154,14,1500,0.2,1,0.6158909815534833,0.01
155,15,500,0.05,1,0.7056415675496645,0.01
156,9,500,0.15,1,0.7802945804646934,0.01
157,15,500,0.1,1,0.7947188477295202,0.01
158,15,750,0.1,1,0.7977016377964989,0.01
159,12,750,0.05,1,0.8323966417401952,0.01
160,11,500,0.1,1,0.8485359550152078,0.01
161,14,1750,0.25,1,0.9236664944753212,0.01
162,14,1000,0.05,1,1.0111319739925566,0.01
163,15,500,0.2,1,1.0178430731916015,0.01
164,14,1750,0.3,1,1.1918985876148693,0.01
165,11,750,0.25,1,1.2159029002452455,0.01
166,10,750,0.3,1,1.34369809185717,0.01
167,14,1250,0.15,1,1.3715962026179502,0.01
168,11,750,0.2,1,1.4123798972016546,0.01
169,12,1500,0.2,1,1.515295051764215,0.01
170,15,750,0.05,1,1.5447329244799741,0.01
171,10,750,0.2,1,1.627160967552203,0.01
172,12,1000,0.15,1,1.6331054322018108,0.01
173,14,1500,0.25,1,1.7560805740401775,0.01
174,15,500,0.15,1,1.7562439197440673,0.01
175,14,750,0.05,1,1.8557926792057273,0.01
176,14,1500,0.1,1,2.1016374999328895,0.01
177,13,750,0.05,1,2.287848824031421,0.01
178,14,1750,0.2,1,2.393654817864932,0.01
179,11,750,0.3,1,2.590134450068565,0.01
180,9,750,0.3,1,2.5923601233530995,0.01
181,8,500,0.15,1,2.6729533429813475,0.01
182,15,2000,0.2,1,2.7287775989255705,0.01
183,12,1250,0.25,1,2.8060149756547488,0.01
184,12,1000,0.1,1,3.019785956876674,0.01
185,11,250,0.05,1,3.188649624574518,0.01
186,11,500,0.05,1,3.1948344664135337,0.01
187,13,1500,0.25,1,3.2718792288171117,0.01
188,15,1750,0.15,1,3.3699263626737403,0.01
189,13,1250,0.1,1,3.5102332302639594,0.01
190,12,1250,0.2,1,3.8855593981911722,0.01
191,14,1500,0.15,1,4.065856079399171,0.01
192,10,750,0.25,1,4.072573327657314,0.01
193,11,1000,0.25,1,4.25041425391502,0.01
194,12,1750,0.25,1,4.327859013459491,0.01
195,15,250,0.0,1,4.7226403162379444,0.01
196,15,2750,0.25,1,4.853774730931863,0.01
197,14,250,0.0,1,4.949596379796669,0.01
198,13,1000,0.1,1,4.964359301448159,0.01
199,14,2000,0.3,1,5.026415509095027,0.01
200,12,1250,0.15,1,5.477794624057533,0.01
201,13,250,0.0,1,5.727525063658063,0.01
202,8,500,0.2,1,5.918807459866742,0.01
203,15,1500,0.05,1,6.104504236875944,0.01
204,10,500,0.05,1,6.122049586307391,0.01
205,11,1000,0.05,1,6.293783705056397,0.01
206,9,750,0.25,1,6.381534521432194,0.01
207,12,250,0.0,1,6.691568214982876,0.01
208,13,2250,0.3,1,6.703689528719864,0.01
209,13,1250,0.15,1,6.83607269096982,0.01
210,15,1500,0.1,1,6.840555986889346,0.01
211,14,1750,0.1,1,7.017653695477079,0.01
212,10,1250,0.3,1,7.235461667206627,0.01
213,14,2000,0.25,1,7.24721438377605,0.01
214,5,250,0.3,1,7.266686033164164,0.01
215,9,750,0.15,1,7.37734271958692,0.01
216,12,1500,0.3,1,7.4843551398968575,0.01
217,13,1750,0.3,1,7.532291308713356,0.01
218,13,1750,0.25,1,8.279487741649566,0.01
219,13,1000,0.05,1,8.284302617458708,0.01
220,9,500,0.05,1,8.290905448224454,0.01
221,11,750,0.15,1,8.349196880494421,0.01
222,10,750,0.15,1,8.688887006543064,0.01
223,13,1500,0.2,1,8.69101123004356,0.01
224,14,2000,0.2,1,9.185161242546052,0.01
225,13,1750,0.15,1,9.467471303710987,0.01
226,9,750,0.2,1,9.493129056129506,0.01
227,13,1750,0.1,1,9.709875925762544,0.01
228,13,2250,0.25,1,9.798657459321783,0.01
229,14,2500,0.3,1,9.88934880145544,0.01
230,9,500,0.1,1,9.93001262607158,0.01
231,14,2250,0.3,1,10.389268383322305,0.01
232,7,500,0.3,1,10.42213147704255,0.01
233,12,1500,0.05,1,10.620476636703799,0.01
234,11,1250,0.2,1,10.92102309426031,0.01
235,15,3250,0.25,1,11.45323094078255,0.01
236,8,750,0.2,1,11.590079637577565,0.01
237,15,2250,0.15,1,11.68457413902657,0.01
238,8,500,0.1,1,11.797561026722375,0.01
239,11,250,0.0,1,11.952973736403122,0.01
240,11,750,0.1,1,12.013512313084659,0.01
241,12,1500,0.25,1,12.491092368413767,0.01
242,11,1000,0.1,1,12.742190566785968,0.01
243,11,750,0.05,1,12.838047430290796,0.01
244,15,2250,0.2,1,12.946913934935791,0.01
245,10,750,0.05,1,13.614490130629086,0.01
246,9,750,0.05,1,14.137440852725545,0.01
247,11,1000,0.3,1,16.123733789973627,0.01
248,13,1500,0.15,1,16.16084024317071,0.01
249,11,1250,0.15,1,16.278197983670704,0.01
250,10,250,0.0,1,17.12134205967205,0.01
251,15,1250,0.05,1,17.23351324468423,0.01
252,14,2250,0.2,1,17.257895064581366,0.01
253,14,1250,0.05,1,18.03173048015302,0.01
254,7,500,0.15,1,18.4635247438268,0.01
255,7,500,0.25,1,18.556713000501126,0.01
256,15,500,0.0,1,18.58456310966116,0.01
257,15,1750,0.05,1,18.611590332840713,0.01
258,10,1250,0.25,1,18.667959564875186,0.01
259,14,1750,0.15,1,18.782528126600905,0.01
260,13,2000,0.2,1,18.90267646010294,0.01
261,10,1000,0.3,1,19.005187526739764,0.01
262,14,500,0.0,1,19.712808961017032,0.01
263,12,1750,0.3,1,19.76888625212942,0.01
264,14,2000,0.05,1,19.857595447722442,0.01
265,10,750,0.1,1,20.291156782226572,0.01
266,11,1500,0.25,1,20.59658195357231,0.01
267,13,2000,0.3,1,20.750381864528833,0.01
268,6,500,0.3,1,20.92153698549526,0.01
