TIMESTAMP,NIAO_OPEN_PRICE_USD,NIAO_HIGH_PRICE_USD,NIAO_LOW_PRICE_USD,NIAO_CLOSE_PRICE_USD,NIAO_VOLUME_USD,NIAO_DIVIDENDS_USD,NIAO_STOCK_SPLITS_USD
2024-05-06 00:00:00+00:00,,,,0.0,83159,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,24648,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,8668,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,6006,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,10220,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,33598,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,38029,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,30343,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,13594,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,14649,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,10716,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,8741,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,18514,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,8255,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,1661,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,1614,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,3325,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,14570,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,4961,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,4297,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,1954,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,1504,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,3991,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,1951,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,893,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,2032,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,3629,0.0,0.0
2024-06-02 00:00:00+00:00,,,,0.0,11364,0.0,0.0
2024-06-03 00:00:00+00:00,,,,0.0,2672,0.0,0.0
2024-06-04 00:00:00+00:00,,,,0.0,2283,0.0,0.0
2024-06-05 00:00:00+00:00,,,,0.0,4004,0.0,0.0
2024-06-06 00:00:00+00:00,,,,0.0,6672,0.0,0.0
2024-06-07 00:00:00+00:00,,,,0.0,955,0.0,0.0
2024-06-08 00:00:00+00:00,,,,0.0,2831,0.0,0.0
2024-06-09 00:00:00+00:00,,,,0.0,3946,0.0,0.0
2024-06-10 00:00:00+00:00,,,,0.0,535,0.0,0.0
2024-06-11 00:00:00+00:00,,,,0.0,743,0.0,0.0
2024-06-12 00:00:00+00:00,,,,0.0,778,0.0,0.0
2024-06-13 00:00:00+00:00,,,,0.0,434,0.0,0.0
2024-06-14 00:00:00+00:00,,,,0.0,11638,0.0,0.0
2024-06-15 00:00:00+00:00,,,,0.0,697,0.0,0.0
2024-06-16 00:00:00+00:00,,,,0.0,169,0.0,0.0
2024-06-17 00:00:00+00:00,,,,0.0,2047,0.0,0.0
2024-06-18 00:00:00+00:00,,,,0.0,770,0.0,0.0
2024-06-19 00:00:00+00:00,,,,0.0,1437,0.0,0.0
2024-06-20 00:00:00+00:00,,,,0.0,1178,0.0,0.0
2024-06-21 00:00:00+00:00,,,,0.0,1030,0.0,0.0
2024-06-22 00:00:00+00:00,,,,0.0,857,0.0,0.0
2024-06-23 00:00:00+00:00,,,,0.0,296,0.0,0.0
2024-06-24 00:00:00+00:00,,,,0.0,6082,0.0,0.0
2024-06-25 00:00:00+00:00,,,,0.0,1467,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,1823,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,4808,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,1289,0.0,0.0
2024-06-29 00:00:00+00:00,,,,0.0,1096,0.0,0.0
2024-06-30 00:00:00+00:00,,,,0.0,10242,0.0,0.0
2024-07-01 00:00:00+00:00,,,,0.0,1655,0.0,0.0
2024-07-02 00:00:00+00:00,,,,0.0,863,0.0,0.0
2024-07-03 00:00:00+00:00,,,,0.0,2318,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,1972,0.0,0.0
2024-07-05 00:00:00+00:00,,,,0.0,707,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,1517,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,3945,0.0,0.0
