,BTC,Lag
USDT,2.3113139627370417e-05,18
DOGE,0.000295826334352,30
SC,0.0005707448618642,30
XRP,0.0016759709904189,30
RLC,0.0032290722175822,11
MAID,0.0041661931295581,28
DGB,0.0064438827627261,29
ETC,0.0076021549193716,26
ETH,0.0093661384762279,29
MONA,0.0103800982740878,28
XWC,0.0114856393025788,30
XEM,0.0223992621026903,9
QTUM,0.0245450461065812,11
KMD,0.0274050815581792,7
ANT,0.0495686569421699,12
ZEN,0.049906298027101,29
GNO,0.0559214055408152,28
STEEM,0.100904704859574,30
LSK,0.1054886513676361,1
SYS,0.1465794867181998,3
DCR,0.1643330372291033,1
ARK,0.2033197067007705,7
CON,0.2249037612778364,26
BTS,0.3057047675144324,30
VERI,0.3579597994221882,4
FIRO,0.3747459959695448,1
