TIMESTAMP,APE_OPEN_PRICE_USD,APE_HIGH_PRICE_USD,APE_LOW_PRICE_USD,APE_CLOSE_PRICE_USD
2022-03-17,8.70368,8.90056,7.23229,8.24062
2022-03-18,8.25523,18.0108,8.07513,13.2469
2022-03-19,13.2344,14.7481,12.126,12.2549
2022-03-20,12.2545,12.2961,9.8049,9.82033
2022-03-21,9.82453,11.0109,9.5087,10.6129
2022-03-22,10.6047,12.5822,10.2245,12.1096
2022-03-23,12.1182,13.5104,11.5174,13.016
2022-03-24,13.0219,14.472,12.9545,13.3688
2022-03-25,13.3626,13.7018,12.2437,12.3611
2022-03-26,12.3632,14.2559,12.2982,13.6054
2022-03-27,13.6055,14.3622,13.3003,14.1991
2022-03-28,14.1951,15.5617,14.0038,14.8907
2022-03-29,14.9206,14.9223,13.3551,13.5321
2022-03-30,13.5329,14.5612,13.0801,13.7918
2022-03-31,13.7986,14.3733,12.6179,12.7968
2022-04-01,12.7893,13.6058,12.2388,13.0193
2022-04-02,13.0089,13.82,12.5762,12.7526
2022-04-03,12.7498,12.9122,11.8779,12.32
2022-04-04,12.3189,12.4951,11.1384,11.9154
2022-04-05,11.9259,12.7975,11.5211,11.8237
2022-04-06,11.8257,12.0404,10.5324,10.9343
2022-04-07,10.9334,11.3001,10.6221,11.013
2022-04-08,11.013,11.6134,10.8044,10.8454
2022-04-09,10.8442,11.049,10.6021,10.7947
2022-04-10,10.801,12.3649,10.7806,11.9224
2022-04-11,11.9374,12.3966,10.6642,11.039
2022-04-12,11.044,12.1124,10.7048,11.3968
2022-04-13,11.3969,13.4652,11.2942,13.1944
2022-04-14,13.1975,13.5525,11.9339,12.1329
2022-04-15,12.1345,12.6122,11.9898,12.1656
2022-04-16,12.169,12.2948,11.334,11.7711
2022-04-17,11.7713,12.1,11.4771,11.9224
2022-04-18,11.9118,11.9713,10.9022,11.7281
2022-04-19,11.7284,13.5295,11.6746,13.2676
2022-04-20,13.2713,17.3035,12.9769,16.6215
2022-04-21,16.6033,17.5235,14.329,14.4227
2022-04-22,14.4436,15.384,13.7014,15.197
2022-04-23,15.1987,18.4373,14.8297,16.985
2022-04-24,16.9831,17.8739,15.9251,17.4058
2022-04-25,17.4076,18.3519,16.1867,17.8611
2022-04-26,17.8619,19.6019,17.412,18.107
2022-04-27,18.1152,19.9399,17.74,19.608
2022-04-28,19.6258,27.5928,19.1115,25.8923
2022-04-29,25.9177,25.9928,18.6351,19.1982
2022-04-30,19.1895,25.6026,18.3982,20.352
2022-05-01,20.3431,21.5138,16.057,16.2557
2022-05-02,16.235,17.3267,14.2118,14.9136
2022-05-03,14.9027,15.7946,13.8702,14.0263
2022-05-04,14.0315,17.6362,13.9636,15.8296
2022-05-05,15.8315,16.7381,12.8987,13.6606
2022-05-06,13.6566,13.8883,12.7809,13.187
2022-05-07,13.1829,13.333,12.2039,12.2767
2022-05-08,12.3398,12.5561,11.0688,11.3448
2022-05-09,11.3452,11.6353,8.6774,9.13007
2022-05-10,9.14427,10.1969,7.80206,8.06207
2022-05-11,8.0068,9.42783,5.15551,5.57779
2022-05-12,5.6014,9.01006,5.17004,6.95397
2022-05-13,6.95467,9.7691,6.8709,9.08134
2022-05-14,9.06956,9.24056,7.22011,8.37452
2022-05-15,8.38604,8.9889,8.0547,8.93846
2022-05-16,8.94046,9.18896,7.81541,8.32416
2022-05-17,8.33615,9.26267,8.00798,8.82691
2022-05-18,8.8319,9.06909,7.62977,7.95964
2022-05-19,7.97142,8.27754,7.42007,7.96143
2022-05-20,7.96203,8.3502,7.51761,7.75678
2022-05-21,7.75998,8.22197,7.56002,7.94506
2022-05-22,7.93627,8.2191,7.75511,7.95714
2022-05-23,7.95464,8.49015,7.8264,7.95295
2022-05-24,7.94626,7.94626,6.99779,7.43033
2022-05-25,7.43382,7.72012,7.24819,7.45904
2022-05-26,7.45494,7.47477,6.23304,6.57142
2022-05-27,6.56367,6.64505,5.80111,6.0926
2022-05-28,6.08401,6.39252,6.00452,6.2352
2022-05-29,6.23749,6.35819,5.96739,6.19408
2022-05-30,6.19538,7.46577,6.15099,7.25409
2022-05-31,7.25971,7.33173,6.58483,6.75459
2022-06-01,6.75989,7.02068,5.94595,6.06693
2022-06-02,6.06597,6.47866,5.97492,6.39254
2022-06-03,6.39924,6.48801,5.99066,6.25565
2022-06-04,6.25835,6.26604,6.00445,6.17001
2022-06-05,6.17071,6.25699,6.04516,6.15537
2022-06-06,6.15901,6.43715,6.07452,6.26527
2022-06-07,6.26373,6.41778,5.83713,6.14862
2022-06-08,6.15267,6.1829,5.6672,5.85529
2022-06-09,5.85569,5.91571,5.65173,5.7118
2022-06-10,5.71014,5.73829,5.15868,5.25986
